subject,metric,n_pairs,nsga_median,leiden_median,median_difference_nsga_minus_leiden,wilcoxon_statistic,p_value_two_sided,rank_biserial_nsga_minus_leiden,nonzero_pairs,all_pairs_identical,nsga_lower_count,ties,nsga_higher_count,bonferroni_family_size,bonferroni_alpha,bonferroni_significant
jpetstore,weighted_modularity,30,0.4420698064319465,0.44206980643194654,0.0,,,,0,True,0,30,0,10,0.005,False
jpetstore,coupling,30,0.2518518518518518,0.2518518518518518,0.0,,,,0,True,0,30,0,10,0.005,False
jpetstore,cohesion,30,5.477380952380952,5.477380952380952,0.0,,,,0,True,0,30,0,10,0.005,False
jpetstore,imbalance,30,0.2041241452319314,0.20412414523193148,0.0,,,,0,True,0,30,0,10,0.005,False
daytrader,weighted_modularity,30,0.2969624958299859,0.324596763898912,-0.027634268068926104,0.0,1.8215297148968006e-05,-1.0,24,False,24,6,0,10,0.005,True
daytrader,coupling,30,0.430119926199262,0.41789667896678967,0.012223247232472312,85.0,0.002391020862163874,0.6933333333333334,24,False,9,6,21,10,0.005,True
daytrader,cohesion,30,7.126273726273727,6.5407774044137685,0.5854963218599583,67.0,0.001135993625096866,0.6919540229885057,29,False,6,1,23,10,0.005,True
daytrader,imbalance,30,0.6921271919518872,0.8929931748074893,-0.20086598285560214,0.0,2.557909636120417e-06,-1.0,29,False,29,1,0,10,0.005,True
daytrader,mojofm_vs_reference,30,23.913043478260864,23.913043478260864,0.0,80.0,0.8085931232292147,0.06432748538011696,18,False,8,12,10,10,0.005,False
daytrader,pairwise_f1,30,0.16982841719683822,0.1775456919060052,-0.007717274709166985,94.0,0.007572858429592348,-0.5678160919540229,29,False,20,1,9,10,0.005,False
xerces-j,weighted_modularity,30,0.6615191429343901,0.6615191429343901,0.0,7.0,0.0663160312989308,-0.6888888888888889,9,False,6,21,3,10,0.005,False
xerces-j,coupling,30,0.2087994248741912,0.20879942487419123,-2.7755575615628914e-17,165.0,0.14744897053913236,0.7333333333333333,9,False,24,21,6,10,0.005,False
xerces-j,cohesion,30,8.068765336183423,8.068765336183423,0.0,29.0,0.013859407821455456,0.6608187134502924,18,False,4,12,14,10,0.005,False
xerces-j,imbalance,30,1.3098194550186948,1.314526165589089,-0.004706710570394179,4.0,0.00038556082804268104,-0.9532163742690059,18,False,16,12,2,10,0.005,True
