matching_scope,caliper,metric,n_pairs,stage2_wins,ties,stage2_losses,mean_stage2_minus_leiden_raw,median_stage2_minus_leiden_raw,wilcoxon_statistic,wilcoxon_p_two_sided,rank_biserial,n_nonzero_pairs,selector_contract_id,selector_contract,selected_profile_source,selected_profile_sha256,posthoc_status
same_seed,0.1,cohesion,27,8,1,18,0.17308276818480442,-0.7439448051948059,133.0,0.28038380599577883,-0.24216524216524216,26,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
pooled,0.01,weighted_modularity,18,9,1,8,-0.009417866751315111,0.0003346649010771141,74.0,0.9057809560712242,-0.032679738562091505,17,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
pooled,0.01,coupling,18,12,1,5,-0.0529417794177942,-0.06480627306273071,15.0,0.003594660870376094,0.803921568627451,17,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
pooled,0.01,cohesion,18,2,1,15,-0.5413203112379399,-0.6597900416082236,33.0,0.03944673706442007,-0.5686274509803921,17,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
pooled,0.025,weighted_modularity,23,10,1,12,-0.019941260523827734,-0.0008192162756497923,91.0,0.24907192783190357,-0.28063241106719367,22,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
pooled,0.025,coupling,23,16,1,6,-0.057917535697096116,-0.06549815498154987,21.0,0.0006140039068703475,0.83399209486166,22,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
pooled,0.025,cohesion,23,3,1,19,-0.3755338738855584,-0.8661050061050055,63.0,0.0392358672494242,-0.5019762845849802,22,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
pooled,0.05,weighted_modularity,26,12,1,13,-0.014554011762974531,-0.00040960813782489613,132.0,0.4118183415394211,-0.18769230769230769,25,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
pooled,0.05,coupling,26,18,1,7,-0.06785764973034346,-0.06734317343173435,28.0,0.0002955798223180228,0.8276923076923077,25,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
pooled,0.05,cohesion,26,4,1,21,-0.3442537017378839,-0.8407881176062988,91.0,0.05436320174495524,-0.44,25,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
pooled,0.1,weighted_modularity,27,12,1,14,-0.01588046457801598,-0.0008192162756497923,133.0,0.28038380599577883,-0.24216524216524216,26,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
pooled,0.1,coupling,27,19,1,7,-0.06691608582752497,-0.06549815498154987,28.0,0.00017942428831502043,0.8404558404558404,26,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
pooled,0.1,cohesion,27,5,1,21,-0.08480302009642987,-0.8154712291075921,117.0,0.13732103060437562,-0.3333333333333333,26,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
same_seed_cluster_count_delta_le_1,0.01,weighted_modularity,2,0,1,1,-0.00040960813782489613,-0.00040960813782489613,,,-1.0,1,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
same_seed_cluster_count_delta_le_1,0.01,coupling,2,0,1,1,0.008302583025830285,0.008302583025830285,,,-1.0,1,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
same_seed_cluster_count_delta_le_1,0.01,cohesion,2,0,1,1,-0.40773561455379603,-0.40773561455379603,,,-1.0,1,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
same_seed_cluster_count_delta_le_1,0.025,weighted_modularity,2,0,1,1,-0.00040960813782489613,-0.00040960813782489613,,,-1.0,1,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
same_seed_cluster_count_delta_le_1,0.025,coupling,2,0,1,1,0.008302583025830285,0.008302583025830285,,,-1.0,1,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
same_seed_cluster_count_delta_le_1,0.025,cohesion,2,0,1,1,-0.40773561455379603,-0.40773561455379603,,,-1.0,1,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
same_seed_cluster_count_delta_le_1,0.05,weighted_modularity,3,0,2,1,-0.0002730720918832641,0.0,,,-1.0,1,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
same_seed_cluster_count_delta_le_1,0.05,coupling,3,0,2,1,0.005535055350553523,0.0,,,-1.0,1,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
same_seed_cluster_count_delta_le_1,0.05,cohesion,3,1,1,1,-0.08615436191193737,0.0,1.0,1.0,-0.3333333333333333,2,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
same_seed_cluster_count_delta_le_1,0.1,weighted_modularity,6,0,2,4,-0.012176387763647009,-0.0035022267023869513,0.0,0.125,-1.0,4,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
same_seed_cluster_count_delta_le_1,0.1,coupling,6,0,2,4,0.008994464944649469,0.008994464944649477,0.0,0.125,-1.0,4,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
same_seed_cluster_count_delta_le_1,0.1,cohesion,6,4,1,1,0.179166021969052,0.4069124057760414,5.0,0.625,0.3333333333333333,5,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,results/cross_subject/03_stage2_nsga/modularity_band/canonical_operating_profile_metrics_per_seed.csv,0a81c1b770f3531a3025f58cd659a49b3b4773503899a47df4ac5fb1d6bd122c,recomputed_from_frozen_front_and_labels
