subject,budget,seed_count,median_realised_modularity_loss,mean_realised_modularity_loss,median_imbalance,median_coupling,median_cohesion,median_cluster_count,median_max_cluster_ratio,distinct_solution_count
daytrader,0.0,30,0.0,0.0,0.6921271919518872,0.430119926199262,7.126273726273727,9.0,0.2452830188679245,30
daytrader,0.005,30,0.0,1.553367254027524e-05,0.6921271919518872,0.430119926199262,7.101035631035631,9.0,0.2452830188679245,30
daytrader,0.01,30,0.0,1.553367254027524e-05,0.6921271919518872,0.430119926199262,7.101035631035631,9.0,0.2452830188679245,30
daytrader,0.025,30,0.0,0.004755071563328063,0.6784801660515604,0.43242619926199255,7.0977855477855485,9.0,0.2452830188679245,30
daytrader,0.05,30,0.0,0.00905800523669898,0.6761528782208948,0.4365774907749077,7.101035631035631,9.0,0.2452830188679245,30
daytrader,0.1,30,0.016423489244441314,0.032716060568713894,0.6224784400050842,0.44603321033210325,7.213993968993969,9.0,0.2452830188679245,30
daytrader,0.15,30,0.061729525887361025,0.05944704300792588,0.5958100979398778,0.44857011070110697,7.07909867909868,9.0,0.2264150943396226,30
daytrader,0.2,30,0.09653759899301362,0.09010642072099452,0.5595231097149606,0.47670664206642066,6.742014890973225,9.0,0.2264150943396226,30
jpetstore,0.0,30,0.0,0.0,0.2041241452319314,0.2518518518518518,5.477380952380952,4.0,0.2916666666666667,30
jpetstore,0.005,30,0.0,0.0007562123186757252,0.2041241452319314,0.2518518518518518,5.477380952380952,4.0,0.2916666666666667,30
jpetstore,0.01,30,0.0,0.0007562123186757252,0.2041241452319314,0.2518518518518518,5.477380952380952,4.0,0.2916666666666667,30
jpetstore,0.025,30,0.012163755594017197,0.013558496125848222,0.1178511301977579,0.2518518518518518,4.908333333333333,4.0,0.2916666666666667,30
jpetstore,0.05,30,0.032422890477930365,0.025165091032792616,0.0,0.2740740740740741,4.9,4.0,0.25,30
jpetstore,0.1,30,0.032422890477930365,0.02991727634848255,0.0,0.2740740740740741,4.9,4.0,0.25,30
jpetstore,0.15,30,0.032422890477930365,0.0362949733716723,0.0,0.2740740740740741,4.9,4.0,0.25,30
jpetstore,0.2,30,0.032422890477930365,0.0362949733716723,0.0,0.2740740740740741,4.9,4.0,0.25,30
xerces-j,0.0,30,0.0,0.0,1.3098194550186948,0.2087994248741912,8.068765336183423,31.0,0.1449631449631449,30
xerces-j,0.005,30,0.0,0.0008406898463509476,1.2826658724800273,0.20924514737598846,8.068900633331559,30.0,0.1449631449631449,30
xerces-j,0.01,30,0.0009589527898450567,0.0025473884766698133,1.2820656592109358,0.2102228612508986,8.188777324365262,30.0,0.1449631449631449,30
xerces-j,0.025,30,0.01631103863550354,0.01444786293649204,1.261218669305339,0.22094895758447158,8.264889539581105,30.0,0.1437346437346437,30
xerces-j,0.05,30,0.03996409168838799,0.035824431628145935,1.210194178234813,0.23844716031631913,8.25095957101422,29.0,0.1431203931203931,30
xerces-j,0.1,30,0.08831477445485289,0.07621015588685416,1.1709966461523653,0.2737886412652768,3.799410524513867,28.0,0.1412776412776412,30
xerces-j,0.15,30,0.1314762905749222,0.12664260602027844,1.1237737073217953,0.3066427030913012,1.2390268793391215,28.0,0.1382063882063882,30
xerces-j,0.2,30,0.1831216294991808,0.17989620842674142,1.081756612775532,0.34651329978432777,2.3027807266761906,28.0,0.1375921375921376,30
