subject,seed,hypervolume,solution_count
jpetstore,0,2.060617159042046,96
jpetstore,1,2.045900784625572,100
jpetstore,2,2.033819408238217,100
jpetstore,3,2.0988280410592246,100
jpetstore,4,2.063155897730677,100
jpetstore,5,1.9989567762998017,88
jpetstore,6,2.021304504400088,100
jpetstore,7,2.0289004039596605,98
jpetstore,8,2.069414531180012,100
jpetstore,9,2.02686299129647,98
