subject,stage,baseline_profile,alternative_profile,n_within_stage_pairs,same_partition_count,different_partition_count,median_ari,median_nmi,delta_definition,analysis_status,balance_median_weighted_modularity,alternative_median_weighted_modularity,median_delta_weighted_modularity,balance_median_coupling,alternative_median_coupling,median_delta_coupling,balance_median_cohesion,alternative_median_cohesion,median_delta_cohesion,balance_median_imbalance,alternative_median_imbalance,median_delta_imbalance,balance_median_f_semantic,alternative_median_f_semantic,median_delta_f_semantic,balance_median_cluster_count,alternative_median_cluster_count,median_delta_cluster_count,balance_median_relative_modularity_loss,alternative_median_relative_modularity_loss,median_delta_relative_modularity_loss
easymock,stage2,BALANCE,MODULARITY_ANCHOR,10,0,10,0.92249513567959485,0.92695068664696822,alternative minus BALANCE,SUPPLEMENTARY_DESCRIPTIVE,0.568668837360081,0.59390910737781377,0.025354949159795637,0.27292576419213976,0.24272197962154293,-0.030931586608442474,1.9892639010820827,1.9854169058910438,-0.076936736107120041,0.71729954986957478,0.83409254129380073,0.10915127152257464,0.43744844546113065,0.41455572245033429,-0.026730002984508505,11,12,1,0.042710770762217125,0,-0.042710770762217125
easymock,stage2,BALANCE,COUPLING,10,0,10,0.92249513567959485,0.92695068664696822,alternative minus BALANCE,SUPPLEMENTARY_DESCRIPTIVE,0.568668837360081,0.59390910737781377,0.025354949159795637,0.27292576419213976,0.24272197962154293,-0.030931586608442474,1.9892639010820827,1.9854169058910438,-0.076936736107120041,0.71729954986957478,0.83409254129380073,0.10915127152257464,0.43744844546113065,0.41455572245033429,-0.026730002984508505,11,12,1,0.042710770762217125,0,-0.042710770762217125
easymock,stage2,BALANCE,COHESION,10,2,8,0.95896105137026544,0.96697020508608489,alternative minus BALANCE,SUPPLEMENTARY_DESCRIPTIVE,0.568668837360081,0.5747941072400935,0.0038339382459442461,0.27292576419213976,0.26237263464337701,-0.0058224163027656428,1.9892639010820827,2.1633786037195124,0.073993656455777601,0.71729954986957478,0.78713396965299676,0.034628795786815048,0.43744844546113065,0.42557114197258383,-0.014664345281054425,11,12,0,0.042710770762217125,0.028058513554040033,-0.0064707637100278881
easymock,stage2,BALANCE,SEMANTIC,10,0,10,0.90690023027901812,0.91842913372927137,alternative minus BALANCE,SUPPLEMENTARY_DESCRIPTIVE,0.568668837360081,0.59187441336189339,0.022841012863132726,0.27292576419213976,0.24454148471615722,-0.026928675400291105,1.9892639010820827,2.0035855428096809,-0.04917107767421236,0.71729954986957478,0.82296531805426076,0.11501000482049983,0.43744844546113065,0.41455572245033429,-0.028159587791200036,11,12,1,0.042710770762217125,0,-0.038300652259548096
easymock,stage3,BALANCE,MODULARITY_ANCHOR,10,3,7,0.92941307526644934,0.94045722466627113,alternative minus BALANCE,SUPPLEMENTARY_DESCRIPTIVE,0.57027169686992107,0.58877675228669568,0.015157113073103856,0.2711062590975255,0.24854439592430858,-0.021470160116448339,2.0231196294127325,1.9272149567604111,-0.046088402951798058,0.75527744904329519,0.80427782817537929,0.071028237857768683,0.42908775017747219,0.40008087561273092,-0.018016555082534746,12,12,0,0.025683527972034194,0,-0.025683527972034194
easymock,stage3,BALANCE,COUPLING,10,3,7,0.92941307526644934,0.94045722466627113,alternative minus BALANCE,SUPPLEMENTARY_DESCRIPTIVE,0.57027169686992107,0.58877675228669568,0.015157113073103856,0.2711062590975255,0.24854439592430858,-0.021470160116448339,2.0231196294127325,1.9272149567604111,-0.046088402951798058,0.75527744904329519,0.80427782817537929,0.071028237857768683,0.42908775017747219,0.40008087561273092,-0.018016555082534746,12,12,0,0.025683527972034194,0,-0.025683527972034194
easymock,stage3,BALANCE,COHESION,10,3,7,0.90818953916828948,0.93510606308484812,alternative minus BALANCE,SUPPLEMENTARY_DESCRIPTIVE,0.57027169686992107,0.57301697780998295,0,0.2711062590975255,0.26746724890829698,0,2.0231196294127325,2.1331302063198612,0.14643676650365589,0.75527744904329519,0.79012961110191138,0.026899084958721453,0.42908775017747219,0.42141411399519169,0,12,12,0,0.025683527972034194,0.029860359895707844,0
easymock,stage3,BALANCE,SEMANTIC,10,3,7,0.92941307526644934,0.94045722466627113,alternative minus BALANCE,SUPPLEMENTARY_DESCRIPTIVE,0.57027169686992107,0.5846463168131798,0.011280137042899208,0.2711062590975255,0.25291120815138279,-0.012372634643377012,2.0231196294127325,2.005814618882801,-0.00027474069140720481,0.75527744904329519,0.80427782817537929,0.065066884674381986,0.42908775017747219,0.40008087561273092,-0.018964262054948722,12,12,0,0.025683527972034194,0,-0.018914949565020045
jfreechart,stage2,BALANCE,MODULARITY_ANCHOR,10,3,7,0.95523857164343873,0.96120428244177059,alternative minus BALANCE,SUPPLEMENTARY_DESCRIPTIVE,0.48825200545370862,0.51181877458368108,0.014339671205460786,0.37268787113507612,0.35118763224353289,-0.014145792096102644,0.7692511559749946,0.6771549336702023,-0.055432552022204096,1.0893331982140229,1.1930815609438876,0.10619211782969956,0.41432347125699703,0.36998978862617182,-0.028457283479519924,20,21.5,1.5,0.032872523432028719,0,-0.032872523432028719
jfreechart,stage2,BALANCE,COUPLING,10,3,7,0.95523857164343873,0.96120428244177059,alternative minus BALANCE,SUPPLEMENTARY_DESCRIPTIVE,0.48825200545370862,0.51181877458368108,0.014339671205460786,0.37268787113507612,0.35118763224353289,-0.014145792096102644,0.7692511559749946,0.6771549336702023,-0.055432552022204096,1.0893331982140229,1.1930815609438876,0.10619211782969956,0.41432347125699703,0.36998978862617182,-0.028457283479519924,20,21.5,1.5,0.032872523432028719,0,-0.032872523432028719
