subject,stage,profile,profile_id,n_runs,median_weighted_modularity,median_relative_modularity_loss,median_coupling,median_cohesion,median_imbalance,median_f_semantic,median_cluster_count,median_band_size,q1_cohesion,q3_cohesion,iqr_cohesion,q1_imbalance,q3_imbalance,iqr_imbalance,q1_f_semantic,q3_f_semantic,iqr_f_semantic,q1_band_size,q3_band_size,iqr_band_size
easymock,stage2,MODULARITY_ANCHOR,P0,10,0.59390910737781377,0,0.24272197962154293,1.9854169058910438,0.83409254129380073,0.41455572245033429,12,4.5,1.8538330162456036,2.0204946793308864,0.16666166308528285,0.81532422075419519,0.88432681144248548,0.069002590688290288,0.40512985956822811,0.4189398626339923,0.013810003065764187,3.25,5,1.75
easymock,stage2,BALANCE,P1,10,0.568668837360081,0.042710770762217125,0.27292576419213976,1.9892639010820827,0.71729954986957478,0.43744844546113065,11,4.5,1.9372578074282618,2.0843910382546742,0.14713323082641239,0.66749559374973377,0.78920936176081902,0.12171376801108524,0.42916596305637023,0.45535807396091177,0.026192110904541543,3.25,5,1.75
easymock,stage2,COUPLING,P2,10,0.59390910737781377,0,0.24272197962154293,1.9854169058910438,0.83409254129380073,0.41455572245033429,12,4.5,1.8538330162456036,2.0204946793308864,0.16666166308528285,0.81532422075419519,0.88432681144248548,0.069002590688290288,0.40512985956822811,0.4189398626339923,0.013810003065764187,3.25,5,1.75
easymock,stage2,COHESION,P3,10,0.5747941072400935,0.028058513554040033,0.26237263464337701,2.1633786037195124,0.78713396965299676,0.42557114197258383,12,4.5,2.0593708164730891,2.2672463983827624,0.20787558190967337,0.72043744733147963,0.81865972780345098,0.098222280471971346,0.41888749907159406,0.44089595633189038,0.022008457260296321,3.25,5,1.75
easymock,stage2,SEMANTIC,P4,10,0.59187441336189339,0,0.24454148471615722,2.0035855428096809,0.82296531805426076,0.41455572245033429,12,4.5,1.8880598988553534,2.0233933608021806,0.13533346194682716,0.81499224151462224,0.85218993495638506,0.037197693441762825,0.4044150671648824,0.4189398626339923,0.014524795469109897,3.25,5,1.75
easymock,stage3,MODULARITY_ANCHOR,P0,10,0.58877675228669568,0,0.24854439592430858,1.9272149567604111,0.80427782817537929,0.40008087561273092,12,3,1.8676512367311442,2.0058458691981422,0.13819463246699804,0.75603102208646455,0.90194409598958269,0.14591307390311814,0.39969825881887189,0.41947403249452919,0.019775773675657304,2.25,4,1.75
easymock,stage3,BALANCE,P1,10,0.57027169686992107,0.025683527972034194,0.2711062590975255,2.0231196294127325,0.75527744904329519,0.42908775017747219,12,3,1.9120902245902247,2.083884474111747,0.17179424952152234,0.72496366173541626,0.79718641076612828,0.072222749030712019,0.41946999208332825,0.43121247533416268,0.011742483250834435,2.25,4,1.75
easymock,stage3,COUPLING,P2,10,0.58877675228669568,0,0.24854439592430858,1.9272149567604111,0.80427782817537929,0.40008087561273092,12,3,1.8676512367311442,2.0058458691981422,0.13819463246699804,0.75603102208646455,0.90194409598958269,0.14591307390311814,0.39969825881887189,0.41947403249452919,0.019775773675657304,2.25,4,1.75
easymock,stage3,COHESION,P3,10,0.57301697780998295,0.029860359895707844,0.26746724890829698,2.1331302063198612,0.79012961110191138,0.42141411399519169,12,3,2.0340827039122491,2.2889989973453924,0.25491629343314326,0.77744476444715671,0.8268992025666132,0.04945443811945649,0.40517851208157019,0.43981843158018341,0.034639919498613225,2.25,4,1.75
easymock,stage3,SEMANTIC,P4,10,0.5846463168131798,0,0.25291120815138279,2.005814618882801,0.80427782817537929,0.40008087561273092,12,3,1.8854160422910424,2.0677715242109183,0.18235548191987583,0.77106036403342648,0.89896341939788937,0.12790305536446289,0.39969825881887189,0.41070617700460699,0.011007918185735099,2.25,4,1.75
jfreechart,stage2,MODULARITY_ANCHOR,P0,10,0.51181877458368108,0,0.35118763224353289,0.6771549336702023,1.1930815609438876,0.36998978862617182,21.5,2,0.63182004189407326,0.75853162969402255,0.12671158779994929,1.0232381543855325,1.2982957148613385,0.2750575604758061,0.36509256588329819,0.42238807691511659,0.057295511031818402,1.25,3.75,2.5
jfreechart,stage2,BALANCE,P1,10,0.48825200545370862,0.032872523432028719,0.37268787113507612,0.7692511559749946,1.0893331982140229,0.41432347125699703,20,2,0.73501704700179882,0.81277669127981322,0.077759644278014406,1.0232381543855325,1.1025192425043047,0.079281088118772214,0.40222015332462591,0.42262674093395414,0.020406587609328231,1.25,3.75,2.5
jfreechart,stage2,COUPLING,P2,10,0.51181877458368108,0,0.35118763224353289,0.6771549336702023,1.1930815609438876,0.36998978862617182,21.5,2,0.63182004189407326,0.75853162969402255,0.12671158779994929,1.0232381543855325,1.2982957148613385,0.2750575604758061,0.36509256588329819,0.42238807691511659,0.057295511031818402,1.25,3.75,2.5
jfreechart,stage2,COHESION,P3,10,0.48825200545370862,0.026369625395442957,0.37174936864377861,0.7692511559749946,1.0893331982140229,0.41432347125699703,20,2,0.74866287254969377,0.81277669127981322,0.064113818730119454,1.0232381543855325,1.1080218301378242,0.084783675752291732,0.40181337778044396,0.42262674093395414,0.020813363153510178,1.25,3.75,2.5
jfreechart,stage2,SEMANTIC,P4,10,0.51181877458368108,0,0.35118763224353289,0.70320759438977731,1.1714321738002247,0.36998978862617182,21,2,0.63868765104509584,0.76093323119783762,0.12224558015274178,1.0232381543855325,1.2544445866144678,0.23120643222893533,0.36509256588329819,0.42238807691511659,0.057295511031818402,1.25,3.75,2.5
jfreechart,stage3,MODULARITY_ANCHOR,P0,10,0.52030866433307921,0,0.34139307897071869,0.65836150303945096,1.2684245098924554,0.36361590914009367,23,4.5,0.6573465934242726,0.71287887777332248,0.055532284349049887,1.1870785895100715,1.2699861517202584,0.082907562210186914,0.36228851254703559,0.36490022052457194,0.0026117079775363483,4,5,1
