subject,stage,seed,profile,profile_id,selected_solution_id,source_front,Q_best,weighted_modularity,relative_modularity_loss,band_size,band_size_is_one,coupling,cohesion,imbalance,f_semantic,cluster_count,max_cluster_ratio,singleton_ratio,feasible,partition_hash,balance_equals_semantic,balance_equals_coupling,balance_equals_cohesion
easymock,stage2,2,COHESION,P3,seed2_solution021,results/easymock/03_stage2_nsga/robustness/seed_02/pareto_front.csv,0.59620043901188291,0.57205902294430333,0.040492113872962809,3,False,0.25327510917030566,2.017346844137295,0.93216642310416431,0.40492436278352739,13,0.27619047619047621,0.028571428571428571,True,db552a7592ba8c0eedc50f52ceb67f7d539252e0dac05aecf598e8c555c380fc,False,False,False
easymock,stage2,2,SEMANTIC,P4,seed2_solution021,results/easymock/03_stage2_nsga/robustness/seed_02/pareto_front.csv,0.59620043901188291,0.57205902294430333,0.040492113872962809,3,False,0.25327510917030566,2.017346844137295,0.93216642310416431,0.40492436278352739,13,0.27619047619047621,0.028571428571428571,True,db552a7592ba8c0eedc50f52ceb67f7d539252e0dac05aecf598e8c555c380fc,False,False,False
easymock,stage2,3,MODULARITY_ANCHOR,P0,seed3_solution025,results/easymock/03_stage2_nsga/robustness/seed_03/pareto_front.csv,0.59636093684118963,0.59636093684118963,0,5,False,0.24017467248908297,1.851463493771186,0.8999874022801867,0.40424530195866737,13,0.26666666666666666,0.038095238095238099,True,9c3fa90a5a29003a6a03cf2483986236738256aa38776ccc0ae5118ef1878838,False,False,True
easymock,stage2,3,BALANCE,P1,seed3_solution029,results/easymock/03_stage2_nsga/robustness/seed_03/pareto_front.csv,0.59636093684118963,0.57821859062777281,0.030421754834435284,5,False,0.26419213973799127,3.2200308950308951,0.79059092684234755,0.41260011553252263,12,0.26666666666666666,0,True,8d1c40b5b3fbc219896da6d55623fce6bd0c387aba1d9475f995f355e94512c5,False,False,True
easymock,stage2,3,COUPLING,P2,seed3_solution025,results/easymock/03_stage2_nsga/robustness/seed_03/pareto_front.csv,0.59636093684118963,0.59636093684118963,0,5,False,0.24017467248908297,1.851463493771186,0.8999874022801867,0.40424530195866737,13,0.26666666666666666,0.038095238095238099,True,9c3fa90a5a29003a6a03cf2483986236738256aa38776ccc0ae5118ef1878838,False,False,True
easymock,stage2,3,COHESION,P3,seed3_solution029,results/easymock/03_stage2_nsga/robustness/seed_03/pareto_front.csv,0.59636093684118963,0.57821859062777281,0.030421754834435284,5,False,0.26419213973799127,3.2200308950308951,0.79059092684234755,0.41260011553252263,12,0.26666666666666666,0,True,8d1c40b5b3fbc219896da6d55623fce6bd0c387aba1d9475f995f355e94512c5,False,False,True
easymock,stage2,3,SEMANTIC,P4,seed3_solution025,results/easymock/03_stage2_nsga/robustness/seed_03/pareto_front.csv,0.59636093684118963,0.59636093684118963,0,5,False,0.24017467248908297,1.851463493771186,0.8999874022801867,0.40424530195866737,13,0.26666666666666666,0.038095238095238099,True,9c3fa90a5a29003a6a03cf2483986236738256aa38776ccc0ae5118ef1878838,False,False,True
easymock,stage2,4,MODULARITY_ANCHOR,P0,seed4_solution006,results/easymock/03_stage2_nsga/robustness/seed_04/pareto_front.csv,0.59636093684118963,0.59636093684118963,0,4,False,0.24017467248908297,2.0057521182521181,0.82032016314852785,0.39975479685796722,12,0.26666666666666666,0.019047619047619049,True,224ec9425e014307dd12973d30c670ac2f76c81f6f573ae604c7c6612f5a43aa,False,False,False
easymock,stage2,4,BALANCE,P1,seed4_solution009,results/easymock/03_stage2_nsga/robustness/seed_04/pareto_front.csv,0.59636093684118963,0.57584899643832443,0.034395177711526573,4,False,0.26128093158660842,1.9920495329586239,0.72355885383705076,0.42905779657627185,11,0.25714285714285712,0.0095238095238095247,True,43ae158e4ec430b9848f6e091f61cd2e24d05e8e9f6445f346684ff22b9e9e54,False,False,False
easymock,stage2,4,COUPLING,P2,seed4_solution006,results/easymock/03_stage2_nsga/robustness/seed_04/pareto_front.csv,0.59636093684118963,0.59636093684118963,0,4,False,0.24017467248908297,2.0057521182521181,0.82032016314852785,0.39975479685796722,12,0.26666666666666666,0.019047619047619049,True,224ec9425e014307dd12973d30c670ac2f76c81f6f573ae604c7c6612f5a43aa,False,False,False
