subject,stage,seed,profile,budget,status,available_candidate_count,solution_id,label_vector,is_injected_seed,injected_seed_name,injected_seed_category,projected_membership,weighted_modularity,internal_edge_weight_ratio,internal_external_edge_ratio,cluster_count,average_cluster_size,max_cluster_size,min_cluster_size,max_cluster_ratio,singleton_ratio,cluster_size_cv,coupling,cohesion,imbalance,f_semantic,q_loss,gain_imbalance,gain_semantic,equals_leiden,equals_conservative,realised_modularity_loss,permitted_modularity_loss,above_leiden_modularity,exact_leiden_modularity,baseline_weighted_modularity,baseline_imbalance,baseline_semantic,target_improvement,required_modularity_loss
jpetstore,stage3,0,reverse_semantic_0.05,,achieved,0,seed0_solution001,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]",True,raw_leiden_perturb_0.01_4,raw_leiden_perturbation,True,0.43705532693187010285,0.74814814814814811772,2.9705882352941177516,4,6,7,5,0.29166666666666657415,0,0.1666666666666666019,0.25185185185185182677,4.9690476190476191576,0.1666666666666666019,0.46566906033572091905,0.011343184780135299322,0.18350341907227391003,0.090951864225554193699,False,False,0.011343184780135299322,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.050000000000000002776,0.011343184780135299322
jpetstore,stage3,0,reverse_semantic_0.10,,achieved,0,seed0_solution015,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 3, 2, 2, 3, 3, 2, 3, 3, 2, 3, 0, 0, 1, 2, 0]",False,,,True,0.40838896509678401792,0.68395061728395045719,2.1640625,4,6,7,5,0.29166666666666657415,0,0.1666666666666666019,0.31604938271604932076,5.6678571428571427049,0.1666666666666666019,0.39950873770827022291,0.076188965735996899697,0.18350341907227391003,0.22010564116611450181,False,False,0.076188965735996899697,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.10000000000000000555,0.076188965735996899697
jpetstore,stage3,0,reverse_semantic_0.20,,achieved,0,seed0_solution015,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 3, 2, 2, 3, 3, 2, 3, 3, 2, 3, 0, 0, 1, 2, 0]",False,,,True,0.40838896509678401792,0.68395061728395045719,2.1640625,4,6,7,5,0.29166666666666657415,0,0.1666666666666666019,0.31604938271604932076,5.6678571428571427049,0.1666666666666666019,0.39950873770827022291,0.076188965735996899697,0.18350341907227391003,0.22010564116611450181,False,False,0.076188965735996899697,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.2000000000000000111,0.076188965735996899697
jpetstore,stage3,0,reverse_semantic_0.30,,achieved,0,seed0_solution023,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 3, 2, 2, 3, 3, 2, 3, 3, 2, 3, 0, 0, 0, 2, 0]",False,,,False,0.3653254077122389254,0.65925925925925921156,1.9347826086956521063,4,6,7,4,0.29166666666666657415,0,0.20412414523193139759,0.34074074074074067742,5.192857142857142172,0.20412414523193139759,0.35693216733158289466,0.17360244378400369047,0,0.30322078714702527247,False,False,0.17360244378400369047,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.29999999999999987788,0.17360244378400369047
jpetstore,stage3,1,reverse_semantic_0.05,,achieved,0,seed1_solution011,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 3, 2, 2, 3, 3, 2, 3, 3, 2, 3, 0, 0, 1, 2, 0]",False,,,True,0.40838896509678401792,0.68395061728395045719,2.1640625,4,6,7,5,0.29166666666666657415,0,0.1666666666666666019,0.31604938271604932076,5.6678571428571427049,0.1666666666666666019,0.39950873770827022291,0.076188965735996899697,0.18350341907227391003,0.22010564116611450181,False,False,0.076188965735996899697,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.050000000000000002776,0.076188965735996899697
jpetstore,stage3,1,reverse_semantic_0.10,,achieved,0,seed1_solution011,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 3, 2, 2, 3, 3, 2, 3, 3, 2, 3, 0, 0, 1, 2, 0]",False,,,True,0.40838896509678401792,0.68395061728395045719,2.1640625,4,6,7,5,0.29166666666666657415,0,0.1666666666666666019,0.31604938271604932076,5.6678571428571427049,0.1666666666666666019,0.39950873770827022291,0.076188965735996899697,0.18350341907227391003,0.22010564116611450181,False,False,0.076188965735996899697,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.10000000000000000555,0.076188965735996899697
jpetstore,stage3,1,reverse_semantic_0.20,,achieved,0,seed1_solution011,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 3, 2, 2, 3, 3, 2, 3, 3, 2, 3, 0, 0, 1, 2, 0]",False,,,True,0.40838896509678401792,0.68395061728395045719,2.1640625,4,6,7,5,0.29166666666666657415,0,0.1666666666666666019,0.31604938271604932076,5.6678571428571427049,0.1666666666666666019,0.39950873770827022291,0.076188965735996899697,0.18350341907227391003,0.22010564116611450181,False,False,0.076188965735996899697,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.2000000000000000111,0.076188965735996899697
jpetstore,stage3,1,reverse_semantic_0.30,,achieved,0,seed1_solution024,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 3, 2, 2, 2, 3, 2, 3, 3, 2, 3, 0, 0, 1, 0, 0]",False,,,False,0.34228623685413800404,0.63456790123456785491,1.7364864864864864025,4,6,7,5,0.29166666666666657415,0,0.11785113019775790566,0.36543209876543197856,4.7511904761904757422,0.11785113019775790566,0.35358952330260667862,0.22571903379510560583,0.42264973081037410241,0.30974607427026201734,False,False,0.22571903379510560583,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.29999999999999987788,0.22571903379510560583
jpetstore,stage3,2,reverse_semantic_0.05,,achieved,0,seed2_solution001,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]",True,raw_leiden_perturb_0.01_1,raw_leiden_perturbation,True,0.43705532693187010285,0.74814814814814811772,2.9705882352941177516,4,6,7,5,0.29166666666666657415,0,0.1666666666666666019,0.25185185185185182677,4.9690476190476191576,0.1666666666666666019,0.46566906033572091905,0.011343184780135299322,0.18350341907227391003,0.090951864225554193699,False,False,0.011343184780135299322,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.050000000000000002776,0.011343184780135299322
jpetstore,stage3,2,reverse_semantic_0.10,,achieved,0,seed2_solution007,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 1, 0]",False,,,False,0.39355890870294157891,0.71358024691358024061,2.4913793103448274024,4,6,7,5,0.29166666666666657415,0,0.11785113019775790566,0.28641975308641970388,4.3583333333333333925,0.11785113019775790566,0.46091943372603472184,0.10973583136235440239,0.42264973081037410241,0.10022376906726139512,False,False,0.10973583136235440239,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.10000000000000000555,0.10973583136235440239
