subject,threshold,band_budget,selected_weighted_modularity_median,selected_imbalance_median,selected_coupling_median,selected_cohesion_median,selected_cluster_count_median,selected_max_cluster_ratio_median,selected_distance_to_threshold_median,trimmed_ratio_mean,retained_pathological_gt_050_ratio_mean,imbalance_lower_than_leiden_count,modularity_not_higher_than_leiden_count,source_front_right_censored
daytrader,0.3,0.05,0.2943578859220327,0.6627895998616175,0.43726937269372695,7.101035631035631,9.0,0.24528301886792453,0.05471698113207546,0.5505803517283202,0.0,29,30,False
daytrader,0.35,0.05,0.2943578859220327,0.6761528782208948,0.43657749077490776,7.101035631035631,9.0,0.24528301886792453,0.10471698113207545,0.31049975454099166,0.0,29,30,False
daytrader,0.4,0.05,0.2943578859220327,0.6761528782208948,0.43657749077490776,7.101035631035631,9.0,0.24528301886792453,0.1547169811320755,0.0,0.0,29,30,False
daytrader,0.45,0.05,0.2943578859220327,0.6761528782208948,0.43657749077490776,7.101035631035631,9.0,0.24528301886792453,0.20471698113207548,0.0,0.0,29,30,True
daytrader,0.5,0.05,0.2943578859220327,0.6761528782208948,0.43657749077490776,7.101035631035631,9.0,0.24528301886792453,0.25471698113207547,0.0,0.0,29,30,True
daytrader,0.6,0.05,0.2943578859220327,0.6761528782208948,0.43657749077490776,7.101035631035631,9.0,0.24528301886792453,0.35471698113207545,0.0,0.0,29,30,True
xerces-j,0.3,0.05,0.6350732957737648,1.210194178234813,0.23844716031631918,8.25095957101422,29.0,0.14312039312039312,0.15687960687960686,0.19466666666666665,0.0,30,30,False
xerces-j,0.35,0.05,0.6350732957737648,1.210194178234813,0.23844716031631918,8.25095957101422,29.0,0.14312039312039312,0.20687960687960685,0.16699999999999998,0.0,30,30,False
xerces-j,0.4,0.05,0.6350732957737648,1.210194178234813,0.23844716031631918,8.25095957101422,29.0,0.14312039312039312,0.25687960687960687,0.0,0.0,30,30,False
xerces-j,0.45,0.05,0.6350732957737648,1.210194178234813,0.23844716031631918,8.25095957101422,29.0,0.14312039312039312,0.3068796068796069,0.0,0.0,30,30,True
xerces-j,0.5,0.05,0.6350732957737648,1.210194178234813,0.23844716031631918,8.25095957101422,29.0,0.14312039312039312,0.35687960687960685,0.0,0.0,30,30,True
xerces-j,0.6,0.05,0.6350732957737648,1.210194178234813,0.23844716031631918,8.25095957101422,29.0,0.14312039312039312,0.4568796068796068,0.0,0.0,30,30,True
