subject,graph_type,node_count,edge_count,total_edge_weight,cluster_count,modularity,average_cluster_size,max_cluster_size,singleton_cluster_count
cargotracker,raw,113,359,2015.0,21,0.47225855709966846,5.380952380952381,19,11
cargotracker,ssa,113,476,3527.0,19,0.39136174107972965,5.947368421052632,27,11
