subject,n_pairs,exact_identical_count,non_identical_pair_count,non_identical_pair_proportion,ari_mean,ari_median,nmi_mean,nmi_median,class_level_changed_partition_ratio_mean,definition
jpetstore,30,0,30,1,0.73051694266987599,0.73610712002350898,0.79611139823598742,0.81282037916065997,0.85277777777777775,"matching-seed Stage 2/Stage 3 partition pairs not exactly identical after canonical label normalization, divided by paired seeds"
daytrader,30,0,30,1,0.48336967969605316,0.53388389030639494,0.64494057962310469,0.69909276436317613,0.90000000000000002,"matching-seed Stage 2/Stage 3 partition pairs not exactly identical after canonical label normalization, divided by paired seeds"
xerces,30,0,30,1,0.95583160582118931,0.95637863746698182,0.95483348161670045,0.95577544088839672,0.80294840294840297,"matching-seed Stage 2/Stage 3 partition pairs not exactly identical after canonical label normalization, divided by paired seeds"
