subject,budget,seed_count,median_realised_modularity_loss,mean_realised_modularity_loss,median_imbalance,median_coupling,median_cohesion,median_cluster_count,median_max_cluster_ratio,distinct_solution_count
daytrader,0.0,30,0.0,0.0,0.6921271919518872,0.430119926199262,7.126273726273727,9.0,0.2452830188679245,30
daytrader,0.005,30,0.0,1.553367254027524e-05,0.6921271919518872,0.430119926199262,7.101035631035631,9.0,0.2452830188679245,30
daytrader,0.01,30,0.0,1.553367254027524e-05,0.6921271919518872,0.430119926199262,7.101035631035631,9.0,0.2452830188679245,30
daytrader,0.025,30,0.0,0.004755071563328,0.6784801660515604,0.4324261992619925,7.0977855477855485,9.0,0.2452830188679245,30
daytrader,0.05,30,0.0,0.0090580052366989,0.6761528782208948,0.4365774907749077,7.101035631035631,9.0,0.2452830188679245,30
daytrader,0.1,30,0.0164234892444413,0.0327160605687138,0.6224784400050842,0.4460332103321032,7.213993968993969,9.0,0.2452830188679245,30
daytrader,0.15,30,0.061729525887361,0.0594470430079258,0.5958100979398778,0.4485701107011069,7.07909867909868,9.0,0.2264150943396226,30
daytrader,0.2,30,0.0965375989930136,0.0901064207209945,0.5595231097149606,0.4767066420664206,6.742014890973225,9.0,0.2264150943396226,30
jpetstore,0.0,30,0.0,0.0,0.2041241452319314,0.2518518518518518,5.477380952380952,4.0,0.2916666666666667,30
jpetstore,0.005,30,0.0,0.0007562123186757,0.2041241452319314,0.2518518518518518,5.477380952380952,4.0,0.2916666666666667,30
jpetstore,0.01,30,0.0,0.0007562123186757,0.2041241452319314,0.2518518518518518,5.477380952380952,4.0,0.2916666666666667,30
jpetstore,0.025,30,0.0121637555940171,0.0135584961258482,0.1178511301977579,0.2518518518518518,4.908333333333333,4.0,0.2916666666666667,30
jpetstore,0.05,30,0.0324228904779303,0.0251650910327926,0.0,0.2740740740740741,4.9,4.0,0.25,30
jpetstore,0.1,30,0.0324228904779303,0.0299172763484825,0.0,0.2740740740740741,4.9,4.0,0.25,30
jpetstore,0.15,30,0.0324228904779303,0.0362949733716723,0.0,0.2740740740740741,4.9,4.0,0.25,30
jpetstore,0.2,30,0.0324228904779303,0.0362949733716723,0.0,0.2740740740740741,4.9,4.0,0.25,30
xerces-j,0.0,30,0.0,0.0,1.3098194550186948,0.2087994248741912,8.068765336183423,31.0,0.1449631449631449,30
xerces-j,0.005,30,0.0,0.0008406898463509,1.2826658724800273,0.2092451473759884,8.068900633331559,30.0,0.1449631449631449,30
xerces-j,0.01,30,0.000958952789845,0.0025473884766698,1.2820656592109358,0.2102228612508986,8.188777324365262,30.0,0.1449631449631449,30
xerces-j,0.025,30,0.0163110386355035,0.014447862936492,1.261218669305339,0.2209489575844715,8.264889539581105,30.0,0.1437346437346437,30
xerces-j,0.05,30,0.0399640916883879,0.0358244316281459,1.210194178234813,0.2384471603163191,8.25095957101422,29.0,0.1431203931203931,30
xerces-j,0.1,30,0.0883147744548528,0.0762101558868541,1.170996646152365,0.2737886412652768,3.799410524513867,28.0,0.1412776412776412,30
xerces-j,0.15,30,0.1314762905749222,0.1266426060202784,1.1237737073217953,0.3066427030913012,1.2390268793391217,28.0,0.1382063882063882,30
xerces-j,0.2,30,0.1831216294991808,0.1798962084267414,1.081756612775532,0.3465132997843277,2.3027807266761906,28.0,0.1375921375921376,30
