source,target,type_weight,call_weight,raw_weight
org.apache.xerces.dom.ASDOMImplementationImpl,org.apache.xerces.dom.ASModelImpl,0.0,2.0,2.0
org.apache.xerces.dom.ASDOMImplementationImpl,org.apache.xerces.dom.DOMImplementationImpl,1.0,2.0,3.0
org.apache.xerces.dom.ASDOMImplementationImpl,org.apache.xerces.dom.DOMMessageFormatter,0.0,2.0,2.0
org.apache.xerces.dom.ASDOMImplementationImpl,org.apache.xerces.dom3.as.ASModel,1.0,0.0,1.0
org.apache.xerces.dom.ASDOMImplementationImpl,org.apache.xerces.dom3.as.DOMASBuilder,1.0,0.0,1.0
org.apache.xerces.dom.ASDOMImplementationImpl,org.apache.xerces.dom3.as.DOMASWriter,1.0,0.0,1.0
org.apache.xerces.dom.ASDOMImplementationImpl,org.apache.xerces.dom3.as.DOMImplementationAS,1.0,0.0,1.0
org.apache.xerces.dom.ASDOMImplementationImpl,org.apache.xerces.parsers.DOMASBuilderImpl,0.0,2.0,2.0
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,0.0,62.0,62.0
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom3.as.ASAttributeDeclaration,1.0,0.0,1.0
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom3.as.ASContentModel,1.0,0.0,1.0
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom3.as.ASElementDeclaration,1.0,0.0,1.0
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom3.as.ASEntityDeclaration,1.0,0.0,1.0
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom3.as.ASModel,5.0,0.0,5.0
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom3.as.ASNamedObjectMap,5.0,0.0,5.0
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom3.as.ASNotationDeclaration,1.0,0.0,1.0
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom3.as.ASObject,3.0,0.0,3.0
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom3.as.ASObjectList,1.0,0.0,1.0
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.impl.xs.SchemaGrammar,3.0,0.0,3.0
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.parsers.DOMASBuilderImpl,4.0,20.0,24.0
org.apache.xerces.dom.AttrImpl,org.apache.xerces.dom.AttrNSImpl,1.0,8.0,9.0
org.apache.xerces.dom.AttrImpl,org.apache.xerces.dom.AttributeMap,1.0,20.0,21.0
org.apache.xerces.dom.AttrImpl,org.apache.xerces.dom.ChildNode,4.0,6.0,10.0
org.apache.xerces.dom.AttrImpl,org.apache.xerces.dom.CoreDocumentImpl,5.0,52.0,57.0
org.apache.xerces.dom.AttrImpl,org.apache.xerces.dom.DOMMessageFormatter,0.0,20.0,20.0
org.apache.xerces.dom.AttrImpl,org.apache.xerces.dom.DOMNormalizer,0.0,10.0,10.0
org.apache.xerces.dom.AttrImpl,org.apache.xerces.dom.DOMNormalizer$XMLAttributesProxy,0.0,12.0,12.0
org.apache.xerces.dom.AttrImpl,org.apache.xerces.dom.DeferredAttrImpl,1.0,2.0,3.0
org.apache.xerces.dom.AttrImpl,org.apache.xerces.dom.DeferredDocumentImpl,1.0,2.0,3.0
org.apache.xerces.dom.AttrImpl,org.apache.xerces.dom.DeferredElementNSImpl,0.0,4.0,4.0
