subject,budget,budget_label,metric,metric_category,metric_direction,availability_count,mean,median,std,minimum,maximum,better_count,tie_count,worse_count
daytrader,0.01,1%,weighted_modularity,structural,higher_is_better,30,0.2713611344196929,0.2969624958299859,0.06040080838971064,0.1438560162239077,0.324596763898912,0.0,6.0,24.0
daytrader,0.01,1%,relative_modularity_loss_vs_leiden,structural,lower_is_better,30,0.1640054227274986,0.08513414532232402,0.18607951497791594,0.0,0.5568162340992769,0.0,6.0,24.0
daytrader,0.01,1%,imbalance,structural,lower_is_better,30,0.6775783543069708,0.6921271919518872,0.14221666006260003,0.31060523836140247,0.8929931748074893,29.0,1.0,0.0
daytrader,0.01,1%,relative_imbalance_improvement_vs_leiden,structural,higher_is_better,30,0.24122784650281057,0.22493563055384455,0.15925839533237082,0.0,0.6521751261667118,29.0,1.0,0.0
daytrader,0.01,1%,coupling,structural,lower_is_better,30,0.4526599015990159,0.430119926199262,0.06606076806048186,0.34501845018450183,0.6217712177121771,3.0,6.0,21.0
daytrader,0.01,1%,relative_coupling_change_vs_leiden,structural,lower_is_better,30,0.08318616629874906,0.029249448123620278,0.15807918891294112,-0.17439293598233999,0.48785871964679917,3.0,6.0,21.0
daytrader,0.01,1%,cohesion,structural,higher_is_better,30,8.721307289785464,7.101035631035631,4.336215317840574,5.441818598068598,23.90138888888889,23.0,1.0,6.0
daytrader,0.01,1%,relative_cohesion_change_vs_leiden,structural,higher_is_better,30,0.33337472758211534,0.08565621362436154,0.6629510606666512,-0.16801654274361708,2.654212245896037,23.0,1.0,6.0
daytrader,0.01,1%,cluster_count,structural,descriptive,30,8.9,9.0,1.241522980192001,6.0,11.0,,,
daytrader,0.01,1%,cluster_count_change_vs_leiden,structural,descriptive,30,-2.1,-2.0,1.2415229801920011,-5.0,0.0,,,
daytrader,0.01,1%,max_cluster_ratio,structural,descriptive,30,0.24591194968553465,0.24528301886792453,0.02824037267823963,0.18867924528301888,0.3018867924528302,,,
daytrader,0.01,1%,max_cluster_ratio_change_vs_leiden,structural,descriptive,30,0.0006289308176100628,0.0,0.02824037267823963,-0.05660377358490565,0.05660377358490565,,,
daytrader,0.01,1%,singleton_count,structural,descriptive,30,1.1666666666666667,1.0,1.1472105098991157,0.0,4.0,,,
daytrader,0.01,1%,ari_vs_leiden,partition_similarity,descriptive,30,0.6857326232658542,0.8496555162080132,0.32004320255614555,0.027421741038506246,1.0,,,
daytrader,0.01,1%,nmi_vs_leiden,partition_similarity,descriptive,30,0.7932268480004657,0.8973484508924462,0.21711280467169794,0.29689481946240415,1.0000000000000002,,,
daytrader,0.01,1%,changed_class_ratio,partition_similarity,descriptive,30,0.6641509433962263,0.6509433962264151,0.3054603070609933,0.0,1.0,,,
daytrader,0.01,1%,mojofm_vs_reference,external,descriptive,30,23.55072463768116,23.913043478260864,3.1828924209177782,15.217391304347828,28.260869565217394,,,
daytrader,0.01,1%,pairwise_f1,external,descriptive,30,0.1652096418511328,0.16982841719683822,0.019204138146419508,0.12887828162291168,0.19746835443037977,,,
daytrader,0.01,1%,ari_vs_reference,external,descriptive,30,0.029427614355476486,0.03538944269853117,0.025559948032587897,-0.028616617149276463,0.06557638611886717,,,
daytrader,0.01,1%,nmi_vs_reference,external,descriptive,30,0.3757532695462116,0.39021503485715503,0.048158344683338176,0.22572975506337561,0.42832512967876524,,,
daytrader,0.01,1%,pairwise_precision,external,descriptive,30,0.15499542932506943,0.15905923344947737,0.02022151310548192,0.1111111111111111,0.18857142857142858,,,
daytrader,0.01,1%,pairwise_recall,external,descriptive,30,0.17833333333333334,0.18333333333333332,0.022191070118818188,0.12777777777777777,0.21666666666666667,,,
daytrader,0.01,1%,reference_coverage_ratio,external,descriptive,30,1.0,1.0,0.0,1.0,1.0,,,
daytrader,0.03,3%,weighted_modularity,structural,higher_is_better,30,0.2699657292929018,0.2969624958299859,0.06056243516558337,0.14145783264797593,0.324596763898912,0.0,5.0,25.0
daytrader,0.03,3%,relative_modularity_loss_vs_leiden,structural,lower_is_better,30,0.16830431070786572,0.08513414532232402,0.18657744593055806,0.0,0.5642044272134837,0.0,5.0,25.0
daytrader,0.03,3%,imbalance,structural,lower_is_better,30,0.6522357756575972,0.6784801660515604,0.1784326441021205,0.04621678759968261,0.8929931748074893,29.0,1.0,0.0
daytrader,0.03,3%,relative_imbalance_improvement_vs_leiden,structural,higher_is_better,30,0.26960721082979655,0.24021797120921273,0.19981411855761028,0.0,0.9482450830493234,29.0,1.0,0.0
daytrader,0.03,3%,coupling,structural,lower_is_better,30,0.45522755227552275,0.43334870848708484,0.061258954419981096,0.34501845018450183,0.6217712177121771,2.0,5.0,23.0
daytrader,0.03,3%,relative_coupling_change_vs_leiden,structural,lower_is_better,30,0.08933038999264165,0.03697571743929359,0.14658875627209608,-0.17439293598233999,0.48785871964679917,2.0,5.0,23.0
daytrader,0.03,3%,cohesion,structural,higher_is_better,30,8.875385109819634,7.0977855477855485,4.566446402225005,4.691717171717171,23.90138888888889,22.0,1.0,7.0
daytrader,0.03,3%,relative_cohesion_change_vs_leiden,structural,higher_is_better,30,0.3569312271398279,0.08515931806453259,0.6981504062718189,-0.2826973184332549,2.654212245896037,22.0,1.0,7.0
daytrader,0.03,3%,cluster_count,structural,descriptive,30,8.766666666666667,9.0,1.4307782626184986,5.0,11.0,,,
daytrader,0.03,3%,cluster_count_change_vs_leiden,structural,descriptive,30,-2.2333333333333334,-2.0,1.4307782626184986,-6.0,0.0,,,
daytrader,0.03,3%,max_cluster_ratio,structural,descriptive,30,0.24213836477987424,0.24528301886792453,0.024816055631653098,0.18867924528301888,0.3018867924528302,,,
daytrader,0.03,3%,max_cluster_ratio_change_vs_leiden,structural,descriptive,30,-0.0031446540880503138,0.0,0.024816055631653098,-0.05660377358490565,0.05660377358490565,,,
daytrader,0.03,3%,singleton_count,structural,descriptive,30,1.1,1.0,1.1551981469084383,0.0,4.0,,,
daytrader,0.03,3%,ari_vs_leiden,partition_similarity,descriptive,30,0.6734220051397468,0.849542420514045,0.3254944382436833,0.027421741038506246,1.0,,,
