class_name,package,raw_cluster_id,ssa_cluster_id,changed
org.eclipse.cargotracker.application.ApplicationEvents,org.eclipse.cargotracker.application,3,4,True
org.eclipse.cargotracker.application.BookingService,org.eclipse.cargotracker.application,0,0,True
org.eclipse.cargotracker.application.CargoInspectionService,org.eclipse.cargotracker.application,0,0,True
org.eclipse.cargotracker.application.HandlingEventService,org.eclipse.cargotracker.application,3,4,True
org.eclipse.cargotracker.application.internal.DefaultBookingService,org.eclipse.cargotracker.application.internal,1,0,True
org.eclipse.cargotracker.application.internal.DefaultCargoInspectionService,org.eclipse.cargotracker.application.internal,1,0,True
org.eclipse.cargotracker.application.internal.DefaultHandlingEventService,org.eclipse.cargotracker.application.internal,0,4,True
org.eclipse.cargotracker.application.util.ApplicationSettings,org.eclipse.cargotracker.application.util,0,2,True
org.eclipse.cargotracker.application.util.DateConverter,org.eclipse.cargotracker.application.util,2,4,True
org.eclipse.cargotracker.application.util.RestConfiguration,org.eclipse.cargotracker.application.util,10,8,False
org.eclipse.cargotracker.application.util.SampleDataGenerator,org.eclipse.cargotracker.application.util,0,2,True
org.eclipse.cargotracker.domain.model.cargo.Cargo,org.eclipse.cargotracker.domain.model.cargo,1,0,True
org.eclipse.cargotracker.domain.model.cargo.CargoRepository,org.eclipse.cargotracker.domain.model.cargo,1,0,True
org.eclipse.cargotracker.domain.model.cargo.Delivery,org.eclipse.cargotracker.domain.model.cargo,1,0,True
org.eclipse.cargotracker.domain.model.cargo.Delivery$1,org.eclipse.cargotracker.domain.model.cargo,3,2,True
org.eclipse.cargotracker.domain.model.cargo.HandlingActivity,org.eclipse.cargotracker.domain.model.cargo,1,0,True
org.eclipse.cargotracker.domain.model.cargo.Itinerary,org.eclipse.cargotracker.domain.model.cargo,6,0,True
org.eclipse.cargotracker.domain.model.cargo.Itinerary$1,org.eclipse.cargotracker.domain.model.cargo,3,2,True
org.eclipse.cargotracker.domain.model.cargo.Leg,org.eclipse.cargotracker.domain.model.cargo,6,1,True
org.eclipse.cargotracker.domain.model.cargo.RouteSpecification,org.eclipse.cargotracker.domain.model.cargo,1,0,True
org.eclipse.cargotracker.domain.model.cargo.RoutingStatus,org.eclipse.cargotracker.domain.model.cargo,1,1,True
org.eclipse.cargotracker.domain.model.cargo.TrackingId,org.eclipse.cargotracker.domain.model.cargo,0,0,True
org.eclipse.cargotracker.domain.model.cargo.TransportStatus,org.eclipse.cargotracker.domain.model.cargo,1,1,True
org.eclipse.cargotracker.domain.model.handling.CannotCreateHandlingEventException,org.eclipse.cargotracker.domain.model.handling,0,2,True
org.eclipse.cargotracker.domain.model.handling.HandlingEvent,org.eclipse.cargotracker.domain.model.handling,6,2,True
org.eclipse.cargotracker.domain.model.handling.HandlingEvent$Type,org.eclipse.cargotracker.domain.model.handling,3,2,True
org.eclipse.cargotracker.domain.model.handling.HandlingEventFactory,org.eclipse.cargotracker.domain.model.handling,0,2,True
org.eclipse.cargotracker.domain.model.handling.HandlingEventRepository,org.eclipse.cargotracker.domain.model.handling,0,0,True
org.eclipse.cargotracker.domain.model.handling.HandlingHistory,org.eclipse.cargotracker.domain.model.handling,0,0,True
org.eclipse.cargotracker.domain.model.handling.UnknownCargoException,org.eclipse.cargotracker.domain.model.handling,0,0,True
org.eclipse.cargotracker.domain.model.handling.UnknownLocationException,org.eclipse.cargotracker.domain.model.handling,0,3,True
org.eclipse.cargotracker.domain.model.handling.UnknownVoyageException,org.eclipse.cargotracker.domain.model.handling,0,2,True
org.eclipse.cargotracker.domain.model.location.Location,org.eclipse.cargotracker.domain.model.location,4,3,True
org.eclipse.cargotracker.domain.model.location.LocationRepository,org.eclipse.cargotracker.domain.model.location,5,1,True
org.eclipse.cargotracker.domain.model.location.SampleLocations,org.eclipse.cargotracker.domain.model.location,4,3,True
org.eclipse.cargotracker.domain.model.location.UnLocode,org.eclipse.cargotracker.domain.model.location,4,3,True
org.eclipse.cargotracker.domain.model.voyage.CarrierMovement,org.eclipse.cargotracker.domain.model.voyage,4,3,True
org.eclipse.cargotracker.domain.model.voyage.SampleVoyages,org.eclipse.cargotracker.domain.model.voyage,7,3,True
org.eclipse.cargotracker.domain.model.voyage.Schedule,org.eclipse.cargotracker.domain.model.voyage,7,2,True
org.eclipse.cargotracker.domain.model.voyage.Voyage,org.eclipse.cargotracker.domain.model.voyage,7,2,True
org.eclipse.cargotracker.domain.model.voyage.Voyage$Builder,org.eclipse.cargotracker.domain.model.voyage,7,3,True
org.eclipse.cargotracker.domain.model.voyage.VoyageNumber,org.eclipse.cargotracker.domain.model.voyage,7,2,True
org.eclipse.cargotracker.domain.model.voyage.VoyageRepository,org.eclipse.cargotracker.domain.model.voyage,5,1,True
org.eclipse.cargotracker.domain.service.RoutingService,org.eclipse.cargotracker.domain.service,1,0,True
org.eclipse.cargotracker.domain.shared.AbstractSpecification,org.eclipse.cargotracker.domain.shared,8,6,False
org.eclipse.cargotracker.domain.shared.AndSpecification,org.eclipse.cargotracker.domain.shared,8,6,False
org.eclipse.cargotracker.domain.shared.DomainObjectUtils,org.eclipse.cargotracker.domain.shared,1,2,True
org.eclipse.cargotracker.domain.shared.NotSpecification,org.eclipse.cargotracker.domain.shared,8,6,False
org.eclipse.cargotracker.domain.shared.OrSpecification,org.eclipse.cargotracker.domain.shared,8,6,False
org.eclipse.cargotracker.domain.shared.Specification,org.eclipse.cargotracker.domain.shared,8,6,False
org.eclipse.cargotracker.infrastructure.events.cdi.CargoUpdated,org.eclipse.cargotracker.infrastructure.events.cdi,11,9,False
org.eclipse.cargotracker.infrastructure.logging.LoggerProducer,org.eclipse.cargotracker.infrastructure.logging,12,10,False
org.eclipse.cargotracker.infrastructure.messaging.jms.CargoHandledConsumer,org.eclipse.cargotracker.infrastructure.messaging.jms,0,0,True
org.eclipse.cargotracker.infrastructure.messaging.jms.DeliveredCargoConsumer,org.eclipse.cargotracker.infrastructure.messaging.jms,13,11,False
org.eclipse.cargotracker.infrastructure.messaging.jms.HandlingEventRegistrationAttemptConsumer,org.eclipse.cargotracker.infrastructure.messaging.jms,3,4,True
org.eclipse.cargotracker.infrastructure.messaging.jms.JmsApplicationEvents,org.eclipse.cargotracker.infrastructure.messaging.jms,0,0,True
org.eclipse.cargotracker.infrastructure.messaging.jms.MisdirectedCargoConsumer,org.eclipse.cargotracker.infrastructure.messaging.jms,14,12,False
org.eclipse.cargotracker.infrastructure.messaging.jms.RejectedRegistrationAttemptsConsumer,org.eclipse.cargotracker.infrastructure.messaging.jms,15,13,False
org.eclipse.cargotracker.infrastructure.persistence.jpa.JpaCargoRepository,org.eclipse.cargotracker.infrastructure.persistence.jpa,0,0,True
org.eclipse.cargotracker.infrastructure.persistence.jpa.JpaHandlingEventRepository,org.eclipse.cargotracker.infrastructure.persistence.jpa,0,0,True
org.eclipse.cargotracker.infrastructure.persistence.jpa.JpaLocationRepository,org.eclipse.cargotracker.infrastructure.persistence.jpa,4,3,True
org.eclipse.cargotracker.infrastructure.persistence.jpa.JpaVoyageRepository,org.eclipse.cargotracker.infrastructure.persistence.jpa,7,1,True
org.eclipse.cargotracker.infrastructure.routing.ExternalRoutingService,org.eclipse.cargotracker.infrastructure.routing,5,5,True
org.eclipse.cargotracker.infrastructure.routing.ExternalRoutingService$1,org.eclipse.cargotracker.infrastructure.routing,5,5,True
org.eclipse.cargotracker.interfaces.Coordinates,org.eclipse.cargotracker.interfaces,4,3,True
org.eclipse.cargotracker.interfaces.CoordinatesFactory,org.eclipse.cargotracker.interfaces,4,3,True
org.eclipse.cargotracker.interfaces.FacesConfiguration,org.eclipse.cargotracker.interfaces,16,14,False
org.eclipse.cargotracker.interfaces.booking.facade.BookingServiceFacade,org.eclipse.cargotracker.interfaces.booking.facade,2,1,True
org.eclipse.cargotracker.interfaces.booking.facade.dto.CargoRoute,org.eclipse.cargotracker.interfaces.booking.facade.dto,2,1,True
org.eclipse.cargotracker.interfaces.booking.facade.dto.CargoStatus,org.eclipse.cargotracker.interfaces.booking.facade.dto,2,0,True
org.eclipse.cargotracker.interfaces.booking.facade.dto.Leg,org.eclipse.cargotracker.interfaces.booking.facade.dto,2,1,True
org.eclipse.cargotracker.interfaces.booking.facade.dto.Location,org.eclipse.cargotracker.interfaces.booking.facade.dto,2,1,True
org.eclipse.cargotracker.interfaces.booking.facade.dto.RouteCandidate,org.eclipse.cargotracker.interfaces.booking.facade.dto,2,1,True
org.eclipse.cargotracker.interfaces.booking.facade.dto.TrackingEvents,org.eclipse.cargotracker.interfaces.booking.facade.dto,6,2,True
org.eclipse.cargotracker.interfaces.booking.facade.internal.DefaultBookingServiceFacade,org.eclipse.cargotracker.interfaces.booking.facade.internal,0,0,True
org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler.CargoRouteDtoAssembler,org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler,1,1,True
org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler.CargoStatusDtoAssembler,org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler,1,0,True
org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler.CargoStatusDtoAssembler$1,org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler,1,1,True
org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler.ItineraryCandidateDtoAssembler,org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler,2,1,True
org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler.LocationDtoAssembler,org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler,2,1,True
org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler.TrackingEventsDtoAssembler,org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler,6,2,True
org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler.TrackingEventsDtoAssembler$1,org.eclipse.cargotracker.interfaces.booking.facade.internal.assembler,3,2,True
org.eclipse.cargotracker.interfaces.booking.sse.LocationViewAdapter,org.eclipse.cargotracker.interfaces.booking.sse,4,0,True
org.eclipse.cargotracker.interfaces.booking.sse.RealtimeCargoTrackingService,org.eclipse.cargotracker.interfaces.booking.sse,1,0,True
org.eclipse.cargotracker.interfaces.booking.sse.RealtimeCargoTrackingViewAdapter,org.eclipse.cargotracker.interfaces.booking.sse,1,0,True
org.eclipse.cargotracker.interfaces.booking.web.Booking,org.eclipse.cargotracker.interfaces.booking.web,2,1,True
