subject,seed,solution_id,original_solution_id,coupling,cohesion,imbalance,original_f_semantic,pymoo_f0_coupling,pymoo_f1_negative_cohesion,pymoo_f2_imbalance,feasible,is_injected_seed,label_vector
jpetstore,2,seed2_solution000,seed2_solution000,0.25185185185185183,5.477380952380952,0.20412414523193148,0.59878563847962096,0.25185185185185183,-5.477380952380952,0.20412414523193148,True,True,"[0, 1, 1, 2, 1, 3, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]"
jpetstore,2,seed2_solution001,seed2_solution001,0.25185185185185183,4.9690476190476192,0.16666666666666666,0.55222241383003656,0.25185185185185183,-4.9690476190476192,0.16666666666666666,True,True,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]"
jpetstore,2,seed2_solution002,seed2_solution002,0.2617283950617284,6.5595238095238093,0.28867513459481287,0.61722444254445052,0.2617283950617284,-6.5595238095238093,0.28867513459481287,True,False,"[0, 1, 1, 2, 3, 3, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]"
jpetstore,2,seed2_solution004,seed2_solution004,0.27407407407407408,4.7583333333333329,0.11785113019775793,0.59720354110492613,0.27407407407407408,-4.7583333333333329,0.11785113019775793,True,False,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 2, 3, 3, 3, 3, 0, 2, 3, 0, 0, 1, 2, 0]"
jpetstore,2,seed2_solution005,seed2_solution005,0.27901234567901234,7.9559523809523816,0.40824829046386296,0.60942679079388729,0.27901234567901234,-7.9559523809523816,0.40824829046386296,True,False,"[0, 1, 1, 2, 3, 3, 0, 2, 3, 0, 2, 3, 3, 3, 2, 3, 0, 2, 3, 0, 0, 0, 2, 0]"
jpetstore,2,seed2_solution006,seed2_solution006,0.2814814814814815,7.9672619047619051,0.39086797998528583,0.57136971352580335,0.2814814814814815,-7.9672619047619051,0.39086797998528583,True,False,"[0, 1, 1, 2, 3, 3, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 0, 2, 0]"
jpetstore,2,seed2_solution009,seed2_solution009,0.29135802469135802,8.1869047619047617,0.45643546458763845,0.53533249471173616,0.29135802469135802,-8.1869047619047617,0.45643546458763845,True,False,"[0, 1, 1, 2, 2, 3, 0, 2, 3, 0, 2, 2, 2, 3, 2, 3, 0, 2, 3, 0, 0, 0, 2, 0]"
jpetstore,2,seed2_solution015,seed2_solution015,0.31604938271604938,4.8416666666666659,0.11785113019775793,0.69576067363472327,0.31604938271604938,-4.8416666666666659,0.11785113019775793,True,False,"[0, 1, 1, 2, 1, 3, 0, 3, 3, 0, 2, 2, 3, 3, 1, 3, 0, 2, 3, 2, 0, 1, 2, 0]"
jpetstore,2,seed2_solution018,seed2_solution018,0.32592592592592595,9.5809523809523807,0.4249182927993988,0.61722444254445052,0.32592592592592595,-9.5809523809523807,0.4249182927993988,True,False,"[0, 1, 1, 2, 3, 3, 0, 2, 3, 4, 2, 2, 3, 3, 2, 3, 4, 2, 3, 0, 0, 1, 2, 0]"
jpetstore,2,seed2_solution019,seed2_solution019,0.33333333333333331,6.5019047619047612,0.27638539919628335,0.62196413186351041,0.33333333333333331,-6.5019047619047612,0.27638539919628335,True,False,"[0, 1, 1, 2, 1, 3, 0, 2, 3, 4, 2, 2, 4, 3, 2, 3, 4, 2, 3, 0, 0, 1, 2, 0]"
