source,target,flow_type,weight,evidence_method,evidence_statement
org.easymock.internal.matchers.GreaterOrEqual,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: float geq(float)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.GreaterOrEqual,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: int geq(int)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.GreaterOrEqual,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: long geq(long)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.GreaterOrEqual,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: short geq(short)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.LessOrEqual,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: java.lang.Comparable leq(java.lang.Comparable)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.LessOrEqual,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: byte leq(byte)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.LessOrEqual,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: double leq(double)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.LessOrEqual,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: float leq(float)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.LessOrEqual,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: int leq(int)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.LessOrEqual,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: long leq(long)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.LessOrEqual,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: short leq(short)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.GreaterThan,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: java.lang.Comparable gt(java.lang.Comparable)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.GreaterThan,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: byte gt(byte)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.GreaterThan,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: double gt(double)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.GreaterThan,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: float gt(float)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.GreaterThan,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: int gt(int)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.GreaterThan,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: long gt(long)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.GreaterThan,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: short gt(short)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.LessThan,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: java.lang.Comparable lt(java.lang.Comparable)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.LessThan,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: byte lt(byte)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.LessThan,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: double lt(double)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.LessThan,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: float lt(float)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.LessThan,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: int lt(int)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.LessThan,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: long lt(long)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.LessThan,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: short lt(short)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.InstanceOf,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: java.lang.Object isA(java.lang.Class)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.Contains,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: java.lang.String contains(java.lang.String)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.Equals,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: boolean eq(boolean)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
org.easymock.internal.matchers.Equals,org.easymock.EasyMock,argument_passing_flow,3,<org.easymock.EasyMock: byte eq(byte)>,staticinvoke <org.easymock.EasyMock: void reportMatcher(org.easymock.IArgumentMatcher)>($r0)
