subject,seed,exact_identical,adjusted_rand_index,normalized_mutual_information,class_level_changed_count,changed_partition_ratio,stage2_profile_id,stage3_profile_id
daytrader,26,False,0.076201698826533118,0.28699674515035439,53,1,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
daytrader,27,False,0.8414588546610291,0.85763249068173697,44,0.83018867924528306,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
daytrader,28,False,0.31806136457967499,0.53802338195922295,53,1,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
daytrader,29,False,0.089706224537685217,0.35910680699591802,53,1,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,0,False,0.78035470668485674,0.83415102130756402,18,0.75,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,1,False,0.6757617098681219,0.75223809951890475,24,1,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,2,False,0.6757617098681219,0.75223809951890475,24,1,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,3,False,0.78035470668485674,0.83415102130756402,18,0.75,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,4,False,0.6757617098681219,0.75223809951890475,24,1,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,5,False,0.6757617098681219,0.75223809951890475,24,1,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,6,False,0.57116871305138694,0.67032517773024547,24,1,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,7,False,0.78035470668485674,0.83415102130756402,18,0.75,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,8,False,0.78035470668485674,0.83415102130756402,18,0.75,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,9,False,0.6757617098681219,0.75223809951890475,24,1,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,10,False,0.79199638254578342,0.83627251870834529,17,0.70833333333333337,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,11,False,0.6757617098681219,0.75223809951890475,24,1,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,12,False,0.76852698993595614,0.83161412951689884,24,1,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,13,False,0.6757617098681219,0.75223809951890475,24,1,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,14,False,0.78035470668485674,0.83415102130756402,18,0.75,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,15,False,0.78035470668485674,0.83415102130756402,18,0.75,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,16,False,0.79204339963833637,0.8737101996493658,12,0.5,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,17,False,0.79199638254578342,0.83627251870834529,17,0.70833333333333337,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,18,False,0.6757617098681219,0.75223809951890475,24,1,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,19,False,0.7036872501110617,0.7940266288044211,18,0.75,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,20,False,0.79199638254578342,0.83627251870834529,17,0.70833333333333337,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,21,False,0.6757617098681219,0.75223809951890475,24,1,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,22,False,0.6757617098681219,0.75223809951890475,24,1,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,23,False,0.6757617098681219,0.75223809951890475,24,1,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,24,False,0.89599819127289171,0.91839376973982279,11,0.45833333333333331,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,25,False,0.78035470668485674,0.83415102130756402,18,0.75,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,26,False,0.6757617098681219,0.75223809951890475,24,1,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,27,False,0.78035470668485674,0.83415102130756402,18,0.75,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,28,False,0.6757617098681219,0.75223809951890475,24,1,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
jpetstore,29,False,0.78035470668485674,0.83415102130756402,18,0.75,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
xerces,0,False,0.96710323949056753,0.95949592308873655,574,0.70515970515970516,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
xerces,1,False,0.96466139993304834,0.95168743874947204,647,0.79484029484029484,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
xerces,2,False,0.94631688514733858,0.94085205698476859,602,0.73955773955773951,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
xerces,3,False,0.92918552173041269,0.94678113005379883,565,0.6941031941031941,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
xerces,4,False,0.93569493626740474,0.92649729212014365,813,0.99877149877149873,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
xerces,5,False,0.94389641941012115,0.93860612880658556,689,0.84643734643734647,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
xerces,6,False,0.97334913664595413,0.96714351561646272,510,0.62653562653562656,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
xerces,7,False,0.94140561250629384,0.94318014188496357,744,0.91400491400491402,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
xerces,8,False,0.95175386160490327,0.94349079790317203,541,0.66461916461916459,stage2_5pct_modularity_band,stage3_final_projected_front_operating_selector
