subject,metric,stage,seed_count,mean,median,sample_std,iqr,profile_id
jpetstore,projected_hypervolume,stage2,30,0.40125400666028949,0.40431879320106268,0.0084110715637503129,0.012692438574139098,accepted_stage2_projected_front
jpetstore,projected_hypervolume,stage3,30,0.38758006611154999,0.38924751936893831,0.010576762586862191,0.013580350423820831,final_stage3_projected_front
jpetstore,selected_f_semantic,stage2,30,0.52439586142390016,0.50760005590338708,0.026285068517000149,0.049717254728491977,stage2_5pct_modularity_band
jpetstore,selected_f_semantic,stage3,30,0.51209497851459918,0.51226006853751849,0.010244070375443589,0,stage3_final_projected_front_operating_selector
daytrader,projected_hypervolume,stage2,30,0.18483216694142082,0.1879816928007727,0.018250435439330161,0.021951287804627739,accepted_stage2_projected_front
daytrader,projected_hypervolume,stage3,30,0.18981781771150022,0.19021663412682777,0.024457768754331418,0.031524183506642989,final_stage3_projected_front
daytrader,selected_f_semantic,stage2,30,0.64704421568766479,0.62379575004781751,0.080325950881770733,0.10581619352584126,stage2_5pct_modularity_band
daytrader,selected_f_semantic,stage3,30,0.61487564627254288,0.58661188730012315,0.083750787520987441,0.059801636658159185,stage3_final_projected_front_operating_selector
xerces,projected_hypervolume,stage2,30,0.13442197970616959,0.13323444906866977,0.0075522709004011918,0.0089476705684601865,accepted_stage2_projected_front
xerces,projected_hypervolume,stage3,30,0.13688409486984865,0.13147207761734886,0.018914252982772779,0.012597704870610849,final_stage3_projected_front
xerces,selected_f_semantic,stage2,30,0.41852958909063021,0.41677548770153949,0.013176291204217407,0.01838569030621251,stage2_5pct_modularity_band
xerces,selected_f_semantic,stage3,30,0.38732198570553872,0.38725947469944277,0.0016408736283687754,0.0016872582825500082,stage3_final_projected_front_operating_selector
