subject,class_id,class_name,kind,superclass_present,semantic_text,method_count,annotation_count,interface_count,truncated_method_count,input_hash
xerces-j,org.apache.xerces.dom.ASDOMImplementationImpl,ASDOMImplementationImpl,class,true,"public class ASDOMImplementationImpl extends DOMImplementationImpl implements DOMImplementationAS {
    ASModel createAS(boolean);
    DOMASBuilder createDOMASBuilder();
    DOMASWriter createDOMASWriter();
    DOMImplementation getDOMImplementation();
}
",4,0,1,0,7eb08569cb6c35d043be338c87f802c8a82fcdd8114e7d11658aa934cca9150d
xerces-j,org.apache.xerces.dom.ASModelImpl,ASModelImpl,class,false,"public class ASModelImpl implements ASModel {
    void addASModel(ASModel);
    ASObject cloneASObject(boolean);
    ASAttributeDeclaration createASAttributeDeclaration(String, String);
    ASContentModel createASContentModel(int, int, short);
    ASElementDeclaration createASElementDeclaration(String, String);
    ASEntityDeclaration createASEntityDeclaration(String);
    ASNotationDeclaration createASNotationDeclaration(String, String, String, String);
    ASObjectList getASModels();
    String getAsHint();
    String getAsLocation();
    short getAsNodeType();
    ASNamedObjectMap getAttributeDeclarations();
    boolean getContainer();
    ASNamedObjectMap getContentModelDeclarations();
    ASNamedObjectMap getElementDeclarations();
    ASNamedObjectMap getEntityDeclarations();
    SchemaGrammar getGrammar();
    Vector getInternalASModels();
    boolean getIsNamespaceAware();
    String getLocalName();
    String getNamespaceURI();
    String getNodeName();
    ASNamedObjectMap getNotationDeclarations();
    ASModel getOwnerASModel();
    String getPrefix();
    short getUsageLocation();
    void importASObject(ASObject);
    void insertASObject(ASObject);
    void removeAS(ASModel);
    void setAsHint(String);
    void setAsLocation(String);
    void setGrammar(SchemaGrammar);
    void setLocalName(String);
    void setNamespaceURI(String);
    void setNodeName(String);
    void setOwnerASModel(ASModel);
    void setPrefix(String);
    boolean validate();
}
",38,0,1,0,ca6058b24723802a65e47757a35fadf73fc14185b279f5cb25cdf6aa38b3f02f
xerces-j,org.apache.xerces.dom.AttrImpl,AttrImpl,class,true,"public class AttrImpl extends NodeImpl implements Attr, TypeInfo {
    void checkNormalizationAfterInsert(ChildNode);
    void checkNormalizationAfterRemove(ChildNode);
    Node cloneNode(boolean);
    NodeList getChildNodes();
    Element getElement();
    Node getFirstChild();
    Node getLastChild();
    int getLength();
    String getName();
    String getNodeName();
    short getNodeType();
    String getNodeValue();
    Element getOwnerElement();
    TypeInfo getSchemaTypeInfo();
    boolean getSpecified();
    String getTypeName();
    String getTypeNamespace();
    String getValue();
    boolean hasChildNodes();
    Node insertBefore(Node, Node);
    Node internalInsertBefore(Node, Node, boolean);
    Node internalRemoveChild(Node, boolean);
    boolean isDerivedFrom(String, String, int);
    boolean isEqualNode(Node);
    boolean isId();
    Node item(int);
    ChildNode lastChild();
    void lastChild(ChildNode);
    void makeChildNode();
    void normalize();
    void readObject(ObjectInputStream);
    Node removeChild(Node);
    void rename(String);
    Node replaceChild(Node, Node);
    void setIdAttribute(boolean);
    void setNodeValue(String);
    void setOwnerDocument(CoreDocumentImpl);
    void setReadOnly(boolean, boolean);
    void setSpecified(boolean);
    void setType(Object);
    void setValue(String);
    void synchronizeChildren();
    String toString();
    void writeObject(ObjectOutputStream);
}
",44,0,2,0,f304a71c2aa6e66bff48299c94b28538521f73199b44fce01d6c34f2ebc1dedf
xerces-j,org.apache.xerces.dom.AttrNSImpl,AttrNSImpl,class,true,"public class AttrNSImpl extends AttrImpl {
    String getLocalName();
    String getNamespaceURI();
    String getPrefix();
    String getTypeName();
    String getTypeNamespace();
    boolean isDerivedFrom(String, String, int);
    void rename(String, String);
    void setName(String, String);
    void setPrefix(String);
}
",9,0,0,0,8c93ad3b01daf545ad180559bdf72bb26e2ad6cf4393aaa4c2f4eb3627b52ff9
xerces-j,org.apache.xerces.dom.AttributeMap,AttributeMap,class,true,"public class AttributeMap extends NamedNodeMapImpl {
    int addItem(Node);
    void cloneContent(NamedNodeMapImpl);
    NamedNodeMapImpl cloneMap(NodeImpl);
    Node internalRemoveNamedItem(String, boolean);
    Node internalRemoveNamedItemNS(String, String, boolean);
    void moveSpecifiedAttributes(AttributeMap);
    void reconcileDefaults(NamedNodeMapImpl);
    Node remove(AttrImpl, int, boolean);
    Node removeItem(Node, boolean);
    Node removeNamedItem(String);
    Node removeNamedItemNS(String, String);
    Node safeRemoveNamedItem(String);
    Node safeRemoveNamedItemNS(String, String);
    Node setNamedItem(Node);
    Node setNamedItemNS(Node);
}
",15,0,0,0,f8c72c64c0b1aa48147c849247a3da68b418ad60b3ad6d95c65f83cfa73347bb
xerces-j,org.apache.xerces.dom.CDATASectionImpl,CDATASectionImpl,class,true,"public class CDATASectionImpl extends TextImpl implements CDATASection {
    String getNodeName();
    short getNodeType();
}
",2,0,1,0,2944b67e8504fc19387bba868babc7b140c5c1a6b469c1df65564c67366faa18
xerces-j,org.apache.xerces.dom.CharacterDataImpl,CharacterDataImpl,abstract class,true,"public abstract class CharacterDataImpl extends ChildNode {
    void appendData(String);
    void deleteData(int, int);
    NodeList getChildNodes();
    String getData();
    int getLength();
    String getNodeValue();
    void insertData(int, String);
    void internalDeleteData(int, int, boolean);
    void internalInsertData(int, String, boolean);
    void replaceData(int, int, String);
    void setData(String);
    void setNodeValue(String);
    void setNodeValueInternal(String);
    void setNodeValueInternal(String, boolean);
    String substringData(int, int);
}
",15,0,0,0,ff0367dfc1934a12ca4e927ad13e842901c04a5661c1067c27a6974c88f52a0c
xerces-j,org.apache.xerces.dom.CharacterDataImpl$1,CharacterDataImpl$1,class,false,"class CharacterDataImpl$1 implements NodeList {
    int getLength();
    Node item(int);
}
",2,0,1,0,e7ceb8aed12d83507ec1ee331d0d740b7c99f924386c42c8e80ae9ea72e7ac08
xerces-j,org.apache.xerces.dom.ChildNode,ChildNode,abstract class,true,"public abstract class ChildNode extends NodeImpl {
    Node cloneNode(boolean);
    Node getNextSibling();
    Node getParentNode();
    Node getPreviousSibling();
    NodeImpl parentNode();
    ChildNode previousSibling();
}
",6,0,0,0,f2c7f4a273af34c0e898de56519219ad17ea72ee7d7957d9c524ad1d9a615349
xerces-j,org.apache.xerces.dom.CommentImpl,CommentImpl,class,true,"public class CommentImpl extends CharacterDataImpl implements CharacterData, Comment {
    String getNodeName();
    short getNodeType();
}
",2,0,2,0,c419d2c7f9564311549e07592a606f27abe4d4efcfef3fa33612ab438a786d66
