subject,seed,solution_id,coupling,cohesion,imbalance,f_semantic,pymoo_f0_coupling,pymoo_f1_negative_cohesion,pymoo_f2_imbalance,pymoo_f3_f_semantic,feasible,is_injected_seed,injected_seed_name,injected_seed_category,label_vector
daytrader,16,seed16_solution000,0.174354243542435422,2.55426065162907312,1.6431351741190369786,0.48380835853296288995,0.174354243542435422,-2.55426065162907312,1.6431351741190369786,0.48380835853296288995,True,False,,,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 3, 4, 5, 0, 0, 0, 0, 0, 6, 7, 1, 1, 0, 8, 8, 0, 9, 10, 0, 0, 0, 0, 11, 7, 12, 13, 7, 7, 7, 7, 7, 7, 14, 15, 0, 16, 16, 17, 18, 18, 18, 0, 13]"
daytrader,16,seed16_solution001,0.17850553505535055043,3.3788220551378449485,1.6390135004138866037,0.51294832478359952965,0.17850553505535055043,-3.3788220551378449485,1.6390135004138866037,0.51294832478359952965,True,False,,,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 3, 4, 5, 0, 0, 0, 0, 0, 6, 7, 8, 8, 0, 9, 9, 0, 10, 11, 0, 0, 0, 0, 11, 7, 12, 13, 7, 7, 7, 7, 7, 7, 1, 14, 0, 15, 15, 16, 17, 18, 18, 0, 18]"
daytrader,16,seed16_solution002,0.17988929889298893583,2.1292717086834729301,1.5397891141964652473,0.50878746792598272819,0.17988929889298893583,-2.1292717086834729301,1.5397891141964652473,0.50878746792598272819,True,False,,,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 3, 4, 5, 0, 0, 0, 0, 0, 6, 7, 1, 1, 0, 8, 8, 0, 9, 5, 0, 0, 0, 0, 9, 7, 10, 11, 7, 7, 7, 7, 7, 7, 1, 12, 0, 9, 13, 14, 15, 16, 16, 0, 16]"
daytrader,16,seed16_solution003,0.18219557195571955965,2.4706845238095240802,1.4662453411685227866,0.49321478144048214176,0.18219557195571955965,-2.4706845238095240802,1.4662453411685227866,0.49321478144048214176,True,False,,,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 3, 4, 5, 0, 0, 0, 0, 0, 6, 7, 1, 1, 0, 8, 8, 0, 9, 5, 0, 0, 0, 0, 10, 7, 11, 12, 7, 7, 7, 7, 7, 7, 13, 13, 0, 10, 14, 14, 15, 15, 14, 0, 12]"
daytrader,16,seed16_solution004,0.18311808118081179808,1.2242857142857141994,1.4202422087968913367,0.48746875863000960205,0.18311808118081179808,-1.2242857142857141994,1.4202422087968913367,0.48746875863000960205,True,False,,,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 3, 4, 5, 0, 0, 0, 0, 0, 6, 7, 8, 8, 0, 8, 8, 0, 9, 10, 0, 0, 0, 0, 10, 7, 11, 12, 7, 7, 7, 7, 7, 7, 12, 13, 0, 14, 13, 13, 14, 14, 13, 0, 11]"
daytrader,16,seed16_solution005,0.18404059040590406426,2.5403361344537818134,1.4959301617294187281,0.52150470019042383107,0.18404059040590406426,-2.5403361344537818134,1.4959301617294187281,0.52150470019042383107,True,False,,,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 3, 4, 5, 0, 0, 0, 0, 0, 6, 7, 1, 1, 0, 8, 8, 0, 9, 10, 0, 0, 0, 0, 11, 7, 12, 4, 7, 13, 13, 7, 7, 7, 14, 15, 0, 16, 13, 13, 14, 14, 6, 0, 12]"
daytrader,16,seed16_solution006,0.18865313653136531191,2.9483709273182956423,1.5715973149402866493,0.58234300577489306328,0.18865313653136531191,-2.9483709273182956423,1.5715973149402866493,0.58234300577489306328,True,False,,,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 3, 4, 5, 0, 0, 0, 0, 0, 5, 6, 1, 1, 0, 7, 7, 0, 8, 9, 0, 0, 0, 0, 10, 9, 10, 11, 6, 12, 4, 9, 6, 6, 13, 14, 0, 15, 15, 16, 14, 17, 14, 0, 18]"
daytrader,16,seed16_solution007,0.19418819188191882574,3.3602031394275160281,1.5146137539916586512,0.54457394351985843883,0.19418819188191882574,-3.3602031394275160281,1.5146137539916586512,0.54457394351985843883,True,False,,,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 3, 4, 5, 0, 0, 0, 0, 0, 6, 7, 1, 1, 0, 8, 8, 0, 9, 10, 2, 0, 0, 0, 11, 7, 12, 6, 7, 13, 13, 7, 7, 7, 14, 15, 0, 11, 11, 15, 16, 17, 17, 0, 18]"
daytrader,16,seed16_solution008,0.19511070110701106417,3.4012698412698409989,1.3548168355483956038,0.5550607672161915751,0.19511070110701106417,-3.4012698412698409989,1.3548168355483956038,0.5550607672161915751,True,False,,,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 2, 3, 3, 0, 0, 0, 0, 0, 4, 4, 1, 1, 0, 5, 5, 0, 6, 6, 0, 0, 0, 0, 7, 8, 9, 10, 2, 5, 4, 8, 4, 4, 10, 11, 0, 12, 12, 13, 12, 13, 13, 0, 14]"
daytrader,16,seed16_solution009,0.19833948339483395418,1.75879120879120876,1.2780146582548002065,0.50110330370127353916,0.19833948339483395418,-1.75879120879120876,1.2780146582548002065,0.50110330370127353916,True,False,,,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2, 3, 3, 0, 0, 0, 0, 0, 3, 4, 1, 3, 0, 5, 6, 0, 5, 6, 0, 0, 0, 0, 7, 4, 8, 7, 4, 4, 4, 4, 4, 4, 9, 7, 0, 10, 10, 9, 11, 1, 11, 0, 12]"
daytrader,16,seed16_solution010,0.20571955719557194486,2.4292517006802722968,1.3512648505504814,0.54875041187357864736,0.20571955719557194486,-2.4292517006802722968,1.3512648505504814,0.54875041187357864736,True,False,,,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 3, 3, 4, 0, 0, 0, 0, 0, 5, 6, 1, 1, 0, 7, 7, 0, 8, 4, 0, 0, 0, 0, 9, 6, 6, 0, 6, 6, 6, 6, 6, 4, 10, 1, 0, 8, 11, 2, 12, 9, 2, 2, 13]"
daytrader,16,seed16_solution011,0.20664206642066421105,3.028125870231133554,1.5351581590043763548,0.53235368659057080709,0.20664206642066421105,-3.028125870231133554,1.5351581590043763548,0.53235368659057080709,True,False,,,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 3, 4, 5, 0, 0, 0, 0, 0, 6, 7, 1, 1, 0, 8, 8, 0, 9, 10, 2, 0, 11, 0, 12, 7, 13, 14, 7, 15, 15, 7, 7, 7, 16, 17, 0, 11, 11, 18, 19, 19, 19, 0, 20]"
daytrader,16,seed16_solution012,0.21079335793357933948,1.0313492063492062378,1.1997092326022287256,0.59975975176013440748,0.21079335793357933948,-1.0313492063492062378,1.1997092326022287256,0.59975975176013440748,True,False,,,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2, 3, 4, 0, 0, 0, 0, 0, 2, 4, 1, 1, 0, 5, 6, 0, 4, 1, 0, 0, 0, 0, 4, 5, 7, 8, 5, 9, 5, 5, 5, 8, 6, 7, 0, 4, 8, 9, 10, 5, 11, 0, 10]"
daytrader,16,seed16_solution013,0.21863468634686347714,1.6952380952380949886,1.2477106126313541878,0.56292773536756501862,0.21863468634686347714,-1.6952380952380949886,1.2477106126313541878,0.56292773536756501862,True,False,,,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 3, 3, 4, 0, 0, 0, 0, 0, 5, 4, 1, 1, 0, 5, 5, 0, 6, 7, 0, 0, 4, 0, 4, 5, 8, 9, 5, 6, 6, 10, 6, 6, 3, 11, 0, 12, 12, 12, 10, 12, 9, 0, 13]"
daytrader,16,seed16_solution014,0.22094095940959410096,3.5528404344193815767,1.1736091728365272147,0.56463665335220991626,0.22094095940959410096,-3.5528404344193815767,1.1736091728365272147,0.56463665335220991626,True,False,,,"[0, 0, 0, 0, 1, 0, 2, 0, 2, 0, 3, 4, 4, 0, 0, 0, 0, 0, 5, 6, 7, 7, 0, 5, 5, 0, 8, 9, 0, 0, 4, 0, 7, 10, 6, 11, 8, 8, 8, 10, 8, 8, 3, 11, 0, 12, 12, 12, 12, 12, 11, 0, 13]"
daytrader,16,seed16_solution015,0.226937269372693734,3.2196078431372550099,1.4032206255209853651,0.55069983705985658951,0.226937269372693734,-3.2196078431372550099,1.4032206255209853651,0.55069983705985658951,True,False,,,"[0, 0, 1, 0, 2, 0, 0, 0, 3, 0, 4, 5, 6, 0, 0, 0, 0, 0, 7, 8, 2, 2, 0, 9, 9, 0, 10, 1, 3, 0, 11, 0, 12, 8, 10, 13, 8, 14, 14, 8, 8, 8, 15, 16, 0, 11, 11, 17, 18, 18, 18, 0, 19]"
daytrader,16,seed16_solution016,0.23477859778597787166,3.6164799253034547455,1.1035719861048873813,0.57104235316860063598,0.23477859778597787166,-3.6164799253034547455,1.1035719861048873813,0.57104235316860063598,True,False,,,"[0, 0, 0, 0, 1, 0, 2, 3, 2, 0, 3, 4, 4, 0, 0, 0, 0, 0, 5, 6, 7, 7, 0, 5, 5, 0, 8, 9, 0, 0, 4, 0, 7, 10, 6, 11, 8, 8, 8, 10, 8, 8, 3, 11, 0, 12, 12, 12, 12, 12, 11, 0, 13]"
daytrader,16,seed16_solution017,0.23708487084870849548,4.0152464494569759523,1.1391289696697042277,0.55837592306058780878,0.23708487084870849548,-4.0152464494569759523,1.1391289696697042277,0.55837592306058780878,True,False,,,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 3, 3, 4, 0, 0, 0, 0, 0, 0, 5, 1, 1, 0, 6, 6, 0, 6, 7, 2, 0, 8, 0, 2, 5, 8, 4, 8, 9, 9, 8, 5, 5, 10, 1, 0, 11, 11, 10, 12, 12, 12, 13, 13]"
daytrader,16,seed16_solution018,0.24723247232472325696,1.3166179337231969093,1.103249351399525624,0.61915491278902279326,0.24723247232472325696,-1.3166179337231969093,1.103249351399525624,0.61915491278902279326,True,False,,,"[0, 0, 1, 0, 1, 0, 0, 2, 3, 0, 3, 4, 3, 0, 0, 0, 0, 0, 1, 5, 1, 2, 0, 5, 6, 0, 5, 6, 0, 0, 0, 0, 4, 4, 4, 6, 4, 4, 4, 4, 4, 5, 7, 8, 0, 9, 9, 7, 1, 8, 10, 0, 11]"
