subject,metric,seed_count,mean,std,median,min,max
jpetstore,projected_hv,30,0.38758006611155004784,0.010576762586862176879,0.38924751936893831061,0.36657534544482339722,0.40785762896096061647
jpetstore,selected_f_semantic,30,0.51209497851459917506,0.010244070375443573018,0.51226006853751848702,0.46566906033572097456,0.53359056396179638249
jpetstore,front_f_semantic_min,30,0.29653773752220313753,0.027619607065804199775,0.28651701579068378223,0.24101129252703723527,0.3562014513514241143
jpetstore,front_f_semantic_max,30,0.74764703577785529554,0.04336198272121129238,0.759941679878586962,0.67822210223615408964,0.83121872264641805117
jpetstore,front_size,30,99.966666666666668561,0.18257418583505535814,100,99,100
jpetstore,projected_front_size,30,52,7.2158828647118005151,51,41,69
daytrader,projected_hv,30,0.18981781771150027516,0.024457768754331397215,0.19021663412682782157,0.13828999457173357657,0.24492190270348487835
daytrader,selected_f_semantic,30,0.61487564627254287508,0.08375078752098742696,0.58661188730012325809,0.53444077439510162542,0.81306785165725159459
daytrader,front_f_semantic_min,30,0.47331745268433539353,0.033848148394687936624,0.48153866434680159259,0.33447256172508288419,0.50030432589065332305
daytrader,front_f_semantic_max,30,0.91145086216358139897,0.025057476482899850717,0.9189545520548509927,0.8450119672416221972,0.94598622252258324217
daytrader,front_size,30,99.966666666666668561,0.18257418583505535814,100,99,100
daytrader,projected_front_size,30,68.766666666666665719,6.2900212890014897127,68,49,77
xerces,projected_hv,30,0.13688409486984876029,0.018914252982772786216,0.13147207761734891474,0.12275716389604258982,0.22777871982745157009
xerces,selected_f_semantic,30,0.38732198570553866279,0.0016408736283687749228,0.38725947469944266288,0.38424145078674076803,0.39320302008217400402
xerces,front_f_semantic_min,30,0.38670323340068007978,0.001061895779988546824,0.38699400917863080451,0.38424145078674076803,0.38873194738704031082
xerces,front_f_semantic_max,30,0.97547519980621488767,0.0079507005337257959793,0.97914326879672053394,0.95948410750182033802,0.98448352132793226499
xerces,front_size,30,100,0,100,100,100
xerces,projected_front_size,30,84.033333333333331439,3.8639209434810215527,85,72,91
