seed,ari_raw_vs_ssa
0,0.7977899066151983
1,0.8158923143725575
2,0.9456703533854869
3,0.9456703533854869
4,0.9456703533854869
5,0.9456703533854869
6,0.9456703533854869
7,0.9456703533854869
8,0.7977899066151983
9,0.9456703533854869
10,0.9456703533854869
11,0.9456703533854869
12,0.7146353401860011
13,0.7977899066151983
14,0.9456703533854869
15,0.7977899066151983
16,0.7977899066151983
17,0.7977899066151983
18,0.9456703533854869
19,0.9456703533854869
20,0.9456703533854869
21,0.9456703533854869
22,0.5669427864254846
23,0.9456703533854869
24,0.9456703533854869
25,0.9456703533854869
26,0.9456703533854869
27,0.9456703533854869
28,0.9456703533854869
29,0.9456703533854869
