stage,subject,seed,profile,availability,realised_modularity_loss,imbalance_improvement,semantic_improvement,coupling_change,cohesion_change,cluster_count_change,singleton_ratio_change,equals_leiden,equals_conservative,statement
stage2,jpetstore,0,budgeted_balance_0.050,selected,0.017983602374828499409,1,,0.022222222222222198784,-0.57738095238095343831,0,0,False,False,Under a maximum 5% modularity-loss budget; realised loss may be lower than 5%.
stage2,jpetstore,1,budgeted_balance_0.050,selected,0.032422890477930697839,1,,0.022222222222222198784,-0.57738095238095255013,0,0,False,False,Under a maximum 5% modularity-loss budget; realised loss may be lower than 5%.
stage2,jpetstore,2,budgeted_balance_0.050,selected,0.032422890477930697839,1,,0.022222222222222198784,-0.57738095238095255013,0,0,False,False,Under a maximum 5% modularity-loss budget; realised loss may be lower than 5%.
stage2,jpetstore,3,budgeted_balance_0.050,selected,0.017983602374828499409,1,,0.022222222222222198784,-0.57738095238095343831,0,0,False,False,Under a maximum 5% modularity-loss budget; realised loss may be lower than 5%.
stage2,jpetstore,4,budgeted_balance_0.050,selected,0.032422890477930697839,1,,0.022222222222222198784,-0.57738095238095255013,0,0,False,False,Under a maximum 5% modularity-loss budget; realised loss may be lower than 5%.
stage2,jpetstore,5,budgeted_balance_0.050,selected,0.032422890477930697839,1,,0.022222222222222198784,-0.57738095238095255013,0,0,False,False,Under a maximum 5% modularity-loss budget; realised loss may be lower than 5%.
stage2,jpetstore,6,budgeted_balance_0.050,selected,0.039745967825349400038,1,,0.032098765432098698425,-0.64404761904761886893,0,0,False,False,Under a maximum 5% modularity-loss budget; realised loss may be lower than 5%.
stage2,jpetstore,7,budgeted_balance_0.050,selected,0.017983602374828499409,1,,0.022222222222222198784,-0.57738095238095343831,0,0,False,False,Under a maximum 5% modularity-loss budget; realised loss may be lower than 5%.
stage2,jpetstore,8,budgeted_balance_0.050,selected,0.017983602374828499409,1,,0.022222222222222198784,-0.57738095238095343831,0,0,False,False,Under a maximum 5% modularity-loss budget; realised loss may be lower than 5%.
stage2,jpetstore,9,budgeted_balance_0.050,selected,0.032422890477930697839,1,,0.022222222222222198784,-0.57738095238095255013,0,0,False,False,Under a maximum 5% modularity-loss budget; realised loss may be lower than 5%.
stage2,jpetstore,10,budgeted_balance_0.050,selected,0.012163755594017399558,0.42264973081037410241,,0,-0.56904761904761957947,0,0,False,False,Under a maximum 5% modularity-loss budget; realised loss may be lower than 5%.
stage2,jpetstore,11,budgeted_balance_0.050,selected,0.032422890477930697839,1,,0.022222222222222198784,-0.57738095238095255013,0,0,False,False,Under a maximum 5% modularity-loss budget; realised loss may be lower than 5%.
stage2,jpetstore,12,budgeted_balance_0.050,selected,0.032422890477930697839,1,,0.022222222222222198784,-0.57738095238095255013,0,0,False,False,Under a maximum 5% modularity-loss budget; realised loss may be lower than 5%.
stage2,jpetstore,13,budgeted_balance_0.050,selected,0.032422890477930697839,1,,0.022222222222222198784,-0.57738095238095255013,0,0,False,False,Under a maximum 5% modularity-loss budget; realised loss may be lower than 5%.
