matching_scope,caliper,metric,n_pairs,stage2_wins,ties,stage2_losses,mean_stage2_minus_leiden_raw,median_stage2_minus_leiden_raw,mean_stage2_quality_difference,median_stage2_quality_difference,wilcoxon_statistic,wilcoxon_p_two_sided,rank_biserial,n_nonzero_pairs
same_seed,0.01,weighted_modularity,7,3,0,4,-0.016061043048161094,-0.004636162021214363,-0.016061043048161094,-0.004636162021214363,12.0,0.8125,-0.14285714285714285,7
same_seed,0.01,coupling,7,6,0,1,-0.09218502899314708,-0.09547970479704798,0.09218502899314708,0.09547970479704798,1.0,0.03125,0.9285714285714286,7
same_seed,0.01,cohesion,7,1,0,6,-0.9862801904903746,-1.5548556998557004,-0.9862801904903746,-1.5548556998557004,7.0,0.296875,-0.5,7
same_seed,0.025,weighted_modularity,10,4,0,6,-0.019907051238409024,-0.003098948050135414,-0.019907051238409024,-0.003098948050135414,19.0,0.431640625,-0.3090909090909091,10
same_seed,0.025,coupling,10,9,0,1,-0.09137453874538745,-0.0915590405904059,0.09137453874538745,0.0915590405904059,1.0,0.00390625,0.9636363636363636,10
same_seed,0.025,cohesion,10,1,0,9,-1.447341269996732,-1.9285020843354181,-1.447341269996732,-1.9285020843354181,10.0,0.083984375,-0.6363636363636364,10
same_seed,0.05,weighted_modularity,20,11,1,8,-0.007915351481120858,0.0010011756886480205,-0.007915351481120858,0.0010011756886480205,88.0,0.7781771795228314,0.07368421052631578,19
same_seed,0.05,coupling,20,18,1,1,-0.09746309963099634,-0.09640221402214019,0.09746309963099634,0.09640221402214019,3.0,9.5367431640625e-06,0.9789473684210527,19
same_seed,0.05,cohesion,20,4,0,16,-1.5145680043037442,-1.731302308802308,-1.5145680043037442,-1.731302308802308,26.0,0.0019855499267578125,-0.7523809523809524,20
same_seed,0.1,weighted_modularity,23,12,2,9,-0.01159154283414722,0.000914530881932385,-0.01159154283414722,0.000914530881932385,112.0,0.9031748075260909,0.030303030303030304,21
same_seed,0.1,coupling,23,20,2,1,-0.0967832504412001,-0.09594095940959407,0.0967832504412001,0.09594095940959407,4.0,4.584865687664736e-05,0.9826839826839827,21
same_seed,0.1,cohesion,23,5,0,18,-1.647122541235635,-1.9077489177489158,-1.647122541235635,-1.9077489177489158,33.0,0.0007376670837402344,-0.7608695652173914,23
pooled_all_seeds,0.01,weighted_modularity,15,9,0,6,-0.012283662792808733,0.004962316689587687,-0.012283662792808733,0.004962316689587687,58.0,0.93408203125,0.03333333333333333,15
pooled_all_seeds,0.01,coupling,15,12,0,3,-0.07447724477244773,-0.09547970479704798,0.07447724477244773,0.09547970479704798,6.0,0.0008544921875,0.9,15
pooled_all_seeds,0.01,cohesion,15,2,0,13,-1.4550679139306595,-1.3809015059015053,-1.4550679139306595,-1.3809015059015053,17.0,0.012451171875,-0.7166666666666667,15
pooled_all_seeds,0.025,weighted_modularity,19,10,0,9,-0.03185907511507622,0.0038086482686782164,-0.03185907511507622,0.0038086482686782164,75.0,0.4413337707519531,-0.21052631578947367,19
pooled_all_seeds,0.025,coupling,19,14,0,5,-0.06722179063895903,-0.09547970479704798,0.06722179063895903,0.09547970479704798,28.0,0.005329132080078125,0.7052631578947368,19
pooled_all_seeds,0.025,cohesion,19,3,0,16,-0.7839795465890118,-1.3809015059015053,-0.7839795465890118,-1.3809015059015053,39.0,0.02298736572265625,-0.5894736842105263,19
pooled_all_seeds,0.05,weighted_modularity,23,13,0,10,-0.02265651964487314,0.0038086482686782164,-0.02265651964487314,0.0038086482686782164,127.0,0.7539846897125244,-0.07971014492753623,23
pooled_all_seeds,0.05,coupling,23,18,0,5,-0.0739210652976095,-0.09547970479704798,0.0739210652976095,0.09547970479704798,32.0,0.0006387233734130859,0.7681159420289855,23
pooled_all_seeds,0.05,cohesion,23,4,0,19,-0.9648286689201317,-1.3809015059015053,-0.9648286689201317,-1.3809015059015053,50.0,0.006032705307006836,-0.6376811594202898,23
pooled_all_seeds,0.1,weighted_modularity,24,14,0,10,-0.018739931330932297,0.004385482479132952,-0.018739931330932297,0.004385482479132952,146.0,0.9218088388442993,-0.02666666666666667,24
pooled_all_seeds,0.1,coupling,24,19,0,5,-0.0797009532595326,-0.09663284132841327,0.0797009532595326,0.09663284132841327,32.0,0.0003223419189453125,0.7866666666666666,24
pooled_all_seeds,0.1,cohesion,24,4,0,20,-1.1328063614669304,-1.4678786028786028,-1.1328063614669304,-1.4678786028786028,52.0,0.0039006471633911133,-0.6533333333333333,24
same_seed_cluster_count_delta_le_1,0.01,weighted_modularity,0,0,0,0,,,,,,,,0
same_seed_cluster_count_delta_le_1,0.01,coupling,0,0,0,0,,,,,,,,0
same_seed_cluster_count_delta_le_1,0.01,cohesion,0,0,0,0,,,,,,,,0
same_seed_cluster_count_delta_le_1,0.025,weighted_modularity,0,0,0,0,,,,,,,,0
same_seed_cluster_count_delta_le_1,0.025,coupling,0,0,0,0,,,,,,,,0
same_seed_cluster_count_delta_le_1,0.025,cohesion,0,0,0,0,,,,,,,,0
same_seed_cluster_count_delta_le_1,0.05,weighted_modularity,2,0,1,1,-0.0040407648656745065,-0.0040407648656745065,-0.0040407648656745065,-0.0040407648656745065,,,-1.0,1
same_seed_cluster_count_delta_le_1,0.05,coupling,2,1,1,0,-0.0011531365313653674,-0.0011531365313653674,0.0011531365313653674,0.0011531365313653674,,,1.0,1
same_seed_cluster_count_delta_le_1,0.05,cohesion,2,2,0,0,0.42279311597493363,0.42279311597493363,0.42279311597493363,0.42279311597493363,0.0,0.5,1.0,2
same_seed_cluster_count_delta_le_1,0.1,weighted_modularity,4,0,2,2,-0.04749486407456323,-0.0040407648656745065,-0.04749486407456323,-0.0040407648656745065,0.0,0.5,-1.0,2
same_seed_cluster_count_delta_le_1,0.1,coupling,4,2,2,0,-0.0011531365313653674,-0.0011531365313653674,0.0011531365313653674,0.0011531365313653674,0.0,0.125,1.0,2
same_seed_cluster_count_delta_le_1,0.1,cohesion,4,3,0,1,-0.19884257156984497,0.3460143391961563,-0.19884257156984497,0.3460143391961563,4.0,0.875,0.2,4
