stage2_seed,matching_scope,match_found,stage2_solution_id,stage2_imbalance,stage2_weighted_modularity,stage2_coupling,stage2_cohesion,stage2_cluster_count,stage2_singleton_ratio,stage2_max_cluster_ratio,leiden_seed,leiden_resolution,leiden_imbalance,leiden_weighted_modularity,leiden_coupling,leiden_cohesion,leiden_cluster_count,leiden_singleton_ratio,leiden_max_cluster_ratio,leiden_stage2_feasible,imbalance_gap,cluster_count_difference,stage2_minus_leiden_modularity,stage2_minus_leiden_coupling,stage2_minus_leiden_cohesion
0,same_seed,True,seed0_solution039,0.6670818690439126,0.3216794561280484,0.4225092250922509,7.351755651755651,9,0.0188679245283018,0.2264150943396226,0,1.5,0.6929950064983758,0.3084043441333859,0.518450184501845,8.610714285714286,14,0.07547169811320754,0.16981132075471697,True,0.02591313745446311,-5,0.01327511199466247,-0.09594095940959407,-1.2589586339586347
1,same_seed,True,seed1_solution029,0.731238580191551,0.3144780972140901,0.4303505535055351,5.668242251575585,9,0.0377358490566037,0.2452830188679245,1,1.25,0.7356071203629408,0.31911425923530445,0.4833948339483395,7.9703907203907205,13,0.07547169811320754,0.18867924528301888,True,0.004368540171389879,-4,-0.004636162021214363,-0.0530442804428044,-2.302148468815136
2,same_seed,True,seed2_solution042,0.7044586680224328,0.324596763898912,0.4178966789667896,7.772061272061273,9,0.0188679245283018,0.2452830188679245,2,1.75,0.7072326344902382,0.3055102267466401,0.5216789667896679,8.767857142857142,14,0.07547169811320754,0.16981132075471697,True,0.0027739664678053666,-5,0.019086537152271932,-0.10378228782287824,-0.9957958707958694
3,same_seed,True,seed3_solution047,0.4769518739533788,0.2915974855666451,0.4515682656826568,5.040611471861472,8,0.0,0.2264150943396226,3,2.75,0.5719813732537403,0.2234805192263177,0.6605166051660517,9.5625,16,0.07547169811320754,0.1509433962264151,True,0.09502949930036153,-8,0.0681169663403274,-0.20894833948339492,-4.521888528138528
4,same_seed,True,seed4_solution036,0.7827346608562845,0.3202020797306681,0.4220479704797047,6.9924525474525465,10,0.0377358490566037,0.2452830188679245,4,1.25,0.7356071203629408,0.31911425923530445,0.4833948339483395,7.9703907203907205,13,0.07547169811320754,0.18867924528301888,True,0.04712754049334367,-3,0.001087820495363656,-0.06134686346863477,-0.977938172938174
5,same_seed,True,seed5_solution036,0.6998957355091098,0.2639563561226019,0.422970479704797,7.744797178130511,9,0.0188679245283018,0.2830188679245283,5,1.5,0.6929950064983758,0.3084043441333859,0.518450184501845,8.610714285714286,14,0.07547169811320754,0.16981132075471697,True,0.006900729010734019,-5,-0.044447988010784034,-0.09547970479704798,-0.8659171075837744
6,same_seed,True,seed6_solution069,0.335933845561601,0.1629220224397815,0.613929889298893,13.658417508417507,6,0.0,0.2264150943396226,6,2.75,0.5597130933657104,0.2799045322095289,0.5701107011070111,11.566106442577032,17,0.09433962264150944,0.1320754716981132,True,0.2237792478041094,-11,-0.11698250976974739,0.04381918819188191,2.092311065840475
7,same_seed,True,seed7_solution046,0.5027514186594048,0.2542787322476545,0.5027675276752768,6.024138207471541,9,0.0,0.2075471698113207,7,2.75,0.5517053402722055,0.220255885676938,0.6642066420664207,10.036904761904761,16,0.07547169811320754,0.1320754716981132,True,0.048953921612800766,-7,0.034022846570716525,-0.1614391143911439,-4.01276655443322
8,same_seed,True,seed8_solution044,0.6960704432338384,0.3016022215111449,0.4428044280442804,7.055858585858585,10,0.0188679245283018,0.2264150943396226,8,1.5,0.6929950064983758,0.3084043441333859,0.518450184501845,8.610714285714286,14,0.07547169811320754,0.16981132075471697,True,0.003075436735462622,-4,-0.0068021226222410025,-0.0756457564575646,-1.5548556998557004
9,same_seed,True,seed9_solution045,0.7089922350209786,0.3093188750153183,0.4349630996309963,7.509518876185543,9,0.0188679245283018,0.2452830188679245,9,1.5,0.6929950064983758,0.3084043441333859,0.518450184501845,8.610714285714286,14,0.07547169811320754,0.16981132075471697,True,0.01599722852260288,-5,0.000914530881932385,-0.08348708487084872,-1.101195409528743
