seed,leiden_coupling,selected_coupling,leiden_cohesion,selected_cohesion,leiden_imbalance,selected_imbalance,leiden_modularity,selected_modularity
0,0.41789667896678967,0.4225092250922509,6.5407774044137685,7.351755651755651,0.8929931748074893,0.6670818690439126,0.324596763898912,0.32167945612804844
1,0.41789667896678967,0.4303505535055351,6.5407774044137685,5.668242251575585,0.8929931748074893,0.731238580191551,0.324596763898912,0.3144780972140901
2,0.41789667896678967,0.41789667896678967,6.5407774044137685,7.772061272061273,0.8929931748074893,0.7044586680224328,0.324596763898912,0.324596763898912
3,0.41789667896678967,0.45156826568265684,6.5407774044137685,5.040611471861472,0.8929931748074893,0.4769518739533788,0.324596763898912,0.2915974855666451
4,0.41789667896678967,0.42204797047970477,6.5407774044137685,6.9924525474525465,0.8929931748074893,0.7827346608562845,0.324596763898912,0.3202020797306681
5,0.41789667896678967,0.42297047970479706,6.5407774044137685,7.744797178130511,0.8929931748074893,0.6998957355091098,0.324596763898912,0.26395635612260193
6,0.41789667896678967,0.613929889298893,6.5407774044137685,13.658417508417509,0.8929931748074893,0.33593384556160105,0.324596763898912,0.16292202243978154
7,0.41789667896678967,0.5027675276752768,6.5407774044137685,6.024138207471541,0.8929931748074893,0.5027514186594048,0.324596763898912,0.25427873224765457
8,0.4077490774907749,0.44280442804428044,6.322857950130677,7.055858585858585,0.8797391114622466,0.6960704432338384,0.3222938949292629,0.30160222151114496
9,0.41789667896678967,0.43496309963099633,6.5407774044137685,7.509518876185543,0.8929931748074893,0.7089922350209786,0.324596763898912,0.30931887501531835
10,0.41789667896678967,0.4547970479704797,6.5407774044137685,6.240295121545122,0.8929931748074893,0.6220694913899825,0.324596763898912,0.2952269934369086
11,0.41789667896678967,0.41559040590405905,6.5407774044137685,6.772379136015499,0.8929931748074893,0.9358186239726222,0.324596763898912,0.31651523416756305
12,0.42297047970479706,0.4663284132841328,6.32983682983683,7.5005597577026135,0.8752764909240153,0.5228832626623026,0.3207882220081428,0.2774492236965729
13,0.41789667896678967,0.4460332103321033,6.5407774044137685,5.716221873364731,0.8929931748074893,0.5552429799834777,0.324596763898912,0.27990325567462315
14,0.41789667896678967,0.4188191881918819,6.5407774044137685,8.68452380952381,0.8929931748074893,0.653331686535124,0.324596763898912,0.3233561847265152
15,0.41789667896678967,0.41559040590405905,6.5407774044137685,4.4393939393939394,0.8929931748074893,0.8095636963367899,0.324596763898912,0.1426988373320081
16,0.41789667896678967,0.43588560885608857,6.5407774044137685,7.6396584896584905,0.8929931748074893,0.6426183534311849,0.324596763898912,0.3126535033223947
17,0.41789667896678967,0.41789667896678967,6.5407774044137685,7.0012043512043505,0.8929931748074893,0.8312600291287053,0.324596763898912,0.324596763898912
18,0.41789667896678967,0.39990774907749077,6.5407774044137685,6.495537958773253,0.8929931748074893,0.41808527936151585,0.324596763898912,0.15721612416769942
19,0.41789667896678967,0.5046125461254612,6.5407774044137685,5.080898268398268,0.8929931748074893,0.4059893356858493,0.324596763898912,0.17229849045492282
20,0.41789667896678967,0.5009225092250923,6.5407774044137685,5.951851851851852,0.8929931748074893,0.41164951375983827,0.324596763898912,0.269597257492409
21,0.41789667896678967,0.43634686346863466,6.5407774044137685,7.234480103230103,0.8929931748074893,0.5987408170800917,0.324596763898912,0.2908870938916955
22,0.41420664206642066,0.44511070110701106,7.082885632885632,6.386263736263737,0.8342524894126091,0.6203502725574942,0.31537390558407413,0.21079271966612664
23,0.41789667896678967,0.41789667896678967,6.5407774044137685,7.154761904761905,0.8929931748074893,0.8482176148297745,0.324596763898912,0.324596763898912
24,0.41789667896678967,0.4432656826568266,6.5407774044137685,5.611212121212121,0.8929931748074893,0.52729013632008,0.324596763898912,0.1252555197369319
25,0.41789667896678967,0.4215867158671587,6.5407774044137685,6.044011544011544,0.8929931748074893,0.6525138288977578,0.324596763898912,0.32230325618523714
26,0.41789667896678967,0.4474169741697417,6.5407774044137685,6.751448714684009,0.8929931748074893,0.24673012887966078,0.324596763898912,0.14092668774934983
27,0.41789667896678967,0.48385608856088563,6.5407774044137685,21.135315664727425,0.8929931748074893,1.0861764501603213,0.324596763898912,0.13685517966803282
28,0.41789667896678967,0.518450184501845,6.5407774044137685,5.208134920634921,0.8929931748074893,0.3692525620902061,0.324596763898912,0.2221943039310469
29,0.4174354243542435,0.5465867158671587,8.53566341066341,15.189810806477473,0.8544899527716416,0.6574057128371451,0.31250319133726384,0.16588145586252911
