subject,seed,mojofm_vs_reference,pairwise_f1,ari_vs_reference,nmi_vs_reference
daytrader,0,30.434782608695656,0.2110817941952506,0.0856593774826794,0.4319175643688384
daytrader,1,23.913043478260864,0.188295165394402,0.0544061401584085,0.4053819156005925
daytrader,2,26.086956521739136,0.1912144702842377,0.0598387849143136,0.4156189277170753
daytrader,3,26.086956521739136,0.1897018970189701,0.0645260897008005,0.4155966830295237
daytrader,4,23.913043478260864,0.1736842105263157,0.0419537684881764,0.4016084860897256
daytrader,5,23.913043478260864,0.1450777202072539,0.0065713012399835,0.361631762943126
daytrader,6,23.913043478260864,0.1690821256038647,0.0251310020318682,0.2907157518727903
daytrader,7,19.565217391304344,0.1489971346704871,0.0257473540880113,0.3858599580447058
daytrader,8,26.086956521739136,0.1712707182320442,0.0459618384735389,0.4191950653303213
daytrader,9,23.913043478260864,0.1752577319587629,0.0409409635828997,0.3940092166975839
daytrader,10,23.913043478260864,0.1763224181360201,0.0391089805649264,0.3707386530295335
daytrader,11,23.913043478260864,0.1730279898218829,0.0366206757099773,0.41139746822806
daytrader,12,21.73913043478261,0.1711491442542787,0.0291377955865176,0.352048081035525
daytrader,13,21.73913043478261,0.1634615384615384,0.0179074644472114,0.3206546895014224
daytrader,14,23.913043478260864,0.1683168316831682,0.0274412273773714,0.3620371859472663
daytrader,15,17.391304347826086,0.1036269430051813,-0.041594938699896,0.3319217652193255
daytrader,16,21.73913043478261,0.160427807486631,0.0288194787355341,0.3745648780739316
daytrader,17,26.086956521739136,0.1892583120204603,0.0562010897981583,0.4191838143266032
daytrader,18,23.913043478260864,0.2120141342756183,0.0411864184664923,0.2238710848395752
daytrader,19,19.565217391304344,0.1173184357541899,-0.0144533179264008,0.309450914705515
daytrader,20,26.086956521739136,0.1547619047619047,0.0380879345603272,0.4122123661785641
daytrader,21,21.73913043478261,0.1530612244897959,0.0137111517367458,0.3642008720664071
daytrader,22,28.26086956521739,0.1494252873563218,0.0266689574862073,0.424501494472755
daytrader,23,23.913043478260864,0.1721518987341772,0.0349189351266839,0.395695690316436
daytrader,24,26.086956521739136,0.1381381381381381,0.020574847570791,0.3953829997317788
daytrader,25,21.73913043478261,0.1648936170212765,0.0332374075000893,0.3885199431785037
daytrader,26,19.565217391304344,0.1863117870722433,0.0174655320623454,0.2042529505927556
daytrader,27,17.391304347826086,0.0925449871465295,-0.0556247585730964,0.3485511240003127
daytrader,28,26.086956521739136,0.1586402266288951,0.0351004587956261,0.3690090958815775
daytrader,29,19.565217391304344,0.1061007957559681,-0.035221785789124,0.2906925036546652
