seed,leiden_mojofm,leiden_modularity,selected_mojofm,selected_modularity,selected_minus_leiden_mojofm,selected_origin,front_best_mojofm,front_best_mojofm_modularity,front_best_mojofm_strict,front_best_mojofm_lenient,n_above_paired_leiden_all,n_above_paired_leiden_strict,n_above_paired_leiden_lenient,selection_gap_strict
0,23.913043478260864,0.324596763898912,30.434782608695656,0.3216794561280484,6.521739130434792,evolved,32.608695652173914,0.1177166237183589,,30.434782608695656,21,0,1,
1,23.913043478260864,0.324596763898912,23.913043478260864,0.3144780972140901,0.0,evolved,32.608695652173914,0.0978084235985349,,26.086956521739136,23,0,1,
2,23.913043478260864,0.324596763898912,26.086956521739136,0.324596763898912,2.1739130434782723,evolved,34.78260869565217,0.0979321411064665,26.086956521739136,26.086956521739136,26,1,3,0.0
3,23.913043478260864,0.324596763898912,26.086956521739136,0.2915974855666451,2.1739130434782723,evolved,32.608695652173914,0.0973402544219169,,,25,0,0,
4,23.913043478260864,0.324596763898912,23.913043478260864,0.3202020797306681,0.0,evolved,34.78260869565217,0.0982403179082528,,26.086956521739136,24,0,1,
5,23.913043478260864,0.324596763898912,23.913043478260864,0.2639563561226019,0.0,evolved,36.95652173913043,0.0931546028444602,,,22,0,0,
6,23.913043478260864,0.324596763898912,23.913043478260864,0.1629220224397815,0.0,evolved,32.608695652173914,0.1079647480630709,,,19,0,0,
7,23.913043478260864,0.324596763898912,19.565217391304344,0.2542787322476545,-4.34782608695652,evolved,34.78260869565217,0.0969079346005637,,,30,0,0,
8,26.086956521739136,0.3222938949292629,26.086956521739136,0.3016022215111449,0.0,evolved,36.95652173913043,0.1140524366498277,,26.086956521739136,27,0,0,
9,23.913043478260864,0.324596763898912,23.913043478260864,0.3093188750153183,0.0,evolved,34.78260869565217,0.1048970219291676,,23.913043478260864,20,0,0,
10,23.913043478260864,0.324596763898912,23.913043478260864,0.2952269934369086,0.0,evolved,32.608695652173914,0.0804206352718509,,23.913043478260864,24,0,0,
11,23.913043478260864,0.324596763898912,23.913043478260864,0.316515234167563,0.0,injected,32.608695652173914,0.1084218539371739,,23.913043478260864,35,0,0,
12,32.608695652173914,0.3207882220081428,21.73913043478261,0.2774492236965729,-10.869565217391305,evolved,34.78260869565217,0.1133528955215751,,,3,0,0,
13,23.913043478260864,0.324596763898912,21.73913043478261,0.2799032556746231,-2.1739130434782545,evolved,32.608695652173914,0.0787000789749596,,,31,0,0,
14,23.913043478260864,0.324596763898912,23.913043478260864,0.3233561847265152,0.0,evolved,34.78260869565217,0.101784191561934,,23.913043478260864,20,0,0,
15,23.913043478260864,0.324596763898912,17.391304347826086,0.1426988373320081,-6.521739130434778,evolved,30.434782608695656,0.1139826527416566,,,27,0,0,
16,23.913043478260864,0.324596763898912,21.73913043478261,0.3126535033223947,-2.1739130434782545,evolved,30.434782608695656,0.1446276815743248,,21.73913043478261,25,0,0,
17,23.913043478260864,0.324596763898912,26.086956521739136,0.324596763898912,2.1739130434782723,injected,32.608695652173914,0.1054176354148227,26.086956521739136,28.26086956521739,39,1,2,0.0
18,23.913043478260864,0.324596763898912,23.913043478260864,0.1572161241676994,0.0,evolved,34.78260869565217,0.1044868287128443,,,13,0,0,
19,23.913043478260864,0.324596763898912,19.565217391304344,0.1722984904549228,-4.34782608695652,evolved,34.78260869565217,0.0934408657970343,,,32,0,0,
20,23.913043478260864,0.324596763898912,26.086956521739136,0.269597257492409,2.1739130434782723,evolved,32.608695652173914,0.0644113982652743,,,17,0,0,
21,23.913043478260864,0.324596763898912,21.73913043478261,0.2908870938916955,-2.1739130434782545,evolved,32.608695652173914,0.1038900486444901,,,27,0,0,
22,28.26086956521739,0.31537390558407413,28.26086956521739,0.2107927196661266,0.0,evolved,39.13043478260869,0.1312117252284147,,,13,0,0,
23,23.913043478260864,0.324596763898912,23.913043478260864,0.324596763898912,0.0,injected,32.608695652173914,0.0944354992442913,23.913043478260864,26.086956521739136,27,0,1,0.0
24,23.913043478260864,0.324596763898912,26.086956521739136,0.1252555197369319,2.1739130434782723,evolved,32.608695652173914,0.1047773467817703,,,31,0,0,
25,23.913043478260864,0.324596763898912,21.73913043478261,0.3223032561852371,-2.1739130434782545,evolved,34.78260869565217,0.0982006389482715,,21.73913043478261,23,0,0,
26,23.913043478260864,0.324596763898912,19.565217391304344,0.1409266877493498,-4.34782608695652,evolved,30.434782608695656,0.1067962931128389,,,13,0,0,
27,23.913043478260864,0.324596763898912,17.391304347826086,0.1368551796680328,-6.521739130434778,evolved,41.30434782608695,0.090404095634591,,,20,0,0,
28,23.913043478260864,0.324596763898912,26.086956521739136,0.2221943039310469,2.1739130434782723,evolved,32.608695652173914,0.096308707840307,,,15,0,0,
29,30.434782608695656,0.31250319133726384,19.565217391304344,0.1658814558625291,-10.869565217391312,evolved,34.78260869565217,0.0963997673302378,,,4,0,0,
