subject,seed,mojofm_vs_reference,pairwise_f1,ari_vs_reference,nmi_vs_reference,reference_coverage_ratio
daytrader,0,23.913043478260864,0.1775456919060052,0.04535797701311211,0.4210370859980581,1.0
daytrader,1,23.913043478260864,0.1775456919060052,0.04535797701311211,0.4210370859980581,1.0
daytrader,2,23.913043478260864,0.1775456919060052,0.04535797701311211,0.4210370859980581,1.0
daytrader,3,23.913043478260864,0.1775456919060052,0.04535797701311211,0.4210370859980581,1.0
daytrader,4,23.913043478260864,0.1775456919060052,0.04535797701311211,0.4210370859980581,1.0
daytrader,5,23.913043478260864,0.1775456919060052,0.04535797701311211,0.4210370859980581,1.0
daytrader,6,23.913043478260864,0.1775456919060052,0.04535797701311211,0.4210370859980581,1.0
daytrader,7,23.913043478260864,0.1775456919060052,0.04535797701311211,0.4210370859980581,1.0
daytrader,8,26.086956521739136,0.18421052631578944,0.054158179080683724,0.42791011455615635,1.0
daytrader,9,23.913043478260864,0.1775456919060052,0.04535797701311211,0.4210370859980581,1.0
daytrader,10,23.913043478260864,0.1775456919060052,0.04535797701311211,0.4210370859980581,1.0
daytrader,11,23.913043478260864,0.1775456919060052,0.04535797701311211,0.4210370859980581,1.0
daytrader,12,32.608695652173914,0.24274406332453824,0.12235532219909369,0.46954366629758076,1.0
daytrader,13,23.913043478260864,0.1775456919060052,0.04535797701311211,0.4210370859980581,1.0
daytrader,14,23.913043478260864,0.1775456919060052,0.04535797701311211,0.4210370859980581,1.0
daytrader,15,23.913043478260864,0.1775456919060052,0.04535797701311211,0.4210370859980581,1.0
daytrader,16,23.913043478260864,0.1775456919060052,0.04535797701311211,0.4210370859980581,1.0
daytrader,17,23.913043478260864,0.1775456919060052,0.04535797701311211,0.4210370859980581,1.0
daytrader,18,23.913043478260864,0.1775456919060052,0.04535797701311211,0.4210370859980581,1.0
daytrader,19,23.913043478260864,0.1775456919060052,0.04535797701311211,0.4210370859980581,1.0
daytrader,20,23.913043478260864,0.1775456919060052,0.04535797701311211,0.4210370859980581,1.0
daytrader,21,23.913043478260864,0.1775456919060052,0.04535797701311211,0.4210370859980581,1.0
daytrader,22,28.260869565217394,0.19318181818181818,0.07511532935037435,0.4731174151140874,1.0
daytrader,23,23.913043478260864,0.1775456919060052,0.04535797701311211,0.4210370859980581,1.0
daytrader,24,23.913043478260864,0.1775456919060052,0.04535797701311211,0.4210370859980581,1.0
daytrader,25,23.913043478260864,0.1775456919060052,0.04535797701311211,0.4210370859980581,1.0
daytrader,26,23.913043478260864,0.1775456919060052,0.04535797701311211,0.4210370859980581,1.0
daytrader,27,23.913043478260864,0.1775456919060052,0.04535797701311211,0.4210370859980581,1.0
daytrader,28,23.913043478260864,0.1775456919060052,0.04535797701311211,0.4210370859980581,1.0
daytrader,29,30.434782608695656,0.20224719101123598,0.08393101252785527,0.48437377187741104,1.0
