subject,seed,solution_id,mojofm_vs_reference,weighted_modularity,coupling,cohesion,imbalance,cluster_count,singleton_count,max_cluster_size,feasible,is_injected_seed,acceptable_strict,acceptable_lenient
daytrader,0,seed0_solution000,30.434782608695656,0.1005309534183902,0.1743542435424354,3.2353968253968253,1.4013165756699728,15,4,21,True,False,False,False
daytrader,0,seed0_solution001,26.086956521739136,0.1086362054234011,0.1757380073800738,5.0593650793650795,1.3587525952746289,15,2,21,True,False,False,False
daytrader,0,seed0_solution002,30.434782608695656,0.0949378157296333,0.1798892988929889,2.7203296703296704,1.2743882860957194,13,2,21,True,False,False,False
daytrader,0,seed0_solution003,32.608695652173914,0.0981753210059775,0.1891143911439114,3.2792731829573936,1.3309578934753503,15,4,20,True,False,False,False
daytrader,0,seed0_solution004,28.26086956521739,0.0865911922495609,0.1904981549815498,3.370408163265306,1.3024335739941373,14,2,21,True,False,False,False
daytrader,0,seed0_solution005,28.26086956521739,0.0865384288067973,0.1904981549815498,3.245054945054945,1.233794922586552,13,1,21,True,False,False,False
daytrader,0,seed0_solution006,21.73913043478261,0.1083251564180771,0.1997232472324723,1.1337662337662338,1.1767898965669945,11,3,21,True,False,False,False
daytrader,0,seed0_solution007,26.086956521739136,0.087934638859765,0.2020295202952029,2.4983709273182955,1.219428576004266,14,3,20,True,False,False,False
daytrader,0,seed0_solution008,30.434782608695656,0.0876960332103321,0.2020295202952029,2.305937921727395,1.15634365630525,13,1,20,True,False,False,False
daytrader,0,seed0_solution009,32.608695652173914,0.082445006876268,0.2071033210332103,2.5230994152046784,1.1032493513995256,12,2,20,True,False,False,False
daytrader,0,seed0_solution010,23.913043478260864,0.0750215308887406,0.2103321033210332,1.6597402597402595,1.0904289265509348,11,1,21,True,False,False,False
daytrader,0,seed0_solution011,26.086956521739136,0.0821857639125284,0.2195571955719557,2.0551169590643275,1.0993703495816765,12,2,20,True,False,False,False
daytrader,0,seed0_solution012,23.913043478260864,0.0620290649977533,0.2209409594095941,3.747994987468672,1.13002959790106,12,2,20,True,False,False,False
daytrader,0,seed0_solution013,23.913043478260864,0.0925684605669857,0.2283210332103321,4.956365272154745,1.086176450160321,13,1,19,True,False,False,False
daytrader,0,seed0_solution014,21.73913043478261,0.0702842034762599,0.2366236162361623,3.893414090782512,1.0597997486780089,12,0,19,True,False,False,False
daytrader,0,seed0_solution015,19.565217391304344,0.0881273956305062,0.2453874538745387,3.1508714596949896,1.0060337725862851,12,2,18,True,False,False,False
daytrader,0,seed0_solution016,23.913043478260864,0.0904502636470092,0.2495387453874538,1.3883541295306,1.000533855363234,11,3,18,True,False,False,False
daytrader,0,seed0_solution017,17.391304347826086,0.0586301844337631,0.2509225092250922,3.16046783625731,0.9622641509433962,10,2,19,True,False,False,False
daytrader,0,seed0_solution018,23.913043478260864,0.0733052297082011,0.2596863468634686,1.4028654970760237,0.8971693153183955,10,0,19,True,False,False,False
daytrader,0,seed0_solution019,21.73913043478261,0.0922563477825738,0.264760147601476,3.785966386554622,0.7962621828682713,10,0,17,True,False,False,False
daytrader,0,seed0_solution020,23.913043478260864,0.0848467009231901,0.2762915129151291,4.7300150829562595,1.024790612377379,13,2,18,True,False,False,False
daytrader,0,seed0_solution021,17.391304347826086,0.0847454291540149,0.2818265682656826,4.225070028011204,0.9847538377886708,11,3,18,True,False,False,False
daytrader,0,seed0_solution022,26.086956521739136,0.0827121218052586,0.2887453874538745,4.366004583651643,0.9524097708772802,11,1,18,True,False,False,False
daytrader,0,seed0_solution023,23.913043478260864,0.0792427126877356,0.3048892988929889,1.6466911764705885,0.727578093760711,8,1,17,True,False,False,False
daytrader,0,seed0_solution024,19.565217391304344,0.0737145719012541,0.3118081180811808,3.459390756302521,0.7917786889946146,10,0,17,True,False,False,False
daytrader,0,seed0_solution025,17.391304347826086,0.0852288103715908,0.3191881918819188,4.131337535014006,0.8607165832420409,10,1,17,True,False,False,False
daytrader,0,seed0_solution026,21.73913043478261,0.0706423778951812,0.3261070110701107,3.5740476190476196,0.7309951180305855,10,0,16,True,False,False,False
daytrader,0,seed0_solution027,23.913043478260864,0.0703885602047902,0.3307195571955719,3.7180952380952377,0.675303025214086,10,0,15,True,False,False,False
daytrader,0,seed0_solution028,21.73913043478261,0.1047186261761141,0.3422509225092251,7.583660130718954,1.0144909478317028,12,3,18,True,False,False,False
daytrader,0,seed0_solution029,23.913043478260864,0.0707697122520119,0.3436346863468634,4.462179487179487,0.8893980188220886,13,0,16,True,False,False,False
daytrader,0,seed0_solution030,17.391304347826086,0.1111270441578954,0.3514760147601476,7.758374183006537,0.9218289434193288,12,2,17,True,False,False,False
daytrader,0,seed0_solution031,23.913043478260864,0.0722623006903501,0.363929889298893,4.552747252747253,0.830188679245283,13,0,15,True,False,False,False
daytrader,0,seed0_solution032,32.608695652173914,0.0824609635625877,0.3690036900369003,4.705837789661319,0.8526130964298115,11,1,17,True,False,False,False
daytrader,0,seed0_solution033,32.608695652173914,0.1177166237183589,0.3768450184501845,3.2863553113553117,0.6145848103736729,10,1,13,True,False,False,False
