seed,leiden_coupling,selected_coupling,leiden_cohesion,selected_cohesion,leiden_imbalance,selected_imbalance,leiden_modularity,selected_modularity
0,0.1808195542774982,0.20879942487419123,8.53912910545388,8.336160470852038,1.686500876212215,1.2822422354171839,0.6555663778806128,0.6615191429343901
1,0.21156002875629043,0.20879942487419123,8.41863725018315,8.337180593738605,1.4977158242894872,1.2847820672188999,0.6603827683459884,0.6615191429343901
2,0.21725377426312006,0.21156002875629043,8.353865424388971,8.071040518044304,1.3819322896675499,1.3140990007829096,0.659778520332797,0.6590097036458774
3,0.20092020129403307,0.20879942487419123,8.397218714029204,8.068765336183423,1.4925071486451749,1.314526165589089,0.6604477141488485,0.6615191429343901
4,0.195255212077642,0.20879942487419123,8.382059091764715,8.068765336183423,1.5085895044846729,1.314526165589089,0.6530617397142552,0.6615191429343901
5,0.2127390366642703,0.20879942487419123,8.07988849053784,8.068765336183423,1.3162334385120285,1.314526165589089,0.6605534351725196,0.6615191429343901
6,0.20739036664270308,0.20879942487419123,8.296934989757165,8.337302013929023,1.4098270677912008,1.2845706063703295,0.658341633619874,0.6615191429343901
7,0.21141624730409778,0.21958303378864127,8.27253562273066,8.585165176382803,1.336699664529845,1.2400805641622938,0.6635893804322024,0.6508496541131117
8,0.20132278936017253,0.20879942487419123,8.520446226247099,8.068765336183423,1.4679042407127805,1.314526165589089,0.6611381524755496,0.6615191429343901
9,0.20092020129403307,0.20879942487419123,8.397218714029204,8.068765336183423,1.4925071486451749,1.314526165589089,0.6604477141488485,0.6615191429343901
10,0.19660675772825306,0.20879942487419123,8.466633675768964,8.33523677194499,1.4002737017747349,1.282242235417184,0.6638661953887773,0.6615191429343901
11,0.19784327821710998,0.20879942487419123,8.312833417755984,8.068765336183423,1.4499458285683329,1.314526165589089,0.6612500092770661,0.6615191429343901
12,0.21552839683680805,0.20879942487419123,8.32249063354576,8.336436871540824,1.3408931928946883,1.2825952905919755,0.6605263008939767,0.6615191429343901
13,0.21179007907979872,0.20879942487419123,8.261961901718767,8.618194498764867,1.327249894509999,1.2485924679897535,0.6638347478734067,0.6615191429343901
14,0.20014378145219267,0.20879942487419123,8.400569362047506,8.068765336183423,1.5136531094881618,1.314526165589089,0.6602801379516543,0.6615191429343901
15,0.21202012940330697,0.20879942487419123,8.396483424225304,8.068765336183423,1.4470388676828538,1.314526165589089,0.6609349664398138,0.6615191429343901
16,0.20520488856937455,0.20879942487419123,8.190963400280497,8.33772418072287,1.4746191054631153,1.2806522826524371,0.6612574482875407,0.6615191429343901
17,0.21633357296908698,0.20879942487419123,8.269769226150675,8.068765336183423,1.301622415639087,1.314526165589089,0.656568934627006,0.6615191429343901
18,0.19830337886412652,0.21998562185478074,8.339418333597614,3.5466728491511263,1.4960219674273558,1.244203094524617,0.6638600761494111,0.6517570310525765
19,0.2160747663551402,0.20879942487419123,8.323987162056774,8.068765336183423,1.3598038091706284,1.314526165589089,0.6608551248371602,0.6615191429343901
20,0.21000718907260962,0.20914450035945362,8.265597806970872,8.066547050991584,1.332968556411804,1.3136716970761495,0.664155109900833,0.661166868246698
21,0.19715312724658518,0.22999281092739038,8.348643882731222,8.320998168129831,1.5109586273004516,1.2688247112976978,0.663576249288743,0.6418573648715574
22,0.2310567936736161,0.2106685837526959,8.163933116264761,8.053087002426441,1.3560806233909828,1.308747676927165,0.6535992785086342,0.6598625023451258
23,0.19539899352983464,0.20879942487419123,8.282233371423319,8.930861911888618,1.3588711924917645,1.2198986269944039,0.6559781171038611,0.6615191429343901
24,0.19315600287562903,0.20862688713156002,8.290341514965354,8.337351255525443,1.4411131057071442,1.2846058522623744,0.6593934184066303,0.6620448141255381
25,0.19683680805176132,0.20879942487419123,8.467435243502765,8.068765336183423,1.4033334669520534,1.314526165589089,0.6626794470564485,0.6615191429343901
26,0.2095470884255931,0.20879942487419123,8.252773528839606,8.068765336183423,1.3434906509877373,1.314526165589089,0.6635972192605303,0.6615191429343901
27,0.2153846153846154,0.21696621135873473,8.237823304514077,8.014142705409801,1.2701443248291113,1.2962836204231194,0.6622972389516688,0.6541089094368259
28,0.22309130122214235,0.20934579439252338,1.1339853829155149,8.073852464215255,1.2771840516210153,1.3158068279567052,0.6565457356809115,0.6609102132896213
29,0.22335010783608913,0.22225736879942487,8.402910276928102,0.9993417278293867,1.4087990160989436,1.2406098592614063,0.6578347737147878,0.6480104175915915
