stage,rank_role,focal_cluster_id,external_cluster_id,external_class_count,external_classes,boundary_edge_count,boundary_weight,connected_focal_classes
1,highest,C01,C02,6,"[""com.ibm.websphere.samples.daytrader.TradeServices"",""com.ibm.websphere.samples.daytrader.util.CompleteOrderThread"",""com.ibm.websphere.samples.daytrader.util.TradeConfig"",""com.ibm.websphere.samples.daytrader.web.TradeServletAction"",""com.ibm.websphere.samples.daytrader.web.TradeWebContextListener"",""com.ibm.websphere.samples.daytrader.web.jsf.TradeConfigJSF""]",17,165,"[""com.ibm.websphere.samples.daytrader.TradeAction"",""com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean"",""com.ibm.websphere.samples.daytrader.direct.TradeDirect"",""com.ibm.websphere.samples.daytrader.util.Log"",""com.ibm.websphere.samples.daytrader.web.OrdersAlertFilter""]"
1,highest,C01,C03,7,"[""com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean"",""com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton"",""com.ibm.websphere.samples.daytrader.entities.HoldingDataBean"",""com.ibm.websphere.samples.daytrader.entities.QuoteDataBean"",""com.ibm.websphere.samples.daytrader.web.jsf.MarketSummaryJSF"",""com.ibm.websphere.samples.daytrader.web.jsf.PortfolioJSF"",""com.ibm.websphere.samples.daytrader.web.jsf.QuoteJSF""]",15,123,"[""com.ibm.websphere.samples.daytrader.TradeAction"",""com.ibm.websphere.samples.daytrader.direct.TradeDirect"",""com.ibm.websphere.samples.daytrader.util.Log"",""com.ibm.websphere.samples.daytrader.web.websocket.MarketSummaryWebSocket""]"
1,highest,C01,C04,3,"[""com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB"",""com.ibm.websphere.samples.daytrader.ejb3.DTStreamer3MDB"",""com.ibm.websphere.samples.daytrader.util.MDBStats""]",4,66,"[""com.ibm.websphere.samples.daytrader.direct.TradeDirect"",""com.ibm.websphere.samples.daytrader.util.Log""]"
1,highest,C01,C05,6,"[""com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean"",""com.ibm.websphere.samples.daytrader.entities.AccountDataBean"",""com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean"",""com.ibm.websphere.samples.daytrader.entities.OrderDataBean"",""com.ibm.websphere.samples.daytrader.web.jsf.AccountDataJSF"",""com.ibm.websphere.samples.daytrader.web.jsf.OrderDataJSF""]",17,291,"[""com.ibm.websphere.samples.daytrader.TradeAction"",""com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean"",""com.ibm.websphere.samples.daytrader.direct.TradeDirect"",""com.ibm.websphere.samples.daytrader.util.Log"",""com.ibm.websphere.samples.daytrader.web.jsf.TradeAppJSF""]"
1,highest,C01,C06,1,"[""com.ibm.websphere.samples.daytrader.util.KeyBlock""]",1,2,"[""com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect""]"
2,highest,C01,C02,5,"[""com.ibm.websphere.samples.daytrader.TradeServices"",""com.ibm.websphere.samples.daytrader.util.CompleteOrderThread"",""com.ibm.websphere.samples.daytrader.util.TradeConfig"",""com.ibm.websphere.samples.daytrader.web.TradeServletAction"",""com.ibm.websphere.samples.daytrader.web.jsf.TradeConfigJSF""]",15,159,"[""com.ibm.websphere.samples.daytrader.TradeAction"",""com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean"",""com.ibm.websphere.samples.daytrader.direct.TradeDirect"",""com.ibm.websphere.samples.daytrader.util.Log"",""com.ibm.websphere.samples.daytrader.web.OrdersAlertFilter""]"
2,highest,C01,C03,6,"[""com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean"",""com.ibm.websphere.samples.daytrader.entities.HoldingDataBean"",""com.ibm.websphere.samples.daytrader.entities.QuoteDataBean"",""com.ibm.websphere.samples.daytrader.web.jsf.MarketSummaryJSF"",""com.ibm.websphere.samples.daytrader.web.jsf.PortfolioJSF"",""com.ibm.websphere.samples.daytrader.web.jsf.QuoteJSF""]",14,113,"[""com.ibm.websphere.samples.daytrader.TradeAction"",""com.ibm.websphere.samples.daytrader.direct.TradeDirect"",""com.ibm.websphere.samples.daytrader.util.Log"",""com.ibm.websphere.samples.daytrader.web.websocket.MarketSummaryWebSocket""]"
2,highest,C01,C04,4,"[""com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB"",""com.ibm.websphere.samples.daytrader.ejb3.DTStreamer3MDB"",""com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton"",""com.ibm.websphere.samples.daytrader.util.MDBStats""]",5,76,"[""com.ibm.websphere.samples.daytrader.direct.TradeDirect"",""com.ibm.websphere.samples.daytrader.util.Log""]"
2,highest,C01,C05,6,"[""com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean"",""com.ibm.websphere.samples.daytrader.entities.AccountDataBean"",""com.ibm.websphere.samples.daytrader.entities.AccountProfileDataBean"",""com.ibm.websphere.samples.daytrader.entities.OrderDataBean"",""com.ibm.websphere.samples.daytrader.web.jsf.AccountDataJSF"",""com.ibm.websphere.samples.daytrader.web.jsf.OrderDataJSF""]",17,291,"[""com.ibm.websphere.samples.daytrader.TradeAction"",""com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean"",""com.ibm.websphere.samples.daytrader.direct.TradeDirect"",""com.ibm.websphere.samples.daytrader.util.Log"",""com.ibm.websphere.samples.daytrader.web.jsf.TradeAppJSF""]"
2,highest,C01,C06,1,"[""com.ibm.websphere.samples.daytrader.util.KeyBlock""]",1,2,"[""com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect""]"
