stage,focal_cluster_id,source_class,target_class,weight
stage2,C13,org.apache.xerces.impl.dv.DatatypeException,org.apache.xerces.impl.xs.XMLSchemaLoader,8
stage2,C13,org.apache.xerces.impl.dv.DatatypeException,org.apache.xerces.impl.xs.XMLSchemaValidator,16
stage2,C13,org.apache.xerces.impl.dv.InvalidDatatypeValueException,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,26
stage2,C13,org.apache.xerces.impl.dv.InvalidDatatypeValueException,org.apache.xerces.impl.xs.traversers.XSAttributeChecker,36
stage2,C13,org.apache.xerces.impl.dv.ObjectFactory,org.apache.xerces.impl.dv.SchemaDVFactory,4
stage2,C13,org.apache.xerces.impl.dv.SchemaDVFactory,org.apache.xerces.impl.xs.SchemaGrammar$BuiltinSchemaGrammar,14
stage2,C13,org.apache.xerces.impl.dv.SchemaDVFactory,org.apache.xerces.impl.xs.XMLSchemaLoader,3
stage2,C13,org.apache.xerces.impl.dv.ValidatedInfo,org.apache.xerces.impl.dv.XSSimpleType,6
stage2,C13,org.apache.xerces.impl.dv.ValidatedInfo,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,20
stage2,C13,org.apache.xerces.impl.dv.ValidatedInfo,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$2,4
stage2,C13,org.apache.xerces.impl.dv.ValidatedInfo,org.apache.xerces.impl.dv.xs.XSSimpleTypeDelegate,3
stage2,C13,org.apache.xerces.impl.dv.ValidatedInfo,org.apache.xerces.impl.xs.SchemaGrammar$BuiltinAttrDecl,1
stage2,C13,org.apache.xerces.impl.dv.ValidatedInfo,org.apache.xerces.impl.xs.XSAttributeDecl,5
stage2,C13,org.apache.xerces.impl.dv.ValidatedInfo,org.apache.xerces.impl.xs.XSAttributeGroupDecl,4
stage2,C13,org.apache.xerces.impl.dv.ValidatedInfo,org.apache.xerces.impl.xs.XSAttributeUseImpl,3
stage2,C13,org.apache.xerces.impl.dv.ValidatedInfo,org.apache.xerces.impl.xs.XSConstraints,9
stage2,C13,org.apache.xerces.impl.dv.ValidatedInfo,org.apache.xerces.impl.xs.XSElementDecl,3
stage2,C13,org.apache.xerces.impl.dv.ValidatedInfo,org.apache.xerces.impl.xs.traversers.XSDAttributeTraverser,12
stage2,C13,org.apache.xerces.impl.dv.ValidatedInfo,org.apache.xerces.impl.xs.traversers.XSDElementTraverser,4
stage2,C13,org.apache.xerces.impl.dv.ValidatedInfo,org.apache.xerces.impl.xs.util.XSObjectListImpl,2
stage2,C13,org.apache.xerces.impl.dv.ValidatedInfo,org.apache.xerces.xs.XSObjectList,5
stage2,C13,org.apache.xerces.impl.dv.ValidatedInfo,org.apache.xerces.xs.XSSimpleTypeDefinition,4
stage2,C13,org.apache.xerces.impl.dv.ValidationContext,org.apache.xerces.impl.dv.XSSimpleType,4
stage2,C13,org.apache.xerces.impl.dv.ValidationContext,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,27
stage2,C13,org.apache.xerces.impl.dv.ValidationContext,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl$4,1
stage2,C13,org.apache.xerces.impl.dv.ValidationContext,org.apache.xerces.impl.dv.xs.XSSimpleTypeDelegate,4
stage2,C13,org.apache.xerces.impl.dv.ValidationContext,org.apache.xerces.impl.xs.XSConstraints,1
stage2,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.impl.xs.SchemaGrammar$BuiltinSchemaGrammar,2
stage2,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.impl.xs.XMLSchemaLoader,4
stage2,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.impl.xs.XMLSchemaValidator,17
stage2,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.jaxp.validation.DOMResultAugmentor,4
stage2,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.jaxp.validation.DOMResultBuilder,4
stage2,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.jaxp.validation.ValidatorHandlerImpl$XMLSchemaTypeInfoProvider,2
stage2,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.parsers.AbstractDOMParser,8
stage2,C13,org.apache.xerces.impl.dv.XSSimpleType,org.apache.xerces.xpointer.ShortHandPointer,2
stage2,C13,org.apache.xerces.impl.dv.util.Base64,org.apache.xerces.impl.dv.xs.Base64BinaryDV,2
stage2,C13,org.apache.xerces.impl.dv.util.Base64,org.apache.xerces.impl.dv.xs.Base64BinaryDV$XBase64,2
stage2,C13,org.apache.xerces.impl.dv.xs.AnyAtomicDV,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,2
stage2,C13,org.apache.xerces.impl.dv.xs.AnySimpleDV,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,2
stage2,C13,org.apache.xerces.impl.dv.xs.AnyURIDV,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,2
stage2,C13,org.apache.xerces.impl.dv.xs.Base64BinaryDV,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,2
stage2,C13,org.apache.xerces.impl.dv.xs.BaseSchemaDVFactory,org.apache.xerces.impl.xs.XMLSchemaLoader,2
stage2,C13,org.apache.xerces.impl.dv.xs.BooleanDV,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,2
stage2,C13,org.apache.xerces.impl.dv.xs.DateDV,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,2
stage2,C13,org.apache.xerces.impl.dv.xs.DateTimeDV,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,2
stage2,C13,org.apache.xerces.impl.dv.xs.DayDV,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,2
stage2,C13,org.apache.xerces.impl.dv.xs.DayTimeDurationDV,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,2
stage2,C13,org.apache.xerces.impl.dv.xs.DecimalDV,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,2
stage2,C13,org.apache.xerces.impl.dv.xs.DoubleDV,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,2
stage2,C13,org.apache.xerces.impl.dv.xs.DurationDV,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,2
stage2,C13,org.apache.xerces.impl.dv.xs.EntityDV,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,2
stage2,C13,org.apache.xerces.impl.dv.xs.FloatDV,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,2
stage2,C13,org.apache.xerces.impl.dv.xs.HexBinaryDV,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,2
stage2,C13,org.apache.xerces.impl.dv.xs.IDDV,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,2
stage2,C13,org.apache.xerces.impl.dv.xs.IDREFDV,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,2
stage2,C13,org.apache.xerces.impl.dv.xs.IntegerDV,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,2
stage2,C13,org.apache.xerces.impl.dv.xs.ListDV,org.apache.xerces.impl.dv.xs.ListDV$ListData,2
stage2,C13,org.apache.xerces.impl.dv.xs.ListDV,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,2
stage2,C13,org.apache.xerces.impl.dv.xs.MonthDV,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,2
stage2,C13,org.apache.xerces.impl.dv.xs.MonthDayDV,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,2
stage2,C13,org.apache.xerces.impl.dv.xs.PrecisionDecimalDV,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,2
stage2,C13,org.apache.xerces.impl.dv.xs.QNameDV,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,4
stage2,C13,org.apache.xerces.impl.dv.xs.StringDV,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,2
stage2,C13,org.apache.xerces.impl.dv.xs.TimeDV,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,2
stage2,C13,org.apache.xerces.impl.dv.xs.TypeValidator,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,46
