stage,focal_cluster_id,rank,source_package_id,source_package_name,target_package_id,target_package_name,class_edge_count,aggregated_internal_weight
stage2,C13,1,P04,org.apache.xerces.impl.xs,P06,org.apache.xerces.impl.xs.traversers,69,1010
stage2,C13,2,P06,org.apache.xerces.impl.xs.traversers,P08,org.apache.xerces.util,14,661
stage2,C13,3,P04,org.apache.xerces.impl.xs,P09,org.apache.xerces.xs,80,285
stage2,C13,4,P04,org.apache.xerces.impl.xs,P08,org.apache.xerces.util,4,279
stage2,C13,5,P06,org.apache.xerces.impl.xs.traversers,P09,org.apache.xerces.xs,27,266
