stage,focal_cluster_id,rank,display_label,external_cluster_id,destination_cluster_count,external_class_count,aggregated_boundary_weight
stage2,C13,1,External C05,C05,1,26,538
stage2,C13,2,External C04,C04,1,20,429
stage2,C13,3,External C09,C09,1,34,218
stage2,C13,4,External C02,C02,1,10,131
stage2,C13,5,External C19,C19,1,15,128
stage2,C13,6,Other external clusters,OTHER,11,27,385
