stage,focal_cluster_id,source_package,external_cluster_id,external_class_count,external_classes,boundary_edge_count,aggregated_boundary_weight
stage1+stage3,C11,P04,C17,15,"[""org.apache.xerces.parsers.AbstractSAXParser"",""org.apache.xerces.parsers.DOMParser"",""org.apache.xerces.parsers.SAXParser""]",8,20
stage1+stage3,C11,P05,C02,10,"[""org.apache.xerces.xni.QName""]",1,2
stage1+stage3,C11,P05,C05,25,"[""org.apache.xerces.impl.xs.models.XSCMValidator""]",1,1
stage1+stage3,C11,P05,C10,3,"[""org.apache.xerces.impl.xs.models.CMBuilder""]",1,4
stage1+stage3,C11,P06,C02,10,"[""org.apache.xerces.impl.XMLErrorReporter"",""org.apache.xerces.impl.xs.opti.SchemaParsingConfig"",""org.apache.xerces.parsers.XML11Configuration"",""org.apache.xerces.xni.QName"",""org.apache.xerces.xni.parser.XMLComponentManager""]",8,80
stage1+stage3,C11,P06,C03,7,"[""org.apache.xerces.impl.xs.traversers.SchemaContentHandler"",""org.apache.xerces.util.NamespaceSupport"",""org.apache.xerces.util.SymbolTable""]",9,47
stage1+stage3,C11,P06,C04,19,"[""org.apache.xerces.impl.xs.XMLSchemaLoader"",""org.apache.xerces.impl.xs.traversers.XSDHandler$XSAnnotationGrammarPool"",""org.apache.xerces.util.DOMInputSource"",""org.apache.xerces.util.SAXInputSource"",""org.apache.xerces.util.StAXInputSource"",""org.apache.xerces.util.XMLResourceIdentifierImpl"",""org.apache.xerces.xni.grammars.XMLGrammarPool"",""org.apache.xerces.xni.parser.XMLEntityResolver"",""org.apache.xerces.xni.parser.XMLInputSource""]",9,120
stage1+stage3,C11,P06,C05,25,"[""org.apache.xerces.impl.dv.ValidatedInfo"",""org.apache.xerces.impl.validation.ValidationState"",""org.apache.xerces.impl.xs.identity.Field"",""org.apache.xerces.impl.xs.identity.IdentityConstraint"",""org.apache.xerces.impl.xs.identity.KeyRef"",""org.apache.xerces.impl.xs.identity.Selector"",""org.apache.xerces.impl.xs.identity.UniqueOrKey"",""org.apache.xerces.xs.StringList""]",17,119
stage1+stage3,C11,P06,C08,2,"[""org.apache.xerces.impl.XMLEntityManager"",""org.apache.xerces.util.XMLChar""]",5,30
stage1+stage3,C11,P06,C12,34,"[""org.apache.xerces.impl.dv.InvalidDatatypeValueException""]",1,36
stage1+stage3,C11,P06,C14,3,"[""org.apache.xerces.impl.xpath.XPathException"",""org.apache.xerces.impl.xs.identity.Field$XPath"",""org.apache.xerces.impl.xs.identity.Selector$XPath""]",3,8
stage1+stage3,C11,P06,C17,15,"[""org.apache.xerces.impl.xs.opti.DefaultDocument"",""org.apache.xerces.impl.xs.opti.ElementImpl"",""org.apache.xerces.impl.xs.opti.SchemaDOMParser"",""org.apache.xerces.impl.xs.traversers.StAXSchemaParser"",""org.apache.xerces.impl.xs.traversers.XSDHandler$SAX2XNIUtil"",""org.apache.xerces.parsers.SAXParser"",""org.apache.xerces.util.DefaultErrorHandler"",""org.apache.xerces.util.StAXLocationWrapper"",""org.apache.xerces.xni.parser.XMLParseException""]",10,78
stage1+stage3,C11,P07,C01,8,"[""org.apache.xerces.dom.DOMNormalizer""]",1,2
stage1+stage3,C11,P07,C03,7,"[""org.apache.xerces.jaxp.validation.DOMValidatorHelper""]",1,7
stage1+stage3,C11,P07,C04,19,"[""org.apache.xerces.xni.parser.XMLInputSource""]",1,5
stage1+stage3,C11,P07,C05,25,"[""org.apache.xerces.impl.dv.ValidatedInfo"",""org.apache.xerces.impl.xs.XMLSchemaValidator"",""org.apache.xerces.impl.xs.XSImplementationImpl"",""org.apache.xerces.impl.xs.identity.IdentityConstraint"",""org.apache.xerces.xs.StringList""]",6,13
stage1+stage3,C11,P07,C17,15,"[""org.apache.xerces.xni.XMLLocator""]",1,1
stage1+stage3,C11,P08,C01,8,"[""org.apache.xerces.dom.AttrImpl"",""org.apache.xerces.dom.NodeImpl""]",2,8
stage1+stage3,C11,P08,C03,7,"[""org.apache.xerces.util.PrimeNumberSequenceGenerator"",""org.apache.xml.serialize.DOMSerializerImpl""]",2,12
stage1+stage3,C11,P08,C17,15,"[""org.apache.xerces.impl.xs.opti.ElementImpl"",""org.apache.xerces.impl.xs.opti.NodeImpl"",""org.apache.xerces.parsers.AbstractSAXParser"",""org.apache.xerces.parsers.DOMParserImpl""]",4,29
stage1+stage3,C11,P09,C01,8,"[""org.apache.xerces.dom.ElementNSImpl""]",2,4
stage1+stage3,C11,P09,C04,19,"[""org.apache.xerces.xs.XSModel""]",10,13
stage1+stage3,C11,P09,C05,25,"[""org.apache.xerces.dom.PSVIAttrNSImpl"",""org.apache.xerces.dom.PSVIElementNSImpl"",""org.apache.xerces.impl.dv.ValidatedInfo"",""org.apache.xerces.impl.xs.AttributePSVImpl"",""org.apache.xerces.impl.xs.ElementPSVImpl"",""org.apache.xerces.impl.xs.XMLSchemaValidator"",""org.apache.xerces.impl.xs.identity.Field$Matcher"",""org.apache.xerces.impl.xs.identity.IdentityConstraint"",""org.apache.xerces.impl.xs.identity.KeyRef"",""org.apache.xerces.impl.xs.identity.Selector$Matcher"",""org.apache.xerces.impl.xs.identity.XPathMatcher"",""org.apache.xerces.xs.AttributePSVI"",""org.apache.xerces.xs.ElementPSVI"",""org.apache.xerces.xs.ItemPSVI"",""org.apache.xerces.xs.ShortList"",""org.apache.xerces.xs.StringList"",""org.apache.xerces.xs.XSValue""]",47,122
