stage,focal_cluster_id,source_package,target_package,class_edge_count,aggregated_internal_weight
stage2,C13,P01,P01,3,11
stage2,C13,P01,P03,16,90
stage2,C13,P01,P04,8,21
stage2,C13,P01,P06,16,100
stage2,C13,P01,P07,1,1
stage2,C13,P01,P08,1,1
stage2,C13,P01,P09,4,15
stage2,C13,P02,P02,0,0
stage2,C13,P02,P06,1,6
stage2,C13,P03,P03,15,387
stage2,C13,P03,P04,5,34
stage2,C13,P03,P06,3,6
stage2,C13,P03,P07,6,31
stage2,C13,P03,P08,5,225
stage2,C13,P03,P09,18,184
stage2,C13,P03,P10,4,15
stage2,C13,P04,P04,71,743
stage2,C13,P04,P05,4,17
stage2,C13,P04,P06,69,1010
stage2,C13,P04,P07,19,63
stage2,C13,P04,P08,4,279
stage2,C13,P04,P09,80,285
stage2,C13,P04,P10,1,2
stage2,C13,P05,P05,0,0
stage2,C13,P06,P06,75,1524
stage2,C13,P06,P07,22,235
stage2,C13,P06,P08,14,661
stage2,C13,P06,P09,27,266
stage2,C13,P06,P10,1,36
stage2,C13,P07,P07,8,39
stage2,C13,P07,P08,2,17
stage2,C13,P07,P09,9,33
stage2,C13,P07,P10,1,1
stage2,C13,P08,P08,2,14
stage2,C13,P09,P09,54,61
stage2,C13,P09,P10,1,1
stage2,C13,P10,P10,0,0
