subject,seed,solution_id,weighted_modularity,internal_edge_weight_ratio,internal_external_edge_ratio,cluster_count,average_cluster_size,max_cluster_size,min_cluster_size,max_cluster_ratio,singleton_ratio,cluster_size_distribution,mojofm_vs_reference,pairwise_f1,reference_coverage_ratio,ari_vs_reference,nmi_vs_reference,pairwise_precision,pairwise_recall
daytrader,0,seed0_solution000,0.09884709750003404,0.8173431734317343,4.474747474747475,14,3.7857142857142856,21,1,0.39622641509433965,0.09433962264150944,"{""1"": 5, ""2"": 3, ""21"": 1, ""3"": 4, ""9"": 1}",26.086956521739136,0.18140589569160998,1.0,0.031689304665023815,0.45189977029263745,0.1532567049808429,0.2222222222222222
daytrader,0,seed0_solution001,0.09802032839285958,0.816420664206642,4.447236180904523,16,3.3125,21,1,0.39622641509433965,0.11320754716981132,"{""1"": 6, ""2"": 7, ""21"": 1, ""3"": 1, ""9"": 1}",26.086956521739136,0.17889908256880735,1.0,0.030126924710212163,0.469129707918484,0.15234375,0.21666666666666667
daytrader,0,seed0_solution002,0.09793863015890306,0.816420664206642,4.447236180904523,16,3.3125,21,1,0.39622641509433965,0.11320754716981132,"{""1"": 6, ""2"": 7, ""21"": 1, ""3"": 1, ""9"": 1}",30.434782608695656,0.1834862385321101,1.0,0.03554521004702662,0.48129574410103865,0.15625,0.2222222222222222
daytrader,0,seed0_solution003,0.09653550554186352,0.8150369003690037,4.406483790523691,14,3.7857142857142856,21,1,0.39622641509433965,0.09433962264150944,"{""1"": 5, ""2"": 4, ""21"": 1, ""3"": 2, ""4"": 1, ""9"": 1}",26.086956521739136,0.18099547511312214,1.0,0.030927274281407107,0.4495579833612712,0.15267175572519084,0.2222222222222222
daytrader,0,seed0_solution004,0.08847610241554446,0.8136531365313653,4.366336633663367,13,4.076923076923077,21,1,0.39622641509433965,0.07547169811320754,"{""1"": 4, ""2"": 3, ""21"": 1, ""3"": 2, ""4"": 2, ""8"": 1}",28.260869565217394,0.18223234624145784,1.0,0.033222461510801216,0.4330718995228363,0.15444015444015444,0.2222222222222222
daytrader,0,seed0_solution005,0.09219273379311287,0.8108856088560885,4.287804878048781,12,4.416666666666667,21,1,0.39622641509433965,0.05660377358490566,"{""1"": 3, ""2"": 4, ""21"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""9"": 1}",23.913043478260864,0.17817371937639195,1.0,0.025676302305885253,0.424051839976584,0.14869888475836432,0.2222222222222222
daytrader,0,seed0_solution006,0.09241336157595895,0.8108856088560885,4.287804878048781,12,4.416666666666667,21,1,0.39622641509433965,0.05660377358490566,"{""1"": 3, ""2"": 3, ""21"": 1, ""3"": 2, ""4"": 2, ""9"": 1}",26.086956521739136,0.18344519015659952,1.0,0.03246346033248309,0.425161346969712,0.15355805243445692,0.22777777777777777
daytrader,0,seed0_solution007,0.08517711070791523,0.8104243542435424,4.2749391727493915,10,5.3,21,2,0.39622641509433965,0.0,"{""2"": 4, ""21"": 1, ""3"": 1, ""4"": 2, ""5"": 1, ""8"": 1}",28.260869565217394,0.18791946308724833,1.0,0.03776503041285305,0.4147262007857297,0.15730337078651685,0.23333333333333334
daytrader,0,seed0_solution008,0.08108368877738596,0.8048892988929889,4.125295508274232,10,5.3,21,2,0.39622641509433965,0.0,"{""2"": 3, ""21"": 1, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 1}",23.913043478260864,0.15034168564920272,1.0,-0.004479169516632716,0.380050854337468,0.1274131274131274,0.18333333333333332
daytrader,0,seed0_solution009,0.08341527978241038,0.7965867158671587,3.9160997732426304,10,5.3,20,1,0.37735849056603776,0.018867924528301886,"{""1"": 1, ""2"": 1, ""20"": 1, ""3"": 4, ""5"": 2, ""8"": 1}",26.086956521739136,0.1716937354988399,1.0,0.023059905710960813,0.386021543406182,0.14741035856573706,0.20555555555555555
