subject,node_count,directed_neighbour_rows,final_edge_count,isolated_node_count,self_loop_count,duplicate_edge_count,connected_component_count,edge_weight_min,edge_weight_mean,edge_weight_median,edge_weight_std,edge_weight_max,degree_min,degree_mean,degree_median,degree_std,degree_max,structural_overlap,novel_edge_proportion,random_structural_mean,random_structural_p95,random_structural_maximum,observed_minus_random_structural_mean,go,shared_stage3a_edge_count,edge_set_jaccard,mean_neighbour_retention,zero_retention_class_count,all_retained_class_count
jpetstore,24,72,47,0,0,0,1,0.5047401683262347,0.6473804879333757,0.6406034776280812,0.0746476726684776,0.8274440578938314,3.0,3.9166666666666665,4.0,1.1873172373979173,7.0,0.5319148936170213,0.46808510638297873,0.1932340425531915,0.2765957446808511,0.40425531914893614,0.3386808510638298,True,38,0.6666666666666666,0.8333333333333334,0,12
daytrader,53,159,112,0,0,0,1,0.32033118547526396,0.5972780797748535,0.6125671338608699,0.12418775074962304,0.8641171792777382,3.0,4.226415094339623,4.0,1.4490271223416056,8.0,0.4375,0.5625,0.11719642857142856,0.16071428571428573,0.20535714285714285,0.32030357142857147,True,81,0.5704225352112676,0.7421383647798742,1,20
xerces,814,2442,1681,0,0,0,12,0.43257303728805396,0.7235709824294102,0.715479495712092,0.11629653066273038,1.0,3.0,4.1302211302211305,4.0,1.3737610277704182,14.0,0.3491969066032124,0.6508030933967877,0.011392028554431884,0.015466983938132063,0.020226055919095775,0.3378048780487805,True,1274,0.6125,0.7563472563472564,9,333
