subject,seed,method,reference_status,reference_path,reference_source,reference_coverage,evaluation_policy,mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference,reference_coverage_ratio
jpetstore,25,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,25,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,26,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,26,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,26,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,27,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,27,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,27,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,28,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,28,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,28,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,29,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,29,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
jpetstore,29,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
daytrader,0,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,28.260869565217394239,0.18857142857142858428,0.18333333333333332038,0.18591549295774648098,0.065576386118867166508,0.42738794767539839414,1
daytrader,0,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.18055555555555555247,0.21666666666666667407,0.19696969696969693353,0.063522593219469652981,0.40790624408587844441,1
daytrader,0,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.15957446808510639125,0.16666666666666665741,0.16304347826086953988,0.034135595688901829159,0.37208211249829997724,1
daytrader,1,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,19.565217391304344119,0.13772455089820359597,0.12777777777777776791,0.13256484149855909949,0.0078173215387780242702,0.36432174261483829536,1
daytrader,1,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.16931216931216930277,0.17777777777777778456,0.17344173441734417329,0.045754037989110936391,0.43122086901540251924,1
daytrader,1,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.16748768472906402915,0.18888888888888888395,0.17754569190600519302,0.045357977013112109332,0.39601766720693987178,1
daytrader,2,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.18139534883720931369,0.21666666666666667407,0.1974683544303797722,0.064432117538711947136,0.42059333337213250514,1
daytrader,2,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.18139534883720931369,0.21666666666666667407,0.1974683544303797722,0.064432117538711947136,0.42059333337213250514,1
daytrader,2,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.1616161616161616299,0.17777777777777778456,0.16931216931216933053,0.037615323707084452609,0.381120944331708289,1
daytrader,3,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.16867469879518071085,0.15555555555555555802,0.16184971098265896194,0.041743000469992422308,0.35912787689584951822,1
daytrader,3,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,28.260869565217394239,0.17085427135678390997,0.18888888888888888395,0.17941952506596306471,0.048963432766265288509,0.39023468661284077541,1
daytrader,3,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,21.739130434782605761,0.17379679144385026812,0.36111111111111110494,0.2346570397111913675,0.070772871565527722959,0.30876064408118847338,1
daytrader,4,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.16190476190476191243,0.18888888888888888395,0.17435897435897437791,0.039201420466848546642,0.39187065216030653181,1
daytrader,4,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.13364055299539170929,0.1611111111111111216,0.1460957178841309767,0.0038469248058411774707,0.44080710615294327326,1
daytrader,4,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.16666666666666665741,0.1611111111111111216,0.16384180790960453655,0.040651783278296778346,0.43384397606991359497,1
daytrader,5,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.13733905579399141583,0.17777777777777778456,0.15496368038740920836,0.008886434174027369251,0.36223655321701431209,1
daytrader,5,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.18055555555555555247,0.21666666666666667407,0.19696969696969693353,0.063522593219469652981,0.41059141663518816667,1
daytrader,5,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.18918918918918919969,0.19444444444444444753,0.19178082191780820853,0.068428168755872306739,0.44539260397639135469,1
daytrader,6,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.15714285714285713969,0.18333333333333332038,0.16923076923076921241,0.033233727426269968341,0.37695610790973010928,1
daytrader,6,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.16425120772946860681,0.18888888888888888395,0.1757105943152454941,0.04181652520021099384,0.41387102619112364765,1
daytrader,6,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.16753926701570681645,0.17777777777777778456,0.17250673854447440281,0.043916307703433840604,0.43164621796885765947,1
daytrader,7,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,21.739130434782605761,0.15294117647058824705,0.14444444444444443088,0.1485714285714285765,0.024830206601757297269,0.37458353728654408821,1
daytrader,7,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.16666666666666665741,0.18888888888888888395,0.17708333333333334259,0.044466680710624248429,0.41162147970743417913,1
daytrader,7,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.16666666666666665741,0.19444444444444444753,0.17948717948717948789,0.045169113507427124943,0.42843628629625896131,1
daytrader,8,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.17370892018779343635,0.20555555555555554692,0.18829516539440202538,0.05440614015840851414,0.39013452643872503778,1
daytrader,8,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.17000000000000001221,0.18888888888888888395,0.17894736842105260499,0.048055973784430071338,0.42317799212059753478,1
daytrader,8,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,19.565217391304344119,0.11538461538461539102,0.14999999999999999445,0.13043478260869564855,-0.020211742059672768018,0.29690546195789685457,1
