subject,seed,method,reference_status,reference_path,reference_source,reference_coverage,evaluation_policy,mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference,reference_coverage_ratio
daytrader,26,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,19.565217391304344119,0.11111111111111110494,0.17777777777777778456,0.1367521367521367659,-0.028616617149276463161,0.24878228593065035423,1
daytrader,26,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.17391304347826086474,0.2000000000000000111,0.18604651162790697416,0.053831365009612740236,0.42062863221022744886,1
daytrader,26,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.16355140186915886891,0.19444444444444444753,0.17766497461928934531,0.041683480291569714737,0.39711690317925629756,1
daytrader,27,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.16097560975609756517,0.18333333333333332038,0.17142857142857143016,0.037545157970792365776,0.4049740794279018119,1
daytrader,27,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.18048780487804877426,0.20555555555555554692,0.19220779220779218854,0.061681956516979392913,0.42375629659466340637,1
daytrader,27,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.14691943127962084348,0.17222222222222222099,0.15856777493606136198,0.020473686257394589638,0.36324309594145332003,1
daytrader,28,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,21.739130434782605761,0.16080402010050251493,0.17777777777777778456,0.16886543535620054945,0.036731451194127226478,0.40338604803159250345,1
daytrader,28,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,28.260869565217394239,0.1542553191489361708,0.1611111111111111216,0.15760869565217391908,0.027863748907660933207,0.41137674218038178253,1
daytrader,28,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,19.565217391304344119,0.11363636363636363258,0.11111111111111110494,0.11235955056179773581,-0.019288028314076520464,0.30955828572935667475,1
daytrader,29,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.15207373271889401689,0.18333333333333332038,0.16624685138539041507,0.027354961978564688169,0.38981004777207373113,1
daytrader,29,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,21.739130434782605761,0.15789473684210525439,0.2000000000000000111,0.17647058823529412908,0.035689293212036378444,0.38680022728780510954,1
daytrader,29,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,15.217391304347827941,0.1115879828326180323,0.14444444444444443088,0.12590799031476998526,-0.025191969235461658672,0.26611466137438671842,1
xerces,0,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,0,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,0,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,1,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,1,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,1,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,2,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,2,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,2,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,3,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,3,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,3,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,4,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,4,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,4,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,5,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,5,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,5,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,6,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,6,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,6,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,7,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,7,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,7,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,8,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,8,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,8,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,9,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,9,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,9,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,10,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,10,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,10,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,11,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,11,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,11,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,12,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,12,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,12,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,13,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,13,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,13,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,14,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,14,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,14,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,15,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,15,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,15,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,16,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,16,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,16,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,17,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,17,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,17,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,18,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,18,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,18,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,19,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,19,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,19,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,20,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,20,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,20,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,21,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,21,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,21,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,22,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,22,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,22,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,23,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,23,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,23,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,24,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,24,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,24,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,25,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,25,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,25,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,26,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,26,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,26,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,27,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,27,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,27,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,28,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,28,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,28,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,29,stage2,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,29,stage3a,unavailable,,,,saved selected partition only; no reselection,,,,,,,
xerces,29,stage3b,unavailable,,,,saved selected partition only; no reselection,,,,,,,
