subject,seed,stage2_hv,stage3b_projected_hv,delta_hv_stage3b_minus_stage2,stage2_selected_semantic_on_stage3b,stage3b_selected_f_semantic,delta_selected_f_semantic_stage3b_minus_stage2,stage2_selected_solution_id,stage3b_selected_solution_id,stage2_selected_is_injected_seed,stage3b_selected_is_injected_seed,stage3b_selected_seed_name,stage2_selected_ari_vs_leiden,stage2_selected_nmi_vs_leiden,stage2_selected_equals_leiden,stage3b_selected_ari_vs_leiden,stage3b_selected_nmi_vs_leiden,stage3b_selected_equals_leiden,stage2_vs_stage3b_selected_ari,stage2_vs_stage3b_selected_nmi,stage2_vs_stage3b_selected_partition_equal,stage2_vs_stage3a_selected_ari,stage2_vs_stage3a_selected_nmi,stage3b_front_size,stage3b_projected_front_size,stage3b_front_f_semantic_min,stage3b_front_f_semantic_mean,stage3b_front_f_semantic_max,stage3b_front_f_semantic_std,reference_status,stage2_coupling,stage3b_coupling,delta_coupling_stage3b_minus_stage2,stage2_cohesion,stage3b_cohesion,delta_cohesion_stage3b_minus_stage2,stage2_imbalance,stage3b_imbalance,delta_imbalance_stage3b_minus_stage2,stage2_weighted_modularity,stage3b_weighted_modularity,delta_weighted_modularity_stage3b_minus_stage2,stage2_internal_edge_weight_ratio,stage3b_internal_edge_weight_ratio,delta_internal_edge_weight_ratio_stage3b_minus_stage2,stage2_internal_external_edge_ratio,stage3b_internal_external_edge_ratio,delta_internal_external_edge_ratio_stage3b_minus_stage2,stage2_cluster_count,stage3b_cluster_count,delta_cluster_count_stage3b_minus_stage2,stage2_average_cluster_size,stage3b_average_cluster_size,delta_average_cluster_size_stage3b_minus_stage2,stage2_max_cluster_size,stage3b_max_cluster_size,delta_max_cluster_size_stage3b_minus_stage2,stage2_min_cluster_size,stage3b_min_cluster_size,delta_min_cluster_size_stage3b_minus_stage2,stage2_max_cluster_ratio,stage3b_max_cluster_ratio,delta_max_cluster_ratio_stage3b_minus_stage2,stage2_singleton_ratio,stage3b_singleton_ratio,delta_singleton_ratio_stage3b_minus_stage2,stage2_cluster_size_cv,stage3b_cluster_size_cv,delta_cluster_size_cv_stage3b_minus_stage2,stage2_mojofm_vs_reference,stage3b_mojofm_vs_reference,delta_mojofm_vs_reference_stage3b_minus_stage2,stage2_pairwise_precision,stage3b_pairwise_precision,delta_pairwise_precision_stage3b_minus_stage2,stage2_pairwise_recall,stage3b_pairwise_recall,delta_pairwise_recall_stage3b_minus_stage2,stage2_pairwise_f1,stage3b_pairwise_f1,delta_pairwise_f1_stage3b_minus_stage2,stage2_ari_vs_reference,stage3b_ari_vs_reference,delta_ari_vs_reference_stage3b_minus_stage2,stage2_nmi_vs_reference,stage3b_nmi_vs_reference,delta_nmi_vs_reference_stage3b_minus_stage2,stage2_reference_coverage_ratio,stage3b_reference_coverage_ratio,delta_reference_coverage_ratio_stage3b_minus_stage2
jpetstore,0,0.40787796639549128708,0.40539329983443933569,-0.0024846665610519513834,0.51226006853751848702,0.51226006853751848702,0,seed0_solution000,seed0_solution000,True,True,raw_leiden,1,1,True,1,1,True,1,1,True,1,1,100,61,0.3562014513514241143,0.5463518120765046282,0.78427093967525152163,0.099291752222786008875,unavailable,0.25185185185185182677,0.25185185185185182677,0,5.4773809523809520172,5.4773809523809520172,0,0.20412414523193148086,0.20412414523193148086,0,0.44206980643194654368,0.44206980643194654368,0,0.74814814814814811772,0.74814814814814811772,0,2.9705882352941177516,2.9705882352941177516,0,4,4,0,6,6,0,7,7,0,4,4,0,0.29166666666666668517,0.29166666666666668517,0,0,0,0,0.20412414523193148086,0.20412414523193148086,0,,,,,,,,,,,,,,,,,,,,,
jpetstore,1,0.40485147405653848507,0.38876923891856640658,-0.016082235137972078487,0.51226006853751848702,0.51226006853751848702,0,seed1_solution000,seed1_solution000,True,True,raw_leiden,1,1,True,1,1,True,1,1,True,1,1,100,51,0.28651701579068378223,0.50513456530507760966,0.70967683360927913405,0.091928628747503723928,unavailable,0.25185185185185182677,0.25185185185185182677,0,5.4773809523809520172,5.4773809523809520172,0,0.20412414523193148086,0.20412414523193148086,0,0.44206980643194654368,0.44206980643194654368,0,0.74814814814814811772,0.74814814814814811772,0,2.9705882352941177516,2.9705882352941177516,0,4,4,0,6,6,0,7,7,0,4,4,0,0.29166666666666668517,0.29166666666666668517,0,0,0,0,0.20412414523193148086,0.20412414523193148086,0,,,,,,,,,,,,,,,,,,,,,
jpetstore,2,0.41042890000419895991,0.38978727721011502405,-0.020641622794083935855,0.51226006853751848702,0.51226006853751848702,0,seed2_solution001,seed2_solution000,True,True,raw_leiden,1,1,True,1,1,True,1,1,True,1,1,100,41,0.32774230946527704855,0.49769835390821520749,0.68152636317856751802,0.083621002910335681668,unavailable,0.25185185185185182677,0.25185185185185182677,0,5.4773809523809520172,5.4773809523809520172,0,0.20412414523193148086,0.20412414523193148086,0,0.44206980643194654368,0.44206980643194654368,0,0.74814814814814811772,0.74814814814814811772,0,2.9705882352941177516,2.9705882352941177516,0,4,4,0,6,6,0,7,7,0,4,4,0,0.29166666666666668517,0.29166666666666668517,0,0,0,0,0.20412414523193148086,0.20412414523193148086,0,,,,,,,,,,,,,,,,,,,,,
jpetstore,3,0.39642942616537363287,0.40625147748052181651,0.0098220513151481836367,0.51226006853751848702,0.51226006853751848702,0,seed3_solution000,seed3_solution000,True,True,raw_leiden,1,1,True,1,1,True,1,1,True,1,1,100,69,0.35358952330260673413,0.53684691106300608254,0.76975524618538004873,0.091405628496096194557,unavailable,0.25185185185185182677,0.25185185185185182677,0,5.4773809523809520172,5.4773809523809520172,0,0.20412414523193148086,0.20412414523193148086,0,0.44206980643194654368,0.44206980643194654368,0,0.74814814814814811772,0.74814814814814811772,0,2.9705882352941177516,2.9705882352941177516,0,4,4,0,6,6,0,7,7,0,4,4,0,0.29166666666666668517,0.29166666666666668517,0,0,0,0,0.20412414523193148086,0.20412414523193148086,0,,,,,,,,,,,,,,,,,,,,,
jpetstore,4,0.40378611234558714482,0.38972579981931021464,-0.014060312526276930178,0.51226006853751848702,0.51226006853751848702,0,seed4_solution000,seed4_solution000,True,True,raw_leiden,1,1,True,1,1,True,1,1,True,1,1,100,51,0.28651701579068378223,0.54540997200735996664,0.74751897268255140805,0.10509243247592321702,unavailable,0.25185185185185182677,0.25185185185185182677,0,5.4773809523809520172,5.4773809523809520172,0,0.20412414523193148086,0.20412414523193148086,0,0.44206980643194654368,0.44206980643194654368,0,0.74814814814814811772,0.74814814814814811772,0,2.9705882352941177516,2.9705882352941177516,0,4,4,0,6,6,0,7,7,0,4,4,0,0.29166666666666668517,0.29166666666666668517,0,0,0,0,0.20412414523193148086,0.20412414523193148086,0,,,,,,,,,,,,,,,,,,,,,
jpetstore,5,0.39038945670391317355,0.38222996476479420558,-0.0081594919391189679736,0.51226006853751848702,0.51226006853751848702,0,seed5_solution000,seed5_solution000,True,True,raw_leiden,1,1,True,1,1,True,1,1,True,1,1,100,45,0.26342572455406321197,0.52149371892597928824,0.82045057235305773879,0.11410848387491855094,unavailable,0.25185185185185182677,0.25185185185185182677,0,5.4773809523809520172,5.4773809523809520172,0,0.20412414523193148086,0.20412414523193148086,0,0.44206980643194654368,0.44206980643194654368,0,0.74814814814814811772,0.74814814814814811772,0,2.9705882352941177516,2.9705882352941177516,0,4,4,0,6,6,0,7,7,0,4,4,0,0.29166666666666668517,0.29166666666666668517,0,0,0,0,0.20412414523193148086,0.20412414523193148086,0,,,,,,,,,,,,,,,,,,,,,
jpetstore,6,0.39815529664132226495,0.38562011166260767858,-0.012535184978714586368,0.51226006853751848702,0.51226006853751848702,0,seed6_solution000,seed6_solution000,True,True,raw_leiden,1,1,True,1,1,True,1,1,True,1,1,100,43,0.30528984221309940494,0.49495551443324503627,0.71228548088466547838,0.10472946623921826348,unavailable,0.25185185185185182677,0.25185185185185182677,0,5.4773809523809520172,5.4773809523809520172,0,0.20412414523193148086,0.20412414523193148086,0,0.44206980643194654368,0.44206980643194654368,0,0.74814814814814811772,0.74814814814814811772,0,2.9705882352941177516,2.9705882352941177516,0,4,4,0,6,6,0,7,7,0,4,4,0,0.29166666666666668517,0.29166666666666668517,0,0,0,0,0.20412414523193148086,0.20412414523193148086,0,,,,,,,,,,,,,,,,,,,,,
jpetstore,7,0.38274836879224977126,0.36657534544482339722,-0.016173023347426374041,0.51226006853751848702,0.51226006853751848702,0,seed7_solution000,seed7_solution000,True,True,raw_leiden,1,1,True,1,1,True,1,1,True,1,1,100,49,0.24101129252703723527,0.46996727366090645939,0.67822210223615408964,0.10756815335609715145,unavailable,0.25185185185185182677,0.25185185185185182677,0,5.4773809523809520172,5.4773809523809520172,0,0.20412414523193148086,0.20412414523193148086,0,0.44206980643194654368,0.44206980643194654368,0,0.74814814814814811772,0.74814814814814811772,0,2.9705882352941177516,2.9705882352941177516,0,4,4,0,6,6,0,7,7,0,4,4,0,0.29166666666666668517,0.29166666666666668517,0,0,0,0,0.20412414523193148086,0.20412414523193148086,0,,,,,,,,,,,,,,,,,,,,,
jpetstore,8,0.40916193649272847299,0.38774239642415270213,-0.021419540068575770864,0.51226006853751848702,0.51226006853751848702,0,seed8_solution000,seed8_solution001,True,True,raw_leiden,1,1,True,1,1,True,1,1,True,1,1,100,51,0.31383455107111379867,0.51393298372286400078,0.76322146112117761341,0.09584854883518130475,unavailable,0.25185185185185182677,0.25185185185185182677,0,5.4773809523809520172,5.4773809523809520172,0,0.20412414523193148086,0.20412414523193148086,0,0.44206980643194654368,0.44206980643194654368,0,0.74814814814814811772,0.74814814814814811772,0,2.9705882352941177516,2.9705882352941177516,0,4,4,0,6,6,0,7,7,0,4,4,0,0.29166666666666668517,0.29166666666666668517,0,0,0,0,0.20412414523193148086,0.20412414523193148086,0,,,,,,,,,,,,,,,,,,,,,
jpetstore,9,0.40770511044770096909,0.39168011027951643577,-0.016025000168184533322,0.51226006853751848702,0.51226006853751848702,0,seed9_solution000,seed9_solution000,True,True,raw_leiden,1,1,True,1,1,True,1,1,True,1,1,100,52,0.26342572455406321197,0.49891524139013398997,0.74834601231790132125,0.11115395074946338161,unavailable,0.25185185185185182677,0.25185185185185182677,0,5.4773809523809520172,5.4773809523809520172,0,0.20412414523193148086,0.20412414523193148086,0,0.44206980643194654368,0.44206980643194654368,0,0.74814814814814811772,0.74814814814814811772,0,2.9705882352941177516,2.9705882352941177516,0,4,4,0,6,6,0,7,7,0,4,4,0,0.29166666666666668517,0.29166666666666668517,0,0,0,0,0.20412414523193148086,0.20412414523193148086,0,,,,,,,,,,,,,,,,,,,,,
