subject,observed_structural_overlap,random_structural_mean,random_structural_median,random_structural_p95,random_structural_maximum,observed_minus_random_structural_mean,observed_reference_alignment,reference_numerator,reference_denominator,random_reference_mean,random_reference_median,random_reference_p95,random_reference_maximum,observed_minus_random_reference_mean,structural_pass,reference_pass,go,random_repetitions,random_seed_base
jpetstore,0.5319148936170213,0.1932340425531915,0.19148936170212766,0.2765957446808511,0.40425531914893614,0.3386808510638298,,0,0,,,,,,True,False,True,1000,42000
daytrader,0.4375,0.11719642857142856,0.11607142857142858,0.16071428571428573,0.20535714285714285,0.32030357142857147,0.42857142857142855,48,112,0.1296875,0.125,0.17857142857142858,0.23214285714285715,0.29888392857142854,True,True,True,1000,52000
xerces,0.3491969066032124,0.011392028554431884,0.011302795954788817,0.015466983938132063,0.020226055919095775,0.3378048780487805,,0,0,,,,,,True,False,True,1000,62000
