subject,partition_source,solution_id,stage2_coupling,stage2_cohesion,stage2_imbalance,stage3b_coupling,stage3b_cohesion,stage3b_imbalance,max_abs_difference,pass
jpetstore,fixed_leiden,,0.2518518518518518,5.477380952380952,0.20412414523193148,0.2518518518518518,5.477380952380952,0.20412414523193148,0.0,True
jpetstore,all_one,,0.0,1.4673913043478262,0.0,0.0,1.4673913043478262,0.0,0.0,True
jpetstore,deterministic_two_cluster,,0.5530864197530864,1.371212121212121,0.0,0.5530864197530864,1.371212121212121,0.0,0.0,True
jpetstore,deterministic_three_cluster,,0.6641975308641975,1.6190476190476193,0.0,0.6641975308641975,1.6190476190476193,0.0,0.0,True
jpetstore,seeded_shuffle_42,,0.8740740740740741,0.8500000000000001,0.0,0.8740740740740741,0.8500000000000001,0.0,0.0,True
jpetstore,stage2_seed00_selected,,0.2518518518518518,5.477380952380952,0.20412414523193148,0.2518518518518518,5.477380952380952,0.20412414523193148,0.0,True
jpetstore,stage3a_seed00_selected,,0.2518518518518518,5.477380952380952,0.20412414523193148,0.2518518518518518,5.477380952380952,0.20412414523193148,0.0,True
jpetstore,saved_stage3b_front,seed0_solution000,0.2518518518518518,5.477380952380952,0.20412414523193148,0.2518518518518518,5.477380952380952,0.20412414523193148,0.0,True
jpetstore,saved_stage3b_front,seed0_solution001,0.2518518518518518,4.969047619047619,0.16666666666666666,0.2518518518518518,4.969047619047619,0.16666666666666666,0.0,True
jpetstore,saved_stage3b_front,seed0_solution002,0.2617283950617284,6.559523809523809,0.28867513459481287,0.2617283950617284,6.559523809523809,0.28867513459481287,0.0,True
jpetstore,saved_stage3b_front,seed0_solution003,0.2691358024691358,5.576785714285714,0.26352313834736496,0.2691358024691358,5.576785714285714,0.26352313834736496,0.0,True
jpetstore,saved_stage3b_front,seed0_solution004,0.2740740740740741,4.960714285714285,0.11785113019775793,0.2740740740740741,4.960714285714285,0.11785113019775793,0.0,True
jpetstore,saved_stage3b_front,seed0_solution005,0.2765432098765432,5.510119047619047,0.31180478223116176,0.2765432098765432,5.510119047619047,0.31180478223116176,0.0,True
jpetstore,saved_stage3b_front,seed0_solution006,0.2765432098765432,4.851785714285715,0.26352313834736496,0.2765432098765432,4.851785714285715,0.26352313834736496,0.0,True
