subject,seed,partition,evaluation_graph,f_semantic
jpetstore,27,stage3b_selected,stage3a,0.598785638479620963
jpetstore,27,stage3b_selected,stage3b,0.51226006853751848702
jpetstore,28,stage3a_selected,stage3a,0.60061837755350833135
jpetstore,28,stage3a_selected,stage3b,0.51211372451079617552
jpetstore,28,stage3b_selected,stage3a,0.598785638479620963
jpetstore,28,stage3b_selected,stage3b,0.51226006853751848702
jpetstore,29,stage3a_selected,stage3a,0.598785638479620963
jpetstore,29,stage3a_selected,stage3b,0.51226006853751848702
jpetstore,29,stage3b_selected,stage3a,0.598785638479620963
jpetstore,29,stage3b_selected,stage3b,0.51226006853751848702
daytrader,0,stage3a_selected,stage3a,0.55981789333741138748
daytrader,0,stage3a_selected,stage3b,0.58303362701302807736
daytrader,0,stage3b_selected,stage3a,0.69708285137215697524
daytrader,0,stage3b_selected,stage3b,0.73455240274065902728
daytrader,1,stage3a_selected,stage3a,0.59388471013446619828
daytrader,1,stage3a_selected,stage3b,0.60284191672261089323
daytrader,1,stage3b_selected,stage3a,0.59886819219636244771
daytrader,1,stage3b_selected,stage3b,0.5960104178630809546
daytrader,2,stage3a_selected,stage3a,0.56454601982754515355
daytrader,2,stage3a_selected,stage3b,0.56275487044467698006
daytrader,2,stage3b_selected,stage3a,0.60527604710278304356
daytrader,2,stage3b_selected,stage3b,0.58347035131700097921
daytrader,3,stage3a_selected,stage3a,0.65748645525760129882
daytrader,3,stage3a_selected,stage3b,0.64431370652191299886
daytrader,3,stage3b_selected,stage3a,0.50899937720381882578
daytrader,3,stage3b_selected,stage3b,0.54359574924179676625
daytrader,4,stage3a_selected,stage3a,0.62924143659677678198
daytrader,4,stage3a_selected,stage3b,0.67427647737429285968
daytrader,4,stage3b_selected,stage3a,0.63921120052368762821
daytrader,4,stage3b_selected,stage3b,0.62294854996394599667
daytrader,5,stage3a_selected,stage3a,0.56454601982754515355
daytrader,5,stage3a_selected,stage3b,0.56870880469639772947
daytrader,5,stage3b_selected,stage3a,0.57492732502834376085
daytrader,5,stage3b_selected,stage3b,0.58432734734644742325
daytrader,6,stage3a_selected,stage3a,0.58734048407280514681
daytrader,6,stage3a_selected,stage3b,0.58033680866914505447
daytrader,6,stage3b_selected,stage3a,0.57459484323458720478
daytrader,6,stage3b_selected,stage3b,0.59149350778491271985
daytrader,7,stage3a_selected,stage3a,0.60959734162017875647
daytrader,7,stage3a_selected,stage3b,0.61808620232641886538
daytrader,7,stage3b_selected,stage3a,0.54758102429716359882
daytrader,7,stage3b_selected,stage3b,0.54686906915457833556
daytrader,8,stage3a_selected,stage3a,0.55345097629808248652
daytrader,8,stage3a_selected,stage3b,0.55948671001884098253
daytrader,8,stage3b_selected,stage3a,0.76422795110704866417
daytrader,8,stage3b_selected,stage3b,0.78253928018257001842
daytrader,9,stage3a_selected,stage3a,0.56726000216527805442
daytrader,9,stage3a_selected,stage3b,0.59655965990862980242
daytrader,9,stage3b_selected,stage3a,0.55761467895454053245
daytrader,9,stage3b_selected,stage3b,0.55062324798047634911
daytrader,10,stage3a_selected,stage3a,0.57978112502871870237
daytrader,10,stage3a_selected,stage3b,0.58106778351958277007
daytrader,10,stage3b_selected,stage3a,0.54677958588086472691
daytrader,10,stage3b_selected,stage3b,0.53444077439510162542
daytrader,11,stage3a_selected,stage3a,0.5731195078574634616
daytrader,11,stage3a_selected,stage3b,0.56390450154937288296
daytrader,11,stage3b_selected,stage3a,0.57604466031510881407
daytrader,11,stage3b_selected,stage3b,0.56736347025748856687
daytrader,12,stage3a_selected,stage3a,0.60465663816365511352
daytrader,12,stage3a_selected,stage3b,0.60239830485060008591
daytrader,12,stage3b_selected,stage3a,0.56961745521276818671
daytrader,12,stage3b_selected,stage3b,0.58889642725379909294
daytrader,13,stage3a_selected,stage3a,0.599675955916657899
daytrader,13,stage3a_selected,stage3b,0.6215721033462142664
daytrader,13,stage3b_selected,stage3a,0.62965821395447330033
daytrader,13,stage3b_selected,stage3b,0.60267144867585353829
daytrader,14,stage3a_selected,stage3a,0.55161749123258585481
daytrader,14,stage3a_selected,stage3b,0.56093191610184378604
daytrader,14,stage3b_selected,stage3a,0.55161749123258585481
daytrader,14,stage3b_selected,stage3b,0.56093191610184378604
daytrader,15,stage3a_selected,stage3a,0.54886894982556799771
daytrader,15,stage3a_selected,stage3b,0.55870967380598801633
daytrader,15,stage3b_selected,stage3a,0.54758102429716359882
daytrader,15,stage3b_selected,stage3b,0.54686906915457833556
daytrader,16,stage3a_selected,stage3a,0.62798043543841131076
daytrader,16,stage3a_selected,stage3b,0.6139853143391245105
daytrader,16,stage3b_selected,stage3a,0.56454601982754515355
daytrader,16,stage3b_selected,stage3b,0.56870880469639772947
daytrader,17,stage3a_selected,stage3a,0.55712429570832600056
daytrader,17,stage3a_selected,stage3b,0.56256535196093704343
daytrader,17,stage3b_selected,stage3a,0.53487986089580585869
daytrader,17,stage3b_selected,stage3b,0.53629589846044334323
daytrader,18,stage3a_selected,stage3a,0.56454601982754515355
daytrader,18,stage3a_selected,stage3b,0.56870880469639772947
daytrader,18,stage3b_selected,stage3a,0.55685683790890005973
daytrader,18,stage3b_selected,stage3b,0.56236981717724643381
daytrader,19,stage3a_selected,stage3a,0.64554348509582415439
daytrader,19,stage3a_selected,stage3b,0.66977865999694086163
daytrader,19,stage3b_selected,stage3a,0.60492123269936737273
daytrader,19,stage3b_selected,stage3b,0.60613760757314660843
daytrader,20,stage3a_selected,stage3a,0.7101718707852104906
daytrader,20,stage3a_selected,stage3b,0.71274435528478541357
daytrader,20,stage3b_selected,stage3a,0.65810832323568435598
daytrader,20,stage3b_selected,stage3b,0.72120774195686698782
daytrader,21,stage3a_selected,stage3a,0.54566860766791847048
daytrader,21,stage3a_selected,stage3b,0.53671238285432487647
daytrader,21,stage3b_selected,stage3a,0.59476246716832015249
