comparison,subject,metric,direction,seed_count,mean_left,mean_right,mean_delta_right_minus_left,median_delta_right_minus_left,std_delta,wins_right,ties,losses_right,proportion_right_improved
stage3a_vs_stage3b,jpetstore,projected_hv,higher,30,0.37758493812156179725,0.38758006611155004784,0.0099951279899881829288,0.011680258744883681432,0.01340080238666991469,24,0,6,0.80000000000000004441
stage3a_vs_stage3b,jpetstore,selected_f_semantic,lower,30,0.59890782108454687638,0.51209497851459917506,-0.086812842569947493154,-0.086525569942102475984,0.010252582681298236245,30,0,0,1
stage3a_vs_stage3b,daytrader,projected_hv,higher,30,0.18318025691465261717,0.18981781771150027516,0.0066375607968476892096,0.0024597521997891669265,0.024752070375746223346,17,0,13,0.56666666666666665186
stage3a_vs_stage3b,daytrader,selected_f_semantic,lower,30,0.58830614513811130273,0.61487564627254287508,0.026569501134431398881,6.2913528812547081515e-05,0.084250991829787694187,15,0,15,0.5
stage3a_vs_stage3b,xerces,projected_hv,higher,30,0.13561794804953744564,0.13688409486984876029,0.0012661468203113178995,-0.0010770652592928253721,0.021367172041505223118,13,0,17,0.43333333333333334814
stage3a_vs_stage3b,xerces,selected_f_semantic,lower,30,0.38295882678144876898,0.38732198570553866279,0.0043631589240900638116,0.0047857011540426430685,0.0028909881126483326537,2,0,28,0.066666666666666665741
