subject,sample_category,class_id,body_empty,body_tokens_truncated,concrete_method_count,concrete_statement_count,raw_candidate_invoked_methods,raw_candidate_fields,raw_candidate_locals,raw_candidate_exceptions,raw_candidate_strings,raw_candidate_operations,accepted_body_token_count,permitted_body_evidence_hash,input_hash
jpetstore,first_5_nonempty_sorted,org.mybatis.jpetstore.domain.Account,false,0,37,129,36,36,0,0,0,38,45,20837597fe711aaad19f4e4e0e56540a39ee7cf38390c8ea17180525dba30a6b,836223e9668677fb8eeaa4e4c4db3f6f14503e489628c3084019e4eb3e554025
jpetstore,first_5_nonempty_sorted,org.mybatis.jpetstore.domain.Cart,false,0,12,96,19,17,6,0,0,49,37,9c718cf5e8fe6b74511536bbd8ffdde0844ed499f7291c3e7e3c25d27888c94b,ab0a8d13e63fa051903bd44e2d6597ee8bdd8bbb84afb45a7ca6e67e170c7f19
jpetstore,first_5_nonempty_sorted,org.mybatis.jpetstore.domain.CartItem,false,0,11,53,13,11,0,0,0,20,13,c8298bde04eca80638095eba1d29a93d3c957b82daf8c9e1dcd0449443f957a4,e004475c4603b53c4fe444d74cc119389a82314f8051479f3e2b362b776580f0
jpetstore,first_5_nonempty_sorted,org.mybatis.jpetstore.domain.Category,false,0,8,28,9,6,0,0,0,11,12,540cee7e1cafc865b10fd8d917c687817b1c529ca96d484ca5357edb1ed0d4a7,eab81e1147be4f1be016c8344b822381aee3d5a11b291d790c1d36e211f6be6e
jpetstore,first_5_nonempty_sorted,org.mybatis.jpetstore.domain.Item,false,0,26,94,27,24,0,0,2,31,37,fa59e0d27ca874840a5db1b072edb4f3786581792d3d5b79ca7f724be243e50d,d66651d9874ba8e963e8b46c2d16f66e4fa96a4540a84b30f42660c77772ee43
jpetstore,five_smallest_nonzero_body,org.mybatis.jpetstore.web.actions.AbstractActionBean,false,0,4,19,4,3,0,0,0,10,7,1946b0ec8b48f2c0c71b31906407a928b758ce0d570f2728f50be9ae4e8ecdf0,5685ab07312f08adc9dc5704fe9436f04a6de52929f1ccab34a4af5f43512887
jpetstore,five_smallest_nonzero_body,org.mybatis.jpetstore.domain.Sequence,false,0,6,24,4,6,0,0,0,8,8,3c26e356bcb2a5fd046c8f79bcdef33c9ef36a9128b09e8700b945c594987d80,abb9aaad117ec9fcb0617a69d8f482f44f4cf48fa2e5461581fb08ee44d8b133
jpetstore,five_smallest_nonzero_body,org.mybatis.jpetstore.service.AccountService,false,0,7,52,8,8,0,0,0,19,13,6fdd28775820b7646e6e665bab4c66bfea4f85e3cd68690f13e12a60a984d3d3,62fa0263a48f1cdcf9221655e50e39b26e3a9164f982c1b84d14398a18c66be1
daytrader,first_5_nonempty_sorted,com.ibm.websphere.samples.daytrader.TradeAction,false,0,29,404,52,74,43,3,43,301,102,67332a3603d5e1b4c4c7d8418167a79a5376248ac7794ab5fcb8b0bc0cfbc520,9ceaa56547c07baa78d4bdf6b484a3a9946e0c2f975f5fde2e4c12e1238a5fba
daytrader,first_5_nonempty_sorted,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,false,0,20,320,24,25,55,0,37,268,46,764099e8ebc1aca2366a410c66e782e4035c8f0d3155755730c0e8a151db20f4,4a765f7d3fadf646d0e28002fc19879802b4a1737798462df7beb5913419d3a9
daytrader,first_5_nonempty_sorted,com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean,false,0,26,129,26,24,0,0,12,67,32,7c26af4a1ece6ac9738f44460e6a5264148fee9294c24e7ac33971158e3cdde8,f1b4f274157ac2b7450e3b183d693713b07a328003e954702b16c0d55dbc8259
daytrader,first_5_nonempty_sorted,com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect,false,0,4,104,3,7,25,1,11,88,33,1d6b65f506e761b3589acc7ff009a48ca03c9dcb2273c5ff8096f7b15a356dd2,8c4d35240bd9c35be4c5bafba133d6e9d2a006335e44cd3806b7a23980f13d2d
daytrader,first_5_nonempty_sorted,com.ibm.websphere.samples.daytrader.direct.TradeDirect,false,31,68,2291,125,111,997,9,309,1847,256,2ae10a29f47ee91df6cae35d49b57ddcbc0b7385a40328c89b4fe7a40ba7bd2a,123a2035996086de8fa8175eaa16db45a0f3933bade8118e2de6a2f59dd7865c
daytrader,five_smallest_nonzero_body,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean$quotePriceComparator,false,0,2,17,2,1,0,0,0,9,4,1bb35271fc145d82a4cac60f01b2094c8899176757270ecb21320eca93dbe95a,e4057b3306b87ab1fd54c1f75d9245218f619182ebd74f8a93208f3d27c7f122
daytrader,five_smallest_nonzero_body,com.ibm.websphere.samples.daytrader.web.websocket.JsonMessage,false,0,5,17,4,4,0,0,0,6,5,017c6d20e6d1fc635b1c34ee802ee47e403632110cbadeef1a4f7c2f1328facd,7e83cd6c22872661d1d1686faf5bd3b85b0e04c90d4b31edf5bacd2f5a1969a8
daytrader,five_smallest_nonzero_body,com.ibm.websphere.samples.daytrader.web.jsf.ExternalContextProducer,false,0,2,7,2,0,0,0,0,5,6,caeddfea16e1f146a15b304dd49cac5261c4cee9890e6aec82d96b4980674188,4992eea1f66e18d37b49ce72655adfc2d688a1e03f9969db389a6525b5e600af
daytrader,five_smallest_nonzero_body,com.ibm.websphere.samples.daytrader.web.jsf.TradeActionProducer,false,0,2,7,1,0,0,0,0,5,6,930044c29415831109b507d2ed04e39c5f38ddde4b0e3dbe4a619303b2d331bf,ed406d161b3901cd21034ca7577df9b8e20a4851eca89a537b68c12b23d4e235
daytrader,five_smallest_nonzero_body,com.ibm.websphere.samples.daytrader.web.websocket.JsonEncoder,false,0,5,23,4,0,0,0,2,12,7,11d723818df1096dbcd2fa1d5381e3b90d8fc636544b8f9d691d38f5548b12f1,480ba5e8fdbe7ed488b0055e0514637f1febea51755da7a8d9026abef0f0872f
xerces,first_5_nonempty_sorted,org.apache.xerces.dom.ASDOMImplementationImpl,false,0,6,23,4,2,0,1,2,16,17,e3f38df25ac68cb4b520b983abb1c010f0445cdf8aa12607b0460baec0efd774,8c626a126fb0091c02ec5d76f3e688809d01eff83b77178266f2456756a637b9
xerces,first_5_nonempty_sorted,org.apache.xerces.dom.ASModelImpl,false,0,40,226,41,14,8,31,62,144,66,8b7447f6d2f80bb33d3674af160317b11a9c25386b4aad93937f05148d696e93,b6a43edd683c0de8793551a587146fa5f2c7798726f0728c26d86d26e5e10b6a
xerces,first_5_nonempty_sorted,org.apache.xerces.dom.AttrImpl,false,0,46,712,82,114,318,10,27,613,118,cf3a23ff4f32af9d512bf6f219bb10d2ad744acf7e60381511075b03199a6084,0a0e90245f0289d143febb5930cbf5c0626b62dede68cce3c6c14a0911ddd903
xerces,first_5_nonempty_sorted,org.apache.xerces.dom.AttrNSImpl,false,0,13,218,19,45,25,7,32,190,42,37a06105820dd6bcd41a9c5a927995338a32c26815819ac41ad78427fbd8c2d3,7b239a27ca426a3225c87365df89f013a2332505f83ba99af6b255b11f2fa471
xerces,first_5_nonempty_sorted,org.apache.xerces.dom.AttributeMap,false,0,16,527,31,113,147,13,26,410,77,5ea09347666b21bb1623ff920b7f5f9cad043e2358276c9785e66efd57a1221d,2f8a6a7d08010502821b5ab09c2508685fba9704c905768fb4c639526d5406b2
xerces,five_smallest_nonzero_body,org.apache.xerces.dom.DeferredDocumentImpl$RefCount,false,0,1,3,0,0,0,0,0,2,1,e77f5b9f691679ef6fa67d3ec953199b1696cf6a0e77741c035f11aadfd9bf73,3a4f11f84e7a7182d27df8e2511b1393d94dc713967ac23a56a73f9e3ca1c148
xerces,five_smallest_nonzero_body,org.apache.xerces.dom.DocumentImpl$EnclosingAttr,false,0,1,5,0,1,0,0,0,2,1,e77f5b9f691679ef6fa67d3ec953199b1696cf6a0e77741c035f11aadfd9bf73,168c4453cb8b1104824909f8b75be70e714e3d4b47d38b081c797fa87f0048b7
xerces,five_smallest_nonzero_body,org.apache.xerces.impl.dv.InvalidDatatypeFacetException,false,0,1,5,0,0,0,0,0,2,1,e77f5b9f691679ef6fa67d3ec953199b1696cf6a0e77741c035f11aadfd9bf73,69724a53657aaa06cf40ca5d6f8ade5c284d72a4d7f1215d2628b517329b8a77
xerces,five_smallest_nonzero_body,org.apache.xerces.impl.dv.InvalidDatatypeValueException,false,0,1,5,0,0,0,0,0,2,1,e77f5b9f691679ef6fa67d3ec953199b1696cf6a0e77741c035f11aadfd9bf73,b9db882500f43fda8a4c3be65c4f3702769a7370a0cc722859beba1607cb0a9b
xerces,five_smallest_nonzero_body,org.apache.xerces.impl.xpath.regex.RegularExpression$ExpressionTarget,false,0,1,3,0,0,0,0,0,2,1,e77f5b9f691679ef6fa67d3ec953199b1696cf6a0e77741c035f11aadfd9bf73,505f02dc09608ca6174b1a4eae0535fbf0a8b254c6413012fc1aa7196c7ee6e7
xerces,all_body_truncated,org.apache.xerces.dom.CoreDocumentImpl,false,1,130,1690,173,240,588,25,95,1382,256,b3e23c7cc29ab0eb89bc9ab6df96bba9963379cddb5dc6736dbe32ba569af021,f2e43932edf90d5a3aa78c66ef9d92882dadfabfbeab53dcb8e8bcb8c647cf06
xerces,all_body_truncated,org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl,false,342,94,4692,136,1828,3226,18,138,2271,256,096b4e0073e16501663d87fe3fe5fc2b0e502246c6f8b5e92dd6dadda0348516,b0fa321285b0fdfd6cd38662099d313df46be96a7561317cadbd1ef7f3eb7f84
xerces,all_body_truncated,org.apache.xerces.impl.xpath.regex.Token,false,44,52,1228,62,175,498,51,252,952,256,e2395488579676791f742c077f29839df41df1d16be37f8521a2a2190db285fb,3a271c3bbb5e191cf7b3ea5cb8d8c170c017e5f491de7987b4a5ee393f964a97
xerces,all_body_truncated,org.apache.xerces.impl.xs.XMLSchemaValidator,false,125,67,3442,120,1434,1463,0,154,1765,256,0884c44812f5e05e3be8add2a3cdfe5b92dc51848eb3729f0484d9ac5657fe98,a1f95af233a7a267f8fc577eb67d63ed73315ba072e73dc6e0029d336eabb901
xerces,all_body_truncated,org.apache.xerces.impl.xs.traversers.XSDHandler,false,134,121,5115,231,937,3468,2,222,3695,256,f9cbc1c1d7666a75ce4293bd65cee4914953c84e139c7bf3dc1e3f148add5890,394a324dc35f17ab23b52c7c1a5bb475a7f1a9bcf9c62419bc330b03c14e1f0b
xerces,all_body_truncated,org.apache.xerces.util.EncodingMap,false,34,8,876,13,426,0,0,836,437,256,1419f4740d7a55589fcb10888daf8da09994993c431102aa86b417c98596669e,8998399b37268ecf301211bf22778309db2efdc4d4f5222630a63a1501407fbe
xerces,all_body_truncated,org.apache.xerces.xinclude.XIncludeHandler,false,73,118,2851,218,781,884,2,148,1877,256,be4feead1bb6ab6a79bf15a6a25d77e2135febe0b71d612f9db136e5c6b08e67,42ee8d81deb8e3297a4fb1e6027d3fec4a3e27adab296db9a78e094b7628bf47
