subject,class_id,stage3a_source_path,stage3a_text_hash,stage3b_declaration_hash,exact_match
jpetstore,org.mybatis.jpetstore.web.actions.CatalogActionBean,data/semantic_inputs/jpetstore_class_declarations.csv,68da1c85a6cf5cc60a2f9f95190758306deab6f6ee927de687d1f4a5c52c9f55,68da1c85a6cf5cc60a2f9f95190758306deab6f6ee927de687d1f4a5c52c9f55,true
jpetstore,org.mybatis.jpetstore.web.actions.OrderActionBean,data/semantic_inputs/jpetstore_class_declarations.csv,d36d1de8b4299553a0a5b42104e3e952a27d318675b564280279f283b851efda,d36d1de8b4299553a0a5b42104e3e952a27d318675b564280279f283b851efda,true
daytrader,com.ibm.websphere.samples.daytrader.TradeAction,data/semantic_inputs/daytrader_class_declarations.csv,033fdf6c2fa49a51a305fe52789247c81b8e17bbf41f418a3ea98b0dfa191659,033fdf6c2fa49a51a305fe52789247c81b8e17bbf41f418a3ea98b0dfa191659,true
daytrader,com.ibm.websphere.samples.daytrader.TradeServices,data/semantic_inputs/daytrader_class_declarations.csv,79faebc4f5a70102505410ea8714fc1c26baa036aa637175132dd4a55b1b8f40,79faebc4f5a70102505410ea8714fc1c26baa036aa637175132dd4a55b1b8f40,true
daytrader,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,data/semantic_inputs/daytrader_class_declarations.csv,c0e0176c877f840828c4caa0ca1603ddb7225b66f53d5b840fb0c003f3294a71,c0e0176c877f840828c4caa0ca1603ddb7225b66f53d5b840fb0c003f3294a71,true
daytrader,com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean,data/semantic_inputs/daytrader_class_declarations.csv,b6e55ef211e1bcc9532314cbe4d459af83d96d462127bc2abdd9ec76b8570a8d,b6e55ef211e1bcc9532314cbe4d459af83d96d462127bc2abdd9ec76b8570a8d,true
daytrader,com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect,data/semantic_inputs/daytrader_class_declarations.csv,7b6aafd7330dd4b826621f1e857114857f540c5b2d7441420d524b5e9c4318c6,7b6aafd7330dd4b826621f1e857114857f540c5b2d7441420d524b5e9c4318c6,true
daytrader,com.ibm.websphere.samples.daytrader.direct.TradeDirect,data/semantic_inputs/daytrader_class_declarations.csv,13e953a2da53b4570061f31d0a9e42f4b1125bbc41935c9ed16dff71dfa99ef1,13e953a2da53b4570061f31d0a9e42f4b1125bbc41935c9ed16dff71dfa99ef1,true
daytrader,com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB,data/semantic_inputs/daytrader_class_declarations.csv,4912385984127e955b6c0d849843e4f4f52283377581b1410b6de9a3bba22757,4912385984127e955b6c0d849843e4f4f52283377581b1410b6de9a3bba22757,true
daytrader,com.ibm.websphere.samples.daytrader.ejb3.DTStreamer3MDB,data/semantic_inputs/daytrader_class_declarations.csv,2418cc2f34f28cce50e44343c2514a1659b9a3455a18ea6f45f4b3f3f217290f,2418cc2f34f28cce50e44343c2514a1659b9a3455a18ea6f45f4b3f3f217290f,true
daytrader,com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton,data/semantic_inputs/daytrader_class_declarations.csv,c89e34e1575247704b611fd1b4991a46cc4da1f138e95b64c3262e0008131459,c89e34e1575247704b611fd1b4991a46cc4da1f138e95b64c3262e0008131459,true
daytrader,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,data/semantic_inputs/daytrader_class_declarations.csv,afe397d01db1e331390f5a45f3c9ee5e0718f8e0c4786528e82a9a96a041ebbf,afe397d01db1e331390f5a45f3c9ee5e0718f8e0c4786528e82a9a96a041ebbf,true
