collision_group,record_type,edge_type,class_id_a,class_id_b,rank,weight,selected_by,identical_embedding_tie,tie_rule
collision_02,final_edge,intra_group,org.apache.xerces.dom.ObjectFactory$ConfigurationError,org.apache.xml.serialize.ObjectFactory$ConfigurationError,,1,b,true,class_id_lexicographic_ascending
collision_03,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport,org.apache.xerces.impl.dv.SecuritySupport,,0.999999999999999,both,true,class_id_lexicographic_ascending
collision_03,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport,org.apache.xerces.parsers.SecuritySupport,,0.999999999999999,both,true,class_id_lexicographic_ascending
collision_03,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport,org.apache.xerces.xinclude.SecuritySupport,,0.999999999999999,both,true,class_id_lexicographic_ascending
collision_03,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport,org.apache.xml.serialize.SecuritySupport,,0.999999999999999,b,true,class_id_lexicographic_ascending
collision_04,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$1,org.apache.xerces.impl.dv.SecuritySupport$1,,1,both,true,class_id_lexicographic_ascending
collision_04,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$1,org.apache.xerces.parsers.SecuritySupport$1,,1,both,true,class_id_lexicographic_ascending
collision_04,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$1,org.apache.xerces.xinclude.SecuritySupport$1,,1,both,true,class_id_lexicographic_ascending
collision_04,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$1,org.apache.xml.serialize.SecuritySupport$1,,1,b,true,class_id_lexicographic_ascending
collision_05,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$2,org.apache.xerces.impl.dv.SecuritySupport$2,,1,both,true,class_id_lexicographic_ascending
collision_05,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$2,org.apache.xerces.parsers.SecuritySupport$2,,1,both,true,class_id_lexicographic_ascending
collision_05,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$2,org.apache.xerces.xinclude.SecuritySupport$2,,1,both,true,class_id_lexicographic_ascending
collision_05,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$2,org.apache.xml.serialize.SecuritySupport$2,,1,b,true,class_id_lexicographic_ascending
collision_06,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$3,org.apache.xerces.impl.dv.SecuritySupport$3,,0.99999999999999789,both,true,class_id_lexicographic_ascending
collision_06,final_edge,intra_group,org.apache.xerces.dom.SecuritySupport$3,org.apache.xerces.parsers.SecuritySupport$3,,0.99999999999999789,both,true,class_id_lexicographic_ascending
