subject,method,pair_count,identical_pair_count,identical_pair_proportion,ari_mean,ari_median,ari_min,ari_max,nmi_mean,nmi_median,nmi_min,nmi_max,cluster_count_mean,cluster_count_std,cluster_count_min,cluster_count_max
jpetstore,stage2,435,435,1,1,1,1,1,1,1,1,1,4,0,4,4
jpetstore,stage3a,435,379,0.87126436781609195581,0.98705042842672241488,1,0.8994095779575770333,1,0.98953608531729020381,1,0.91871780558966453789,1,4,0,4,4
jpetstore,stage3b,435,325,0.74712643678160917116,0.96638726957521192684,1,0.68297020898176963311,1,0.97322102898457218956,1,0.75315959112690511468,1,4,0,4,4
daytrader,stage2,435,0,0,0.4729848090910748204,0.49878230066103679263,-0.027202658858906377665,0.99450978517243582289,0.63854693723115230064,0.67936988027170441828,0.15734454374071968341,0.98639103795893579019,8.9000000000000003553,1.2415229801920009134,6,11
daytrader,stage3a,435,0,0,0.62701308417506551596,0.7368341525043127227,7.4238774169302365757e-06,0.93124274007161134126,0.75601038459483060894,0.8304779041533466577,0.26136282121181142468,0.95888858751867500629,9.5999999999999996447,1.4527025943345071024,6,15
daytrader,stage3b,435,1,0.0022988505747126436463,0.53436532441613837641,0.69922450097579358363,-0.00099069412016997626322,1,0.68426669008836460417,0.80581866565965099003,0.15307323101463377046,1.000000000000000222,9.4000000000000003553,1.5447352189134953004,4,11
xerces,stage2,435,66,0.15172413793103448065,0.99201472150450809018,0.99701262025539083567,0.93664939412460135326,1,0.99260930943732739173,0.99715150984553357905,0.9452015728622186197,0.99999999999999933387,30.466666666666665009,0.73029674334022154358,28,31
xerces,stage3a,435,3,0.0068965517241379309388,0.98910018999211690716,0.991100544233595393,0.95929233961893389804,1,0.98933338332053688546,0.99153061540383280459,0.95574506347727083977,0.99999999999999933387,30.600000000000001421,0.62145546626586523065,29,31
xerces,stage3b,435,3,0.0068965517241379309388,0.98944124648634146357,0.99144356090442942175,0.95078844644541449238,1,0.99108243175344756803,0.9928411392413096781,0.96046019040070362838,0.99999999999999933387,30.63333333333333286,0.71839540228413789613,28,31
