subject,seed_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_median,runtime_seconds_min,runtime_seconds_max,evaluations_all_equal,evaluations,failures,retries,peak_memory_available,peak_memory_mb
jpetstore,30,8.0732721472353059511,0.31189755705644817141,8.0304112915182486176,7.4461958339670673013,8.6152249169535934925,True,10000,0,0,False,
daytrader,30,10.49072497924013625,0.3190138501669949056,10.506488541490398347,9.4074764170218259096,11.2024487080052495,True,10000,0,0,False,
xerces,30,75.178414906961066322,1.5027343127740411255,75.599136582983192056,70.098791375057771802,76.887497958960011601,True,10000,0,0,False,
