subject,class_id,body_token_count,invoked_method_token_count,field_token_count,local_token_count,exception_token_count,string_token_count,operation_token_count,invoked_method_proportion,field_proportion,string_proportion,embedding_shift_cosine_distance,neighbour_retention,stage3b_degree,neighbour_change,incident_stage3b_edge_count,incident_structural_overlap_count,incident_structural_overlap_ratio
jpetstore,org.mybatis.jpetstore.mapper.OrderMapper,0,0,0,0,0,0,0,0.0,0.0,0.0,0.24181031873000003,0.6666666666666666,7,0.33333333333333337,7,1,0.14285714285714285
jpetstore,org.mybatis.jpetstore.mapper.ProductMapper,0,0,0,0,0,0,0,0.0,0.0,0.0,0.21899961195499995,1.0,6,0.0,6,2,0.3333333333333333
jpetstore,org.mybatis.jpetstore.mapper.SequenceMapper,0,0,0,0,0,0,0,0.0,0.0,0.0,0.200845878476,1.0,4,0.0,4,1,0.25
jpetstore,org.mybatis.jpetstore.service.AccountService,13,14,16,0,0,0,14,1.0769230769230769,1.2307692307692308,0.0,0.23281898269,1.0,4,0.0,4,2,0.5
jpetstore,org.mybatis.jpetstore.service.CatalogService,23,29,22,0,0,3,21,1.2608695652173914,0.9565217391304348,0.13043478260869565,0.251308846949,0.6666666666666666,3,0.33333333333333337,3,3,1.0
jpetstore,org.mybatis.jpetstore.service.OrderService,28,13,24,0,4,4,31,0.4642857142857143,0.8571428571428571,0.14285714285714285,0.30675917933100005,0.6666666666666666,4,0.33333333333333337,4,3,0.75
jpetstore,org.mybatis.jpetstore.web.actions.AbstractActionBean,7,4,3,0,0,0,6,0.5714285714285714,0.42857142857142855,0.0,0.191328549952,0.6666666666666666,3,0.33333333333333337,3,3,1.0
jpetstore,org.mybatis.jpetstore.web.actions.AccountActionBean,51,32,64,0,0,14,66,0.6274509803921569,1.2549019607843137,0.27450980392156865,0.13821027392399998,1.0,4,0.0,4,2,0.5
jpetstore,org.mybatis.jpetstore.web.actions.CartActionBean,32,19,50,2,0,29,71,0.59375,1.5625,0.90625,0.14365820676200003,1.0,5,0.0,5,3,0.6
jpetstore,org.mybatis.jpetstore.web.actions.CatalogActionBean,34,43,90,0,0,14,34,1.2647058823529411,2.6470588235294117,0.4117647058823529,0.13835333563600005,1.0,4,0.0,4,1,0.25
jpetstore,org.mybatis.jpetstore.web.actions.OrderActionBean,64,33,53,1,0,50,85,0.515625,0.828125,0.78125,0.14436866300600004,1.0,4,0.0,4,3,0.75
daytrader,com.ibm.websphere.samples.daytrader.TradeAction,102,91,99,12,18,117,260,0.8921568627450981,0.9705882352941176,1.1470588235294117,0.17583158362499995,0.6666666666666666,8,0.33333333333333337,8,7,0.875
daytrader,com.ibm.websphere.samples.daytrader.TradeServices,0,0,0,0,0,0,0,0.0,0.0,0.0,0.13063695288,0.6666666666666666,4,0.33333333333333337,4,4,1.0
daytrader,com.ibm.websphere.samples.daytrader.beans.MarketSummaryDataBean,46,38,43,0,0,27,242,0.8260869565217391,0.9347826086956522,0.5869565217391305,0.13355424001299998,0.6666666666666666,7,0.33333333333333337,7,4,0.5714285714285714
daytrader,com.ibm.websphere.samples.daytrader.beans.RunStatsDataBean,32,68,66,0,0,19,41,2.125,2.0625,0.59375,0.13631524017999996,0.6666666666666666,5,0.33333333333333337,5,0,0.0
daytrader,com.ibm.websphere.samples.daytrader.direct.KeySequenceDirect,33,5,12,0,2,47,80,0.15151515151515152,0.36363636363636365,1.4242424242424243,0.14764181439400004,1.0,3,0.0,3,2,0.6666666666666666
daytrader,com.ibm.websphere.samples.daytrader.direct.TradeDirect,256,215,153,14,24,617,1713,0.83984375,0.59765625,2.41015625,0.14521820644600003,1.0,6,0.0,6,6,1.0
daytrader,com.ibm.websphere.samples.daytrader.ejb3.DTBroker3MDB,61,6,28,5,0,95,161,0.09836065573770492,0.45901639344262296,1.5573770491803278,0.21955739581,1.0,4,0.0,4,1,0.25
daytrader,com.ibm.websphere.samples.daytrader.ejb3.DTStreamer3MDB,45,4,25,5,0,85,146,0.08888888888888889,0.5555555555555556,1.8888888888888888,0.19909000045400005,0.6666666666666666,3,0.33333333333333337,3,1,0.3333333333333333
daytrader,com.ibm.websphere.samples.daytrader.ejb3.MarketSummarySingleton,25,19,16,0,0,17,65,0.76,0.64,0.68,0.27771174702400003,1.0,3,0.0,3,1,0.3333333333333333
daytrader,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean,164,85,158,9,50,271,687,0.5182926829268293,0.9634146341463414,1.6524390243902438,0.112983894817,0.6666666666666666,8,0.33333333333333337,8,6,0.75
daytrader,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBBean$quotePriceComparator,4,2,0,0,0,0,7,0.5,0.0,0.0,0.165471574006,0.3333333333333333,3,0.6666666666666667,3,2,0.6666666666666666
daytrader,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBLocal,0,0,0,0,0,0,0,0.0,0.0,0.0,0.118540979313,1.0,4,0.0,4,2,0.5
