subject,seed,selected_solution_id,selected_is_injected_seed,selected_injected_seed_name,selected_f_semantic,best_front_f_semantic,selected_minus_best_front_f_semantic,stage2_selected_f_semantic_on_stage3b,selected_minus_stage2_semantic,selected_semantic_improved_over_stage2,front_contains_semantic_improvement,structurally_competitive_semantic_improvements,front_semantic_rank_ascending,selected_structural_rank_on_projected_front,selected_equals_leiden,selected_differs_from_stage2,selected_differs_from_stage3a,front_semantic_min,front_semantic_max,front_semantic_std,selected_weighted_modularity,selected_cluster_count
jpetstore,0,seed0_solution000,True,raw_leiden,0.51226006853751848702,0.3562014513514241143,0.15605861718609437272,0.51226006853751848702,0,False,True,14,40,1,True,False,False,0.3562014513514241143,0.78427093967525152163,0.099291752222786008875,0.44206980643194654368,4
jpetstore,1,seed1_solution000,True,raw_leiden,0.51226006853751848702,0.28651701579068378223,0.22574305274683470479,0.51226006853751848702,0,False,True,21,60,1,True,False,False,0.28651701579068378223,0.70967683360927913405,0.091928628747503723928,0.44206980643194654368,4
jpetstore,2,seed2_solution000,True,raw_leiden,0.51226006853751848702,0.32774230946527704855,0.18451775907224143847,0.51226006853751848702,0,False,True,12,60,1,True,False,False,0.32774230946527704855,0.68152636317856751802,0.083621002910335681668,0.44206980643194654368,4
jpetstore,3,seed3_solution000,True,raw_leiden,0.51226006853751848702,0.35358952330260673413,0.15867054523491175289,0.51226006853751848702,0,False,True,16,40,1,True,False,False,0.35358952330260673413,0.76975524618538004873,0.091405628496096194557,0.44206980643194654368,4
jpetstore,4,seed4_solution000,True,raw_leiden,0.51226006853751848702,0.28651701579068378223,0.22574305274683470479,0.51226006853751848702,0,False,True,5,37,1,True,False,False,0.28651701579068378223,0.74751897268255140805,0.10509243247592321702,0.44206980643194654368,4
jpetstore,5,seed5_solution000,True,raw_leiden,0.51226006853751848702,0.26342572455406321197,0.24883434398345527505,0.51226006853751848702,0,False,True,13,47,1,True,False,False,0.26342572455406321197,0.82045057235305773879,0.11410848387491855094,0.44206980643194654368,4
jpetstore,6,seed6_solution000,True,raw_leiden,0.51226006853751848702,0.30528984221309940494,0.20697022632441908208,0.51226006853751848702,0,False,True,12,57,1,True,False,False,0.30528984221309940494,0.71228548088466547838,0.10472946623921826348,0.44206980643194654368,4
jpetstore,7,seed7_solution000,True,raw_leiden,0.51226006853751848702,0.24101129252703723527,0.27124877601048125175,0.51226006853751848702,0,False,True,21,63,1,True,False,False,0.24101129252703723527,0.67822210223615408964,0.10756815335609715145,0.44206980643194654368,4
jpetstore,8,seed8_solution001,True,raw_leiden,0.51226006853751848702,0.31383455107111379867,0.19842551746640468835,0.51226006853751848702,0,False,True,9,49,2,True,False,False,0.31383455107111379867,0.76322146112117761341,0.09584854883518130475,0.44206980643194654368,4
jpetstore,9,seed9_solution000,True,raw_leiden,0.51226006853751848702,0.26342572455406321197,0.24883434398345527505,0.51226006853751848702,0,False,True,21,61,1,True,False,False,0.26342572455406321197,0.74834601231790132125,0.11115395074946338161,0.44206980643194654368,4
