subject,source,available,coupling,cohesion,imbalance,f_semantic_on_stage3b_graph,cluster_count,weighted_modularity,ari_vs_stage3b,nmi_vs_stage3b,diagnostic_label
jpetstore,stage2_seed00,True,0.2518518518518518,5.477380952380952,0.20412414523193148,0.5122600685375185,4,0.44206980643194654,1.0,1.0,SINGLE-SEED DIAGNOSTIC — NOT EFFECTIVENESS EVIDENCE
jpetstore,stage3a_seed00,True,0.2518518518518518,5.477380952380952,0.20412414523193148,0.5122600685375185,4,0.44206980643194654,1.0,1.0,SINGLE-SEED DIAGNOSTIC — NOT EFFECTIVENESS EVIDENCE
jpetstore,stage3b_seed00,True,0.2518518518518518,5.477380952380952,0.20412414523193148,0.5122600685375185,4,0.44206980643194654,1.0,1.0,SINGLE-SEED DIAGNOSTIC — NOT EFFECTIVENESS EVIDENCE
daytrader,stage2_seed00,True,0.4225092250922509,7.351755651755651,0.6670818690439126,0.575731951339093,9,0.32167945612804844,0.5942302742648246,0.7443930366056446,SINGLE-SEED DIAGNOSTIC — NOT EFFECTIVENESS EVIDENCE
daytrader,stage3a_seed00,True,0.42204797047970477,6.7010822510822505,0.8524043017416241,0.5830336270130281,10,0.3177381546070995,0.5884802395814055,0.7564491693819015,SINGLE-SEED DIAGNOSTIC — NOT EFFECTIVENESS EVIDENCE
daytrader,stage3b_seed00,True,0.4640221402214022,5.26461038961039,0.470942791484856,0.734552402740659,8,0.25978825690009655,1.0,1.0000000000000002,SINGLE-SEED DIAGNOSTIC — NOT EFFECTIVENESS EVIDENCE
xerces,stage2_seed00,True,0.20879942487419123,8.336160470852038,1.2822422354171839,0.3887319473870403,30,0.6615191429343901,0.996826530709261,0.996516799707287,SINGLE-SEED DIAGNOSTIC — NOT EFFECTIVENESS EVIDENCE
xerces,stage3a_seed00,True,0.20960460100647016,8.340265924752346,1.283054117080838,0.3881231085907053,30,0.6606681940646677,0.994339205252695,0.9938160993510821,SINGLE-SEED DIAGNOSTIC — NOT EFFECTIVENESS EVIDENCE
xerces,stage3b_seed00,True,0.21029475197699496,8.311905188532197,1.2843238580427818,0.38743299874057835,30,0.6597544419527799,1.0,0.9999999999999997,SINGLE-SEED DIAGNOSTIC — NOT EFFECTIVENESS EVIDENCE
