comparison,subject,metric,direction,seed_count,mean_left,mean_right,mean_delta_right_minus_left,median_delta_right_minus_left,std_delta,wins_right,ties,losses_right,proportion_right_improved
stage2_vs_stage3b,jpetstore,projected_hv,higher,30,0.40125400666028948615,0.38758006611155004784,-0.013673940548739427908,-0.015953116464939964825,0.012690823820374213388,4,0,26,0.13333333333333333148
stage2_vs_stage3b,jpetstore,selected_f_semantic,lower,30,0.51226006853751848702,0.51209497851459917506,-0.00016509002291920094052,0,0.010244070375443573018,2,26,2,0.066666666666666665741
stage2_vs_stage3b,daytrader,projected_hv,higher,30,0.18483216694142090564,0.18981781771150027516,0.0049856507700794328378,0.0017096884750751606408,0.024313712844462789103,16,0,14,0.53333333333333332593
stage2_vs_stage3b,daytrader,selected_f_semantic,lower,30,0.63630139860760204229,0.61487564627254287508,-0.021425752335059403131,-0.011601338105673875134,0.1316119628536231434,15,0,15,0.5
stage2_vs_stage3b,xerces,projected_hv,higher,30,0.13442197970616967528,0.13688409486984876029,0.0024621151636791105931,-0.00065519624911938856293,0.015540656799913224115,13,0,17,0.43333333333333334814
stage2_vs_stage3b,xerces,selected_f_semantic,lower,30,0.39008524726513299496,0.38732198570553866279,-0.0027632615595943026826,-0.0013080166157097838919,0.0053843269342305653466,21,7,2,0.69999999999999995559
