subject,seed,stage3a_projected_hv,stage3b_projected_hv,delta_hv_stage3b_minus_stage3a,stage3a_selected_f_semantic_on_stage3a,stage3a_selected_f_semantic_on_stage3b,stage3b_selected_f_semantic_on_stage3a,stage3b_selected_f_semantic_on_stage3b,delta_selected_f_semantic_stage3b_minus_stage3a_on_stage3b,delta_selected_f_semantic_stage3b_minus_stage3a_on_stage3a,stage3a_selected_solution_id,stage3b_selected_solution_id,stage3a_selected_ari_vs_leiden,stage3a_selected_nmi_vs_leiden,stage3a_selected_equals_leiden,stage3b_selected_ari_vs_leiden,stage3b_selected_nmi_vs_leiden,stage3b_selected_equals_leiden,stage3a_vs_stage3b_selected_ari,stage3a_vs_stage3b_selected_nmi,stage3a_vs_stage3b_selected_partition_equal,stage3a_front_size,stage3b_front_size,stage3a_projected_front_size,stage3b_projected_front_size,reference_status
jpetstore,0,0.38086979683420185694,0.40539329983443933569,0.024523503000237478755,0.598785638479620963,0.51226006853751848702,0.598785638479620963,0.51226006853751848702,0,0,seed0_solution000,seed0_solution000,1,1,True,1,1,True,1,1,True,100,100,44,61,unavailable
jpetstore,1,0.39355999460512836041,0.38876923891856640658,-0.00479075568656195383,0.598785638479620963,0.51226006853751848702,0.598785638479620963,0.51226006853751848702,0,0,seed1_solution000,seed1_solution000,1,1,True,1,1,True,1,1,True,100,100,48,51,unavailable
jpetstore,2,0.37638464367502216801,0.38978727721011502405,0.013402633535092856043,0.598785638479620963,0.51226006853751848702,0.598785638479620963,0.51226006853751848702,0,0,seed2_solution000,seed2_solution000,1,1,True,1,1,True,1,1,True,100,100,41,41,unavailable
jpetstore,3,0.39907997042047954617,0.40625147748052181651,0.0071715070600422703428,0.598785638479620963,0.51226006853751848702,0.598785638479620963,0.51226006853751848702,0,0,seed3_solution000,seed3_solution000,1,1,True,1,1,True,1,1,True,100,100,49,69,unavailable
jpetstore,4,0.37277963448459555673,0.38972579981931021464,0.016946165334714657913,0.598785638479620963,0.51226006853751848702,0.598785638479620963,0.51226006853751848702,0,0,seed4_solution000,seed4_solution000,1,1,True,1,1,True,1,1,True,100,100,44,51,unavailable
jpetstore,5,0.38604988298482578735,0.38222996476479420558,-0.0038199182200315817681,0.598785638479620963,0.51226006853751848702,0.598785638479620963,0.51226006853751848702,0,0,seed5_solution000,seed5_solution000,1,1,True,1,1,True,1,1,True,100,100,44,45,unavailable
jpetstore,6,0.37231181129388124518,0.38562011166260767858,0.013308300368726433405,0.598785638479620963,0.51226006853751848702,0.598785638479620963,0.51226006853751848702,0,0,seed6_solution000,seed6_solution000,1,1,True,1,1,True,1,1,True,100,100,37,43,unavailable
jpetstore,7,0.40107561226532778553,0.36657534544482339722,-0.03450026682050438831,0.598785638479620963,0.51226006853751848702,0.598785638479620963,0.51226006853751848702,0,0,seed7_solution000,seed7_solution000,1,1,True,1,1,True,1,1,True,100,100,46,49,unavailable
jpetstore,8,0.37932768283520862385,0.38774239642415270213,0.0084147135889440782819,0.598785638479620963,0.51226006853751848702,0.598785638479620963,0.51226006853751848702,0,0,seed8_solution000,seed8_solution001,1,1,True,1,1,True,1,1,True,100,100,32,51,unavailable
jpetstore,9,0.36717076683646798774,0.39168011027951643577,0.02450934344304844803,0.598785638479620963,0.51226006853751848702,0.598785638479620963,0.51226006853751848702,0,0,seed9_solution000,seed9_solution000,1,1,True,1,1,True,1,1,True,100,100,45,52,unavailable
jpetstore,10,0.37694122415499370371,0.40785762896096061647,0.030916404805966912761,0.60061837755350833135,0.51211372451079617552,0.598785638479620963,0.51226006853751848702,0.00014634402672231150433,-0.0018327390738873683418,seed10_solution002,seed10_solution002,0.8994095779575770333,0.91871780558966453789,False,1,1,True,0.8994095779575770333,0.91871780558966453789,False,100,100,38,60,unavailable
jpetstore,11,0.38626538638613017174,0.37692806594347078031,-0.0093373204426593914285,0.598785638479620963,0.51226006853751848702,0.598785638479620963,0.51226006853751848702,0,0,seed11_solution000,seed11_solution000,1,1,True,1,1,True,1,1,True,100,100,48,45,unavailable
jpetstore,12,0.35305480275417694402,0.37313501313165925444,0.020080210377482310413,0.598785638479620963,0.51226006853751848702,0.55222241383003656257,0.46566906033572097456,-0.046591008201797512456,-0.046563224649584400439,seed12_solution000,seed12_solution002,1,1,True,0.90692446043165464431,0.92073980549347300695,False,0.90692446043165464431,0.92073980549347300695,False,100,100,33,50,unavailable
jpetstore,13,0.38084860397995989878,0.40475397009308727858,0.023905366113127379801,0.598785638479620963,0.51226006853751848702,0.598785638479620963,0.51226006853751848702,0,0,seed13_solution000,seed13_solution000,1,1,True,1,1,True,1,1,True,100,100,42,52,unavailable
jpetstore,14,0.37622969975653020036,0.37726231367162704755,0.0010326139150968471903,0.598785638479620963,0.51226006853751848702,0.63684271574770490165,0.53359056396179638249,0.021330495424277895467,0.038057077268083938648,seed14_solution000,seed14_solution003,1,1,True,0.87659289067739776247,0.91230088891592020506,False,0.87659289067739776247,0.91230088891592020506,False,100,100,50,52,unavailable
jpetstore,15,0.36487109785667121153,0.3900540779076243636,0.025182980050953152062,0.598785638479620963,0.51226006853751848702,0.598785638479620963,0.51226006853751848702,0,0,seed15_solution000,seed15_solution001,1,1,True,1,1,True,1,1,True,100,100,43,59,unavailable
