subject,class_id,fqn_for_audit_only,class_kind,is_interface,is_abstract,is_enum,is_annotation,is_generated,is_synthetic,stage3a_declaration_hash,stage3b_full_text_hash,declared_method_count,abstract_or_native_method_count,soot_class_resolved,expected_methods_discovered,concrete_method_count,constructor_count,static_initializer_count,concrete_statement_count,raw_candidate_invoked_methods,raw_candidate_fields,raw_candidate_locals,raw_candidate_exceptions,raw_candidate_strings,raw_candidate_operations,accepted_body_token_count,body_empty_reason,classification,correctness_concern,evidence_notes,raw_body_inventory_hash,jimple_body_hash,permitted_body_evidence_hash,body_loading_failure,active_body_retrieval_status,declaration_exact_match,only_empty_template_addition
jpetstore,org.mybatis.jpetstore.mapper.AccountMapper,org.mybatis.jpetstore.mapper.AccountMapper,interface,true,true,false,false,false,false,fbf942adc8a5c6036a7bf5498e0ad11c4e470a5bfad8f8846740138145f27ea5,0448e09395c3346af47c2b9115e9cc8b567d96c67409ce6b97d2c2b4ea54bdde,8,8,true,true,0,0,0,0,0,0,0,0,0,0,0,no_concrete_body,A,none,Soot method rows=0; concrete rows=0. javap resolved=true; declared concrete methods=0; abstract/native=8. Local-variable debug metadata is not present in the Soot method_bodies.csv schema; no local names were fabricated. All declared methods are abstract/native or the class has no declared concrete method body.,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,77305bff7a24e74a0e38d809575b5b8b3de1388a175e5cc66f013233b3646ab2,false,not_applicable_no_concrete_body,true,true
jpetstore,org.mybatis.jpetstore.mapper.CategoryMapper,org.mybatis.jpetstore.mapper.CategoryMapper,interface,true,true,false,false,false,false,77045e6e50f73c3cbd199dc5537096c548999d9dabbdce2d12d5ea9ef68c1fd9,4c2b0b9614de47c93d52b3e71d44d77577d0f8f24d5f318430de16a31d338a08,2,2,true,true,0,0,0,0,0,0,0,0,0,0,0,no_concrete_body,A,none,Soot method rows=0; concrete rows=0. javap resolved=true; declared concrete methods=0; abstract/native=2. Local-variable debug metadata is not present in the Soot method_bodies.csv schema; no local names were fabricated. All declared methods are abstract/native or the class has no declared concrete method body.,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,77305bff7a24e74a0e38d809575b5b8b3de1388a175e5cc66f013233b3646ab2,false,not_applicable_no_concrete_body,true,true
jpetstore,org.mybatis.jpetstore.mapper.ItemMapper,org.mybatis.jpetstore.mapper.ItemMapper,interface,true,true,false,false,false,false,46865703180302cba3a502392172882bd12eef02a25d68b8fadea2e950037bdb,f7a4d34cc83ec41e04e5305afff4f8fa8db765acb0e16f08f36d5e3c436c660b,4,4,true,true,0,0,0,0,0,0,0,0,0,0,0,no_concrete_body,A,none,Soot method rows=0; concrete rows=0. javap resolved=true; declared concrete methods=0; abstract/native=4. Local-variable debug metadata is not present in the Soot method_bodies.csv schema; no local names were fabricated. All declared methods are abstract/native or the class has no declared concrete method body.,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,77305bff7a24e74a0e38d809575b5b8b3de1388a175e5cc66f013233b3646ab2,false,not_applicable_no_concrete_body,true,true
jpetstore,org.mybatis.jpetstore.mapper.LineItemMapper,org.mybatis.jpetstore.mapper.LineItemMapper,interface,true,true,false,false,false,false,40f209695f43ebed808ee266c5265e0d032ff7607933101edec189de1634a1b4,71af6f379965ab0cfb5273fbf7e3733ed5c5b8adb3fd3cac4b06b7a88333a51c,2,2,true,true,0,0,0,0,0,0,0,0,0,0,0,no_concrete_body,A,none,Soot method rows=0; concrete rows=0. javap resolved=true; declared concrete methods=0; abstract/native=2. Local-variable debug metadata is not present in the Soot method_bodies.csv schema; no local names were fabricated. All declared methods are abstract/native or the class has no declared concrete method body.,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,77305bff7a24e74a0e38d809575b5b8b3de1388a175e5cc66f013233b3646ab2,false,not_applicable_no_concrete_body,true,true
jpetstore,org.mybatis.jpetstore.mapper.OrderMapper,org.mybatis.jpetstore.mapper.OrderMapper,interface,true,true,false,false,false,false,be60bbfe64991d122c53390240b91317703e08e794a236aecd63b3a482beec75,7e8e40f55a2c7915a803664f4374d530ef390d75a7cb12d48749845a092d65c7,4,4,true,true,0,0,0,0,0,0,0,0,0,0,0,no_concrete_body,A,none,Soot method rows=0; concrete rows=0. javap resolved=true; declared concrete methods=0; abstract/native=4. Local-variable debug metadata is not present in the Soot method_bodies.csv schema; no local names were fabricated. All declared methods are abstract/native or the class has no declared concrete method body.,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,77305bff7a24e74a0e38d809575b5b8b3de1388a175e5cc66f013233b3646ab2,false,not_applicable_no_concrete_body,true,true
jpetstore,org.mybatis.jpetstore.mapper.ProductMapper,org.mybatis.jpetstore.mapper.ProductMapper,interface,true,true,false,false,false,false,afd68148ad4082277eb3d9d64fa5785aa184223a17b106720118f27a4211c9aa,88f2b3ee8fb71f2a5d030a5dd3a006010dce5220299e2df1624cb7a1e546bff5,3,3,true,true,0,0,0,0,0,0,0,0,0,0,0,no_concrete_body,A,none,Soot method rows=0; concrete rows=0. javap resolved=true; declared concrete methods=0; abstract/native=3. Local-variable debug metadata is not present in the Soot method_bodies.csv schema; no local names were fabricated. All declared methods are abstract/native or the class has no declared concrete method body.,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,77305bff7a24e74a0e38d809575b5b8b3de1388a175e5cc66f013233b3646ab2,false,not_applicable_no_concrete_body,true,true
jpetstore,org.mybatis.jpetstore.mapper.SequenceMapper,org.mybatis.jpetstore.mapper.SequenceMapper,interface,true,true,false,false,false,false,397e1f58a092b8af9680028ce2121bbe684304b6880a2851792711c9bccc3bcb,a18094d1f2d3b7eeb9a5d092d8e52dbcac67e6d2b5e1e0701a9e8859cc2e44c8,2,2,true,true,0,0,0,0,0,0,0,0,0,0,0,no_concrete_body,A,none,Soot method rows=0; concrete rows=0. javap resolved=true; declared concrete methods=0; abstract/native=2. Local-variable debug metadata is not present in the Soot method_bodies.csv schema; no local names were fabricated. All declared methods are abstract/native or the class has no declared concrete method body.,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,77305bff7a24e74a0e38d809575b5b8b3de1388a175e5cc66f013233b3646ab2,false,not_applicable_no_concrete_body,true,true
daytrader,com.ibm.websphere.samples.daytrader.TradeServices,com.ibm.websphere.samples.daytrader.TradeServices,interface,true,true,false,false,false,false,79faebc4f5a70102505410ea8714fc1c26baa036aa637175132dd4a55b1b8f40,2e5c99ac18edf6b99445dee5d1f4e1faacb80a2de37fcbc55ba20c3fe0fc47f6,22,22,true,true,0,0,0,0,0,0,0,0,0,0,0,no_concrete_body,A,none,Soot method rows=0; concrete rows=0. javap resolved=true; declared concrete methods=0; abstract/native=22. Local-variable debug metadata is not present in the Soot method_bodies.csv schema; no local names were fabricated. All declared methods are abstract/native or the class has no declared concrete method body.,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,77305bff7a24e74a0e38d809575b5b8b3de1388a175e5cc66f013233b3646ab2,false,not_applicable_no_concrete_body,true,true
daytrader,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBLocal,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBLocal,interface,true,true,false,false,false,false,ebb0a71ae821572211f9108ae470bb16755bf374a203a0cabed519823f207842,330ee5d97b95d34d91c65fd3e5496954ee19996fec4ee992a76c708d29dae5fa,3,3,true,true,0,0,0,0,0,0,0,0,0,0,0,no_concrete_body,A,none,Soot method rows=0; concrete rows=0. javap resolved=true; declared concrete methods=0; abstract/native=3. Local-variable debug metadata is not present in the Soot method_bodies.csv schema; no local names were fabricated. All declared methods are abstract/native or the class has no declared concrete method body.,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,77305bff7a24e74a0e38d809575b5b8b3de1388a175e5cc66f013233b3646ab2,false,not_applicable_no_concrete_body,true,true
daytrader,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBRemote,com.ibm.websphere.samples.daytrader.ejb3.TradeSLSBRemote,interface,true,true,false,false,false,false,3f95dc954e38484462053beb3b05e249e536f1db830393b557d7ccb93dea5c3c,468e5076710d5c6529ad9e1cb8c4ee067c6f07ce361998475269bd51580137d5,3,3,true,true,0,0,0,0,0,0,0,0,0,0,0,no_concrete_body,A,none,Soot method rows=0; concrete rows=0. javap resolved=true; declared concrete methods=0; abstract/native=3. Local-variable debug metadata is not present in the Soot method_bodies.csv schema; no local names were fabricated. All declared methods are abstract/native or the class has no declared concrete method body.,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,77305bff7a24e74a0e38d809575b5b8b3de1388a175e5cc66f013233b3646ab2,false,not_applicable_no_concrete_body,true,true
daytrader,com.ibm.websphere.samples.daytrader.util.WebSocketJMSMessage,com.ibm.websphere.samples.daytrader.util.WebSocketJMSMessage,interface,true,true,false,false,false,false,e95b8733d3181d904136f23d47d135939f19ba98573cc973c9f5610fef33a7da,623212e7bf56f200f463314b29a8c7fadf2049f1a5fcc6d15011750d8e1fe45a,0,0,true,true,0,0,0,0,0,0,0,0,0,0,0,no_concrete_body,A,none,Soot method rows=0; concrete rows=0. javap resolved=true; declared concrete methods=0; abstract/native=0. Local-variable debug metadata is not present in the Soot method_bodies.csv schema; no local names were fabricated. All declared methods are abstract/native or the class has no declared concrete method body.,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,77305bff7a24e74a0e38d809575b5b8b3de1388a175e5cc66f013233b3646ab2,false,not_applicable_no_concrete_body,true,true
xerces,org.apache.xerces.dom.DeferredNode,org.apache.xerces.dom.DeferredNode,interface,true,true,false,false,false,false,90fbbab23e08d2f741464c2e0623b4ad4ff4b7929e298993db92b1ea1dbe14f3,7841f13e2075095f45961de6689ae0f367c55f684fd8270ac006f74198bf4eb9,1,1,true,true,0,0,0,0,0,0,0,0,0,0,0,no_concrete_body,A,none,Soot method rows=0; concrete rows=0. javap resolved=true; declared concrete methods=0; abstract/native=1. Local-variable debug metadata is not present in the Soot method_bodies.csv schema; no local names were fabricated. All declared methods are abstract/native or the class has no declared concrete method body.,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,77305bff7a24e74a0e38d809575b5b8b3de1388a175e5cc66f013233b3646ab2,false,not_applicable_no_concrete_body,true,true
xerces,org.apache.xerces.dom3.as.ASAttributeDeclaration,org.apache.xerces.dom3.as.ASAttributeDeclaration,interface,true,true,false,false,false,false,7f7c2545f20e6c72197e0a1ea8fb5db35c2c52fd84a4f1a294965094e5c50a01,e65648cb24eda5963b14af6b60360a3a0fc83ab28abefd553b4161dcf2c82227,10,10,true,true,0,0,0,0,0,0,0,0,0,0,0,no_concrete_body,A,none,Soot method rows=0; concrete rows=0. javap resolved=true; declared concrete methods=0; abstract/native=10. Local-variable debug metadata is not present in the Soot method_bodies.csv schema; no local names were fabricated. All declared methods are abstract/native or the class has no declared concrete method body.,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,77305bff7a24e74a0e38d809575b5b8b3de1388a175e5cc66f013233b3646ab2,false,not_applicable_no_concrete_body,true,true
