source,target,dependency_type,weight,evidence_kind,evidence_location
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom3.as.ASNotationDeclaration,type,1,method_return_type_reference,"<org.apache.xerces.dom.ASModelImpl: org.apache.xerces.dom3.as.ASNotationDeclaration createASNotationDeclaration(java.lang.String,java.lang.String,java.lang.String,java.lang.String)>"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom3.as.ASEntityDeclaration,type,1,method_return_type_reference,<org.apache.xerces.dom.ASModelImpl: org.apache.xerces.dom3.as.ASEntityDeclaration createASEntityDeclaration(java.lang.String)>
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom3.as.ASContentModel,type,1,method_return_type_reference,"<org.apache.xerces.dom.ASModelImpl: org.apache.xerces.dom3.as.ASContentModel createASContentModel(int,int,short)>"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.impl.xs.SchemaGrammar,type,1,method_return_type_reference,<org.apache.xerces.dom.ASModelImpl: org.apache.xerces.impl.xs.SchemaGrammar getGrammar()>
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.impl.xs.SchemaGrammar,type,1,method_parameter_type_reference,<org.apache.xerces.dom.ASModelImpl: void setGrammar(org.apache.xerces.impl.xs.SchemaGrammar)>
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: short getAsNodeType()> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: org.apache.xerces.dom3.as.ASModel getOwnerASModel()> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: void setOwnerASModel(org.apache.xerces.dom3.as.ASModel)> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: java.lang.String getNodeName()> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
org.apache.xerces.dom.ASModelImpl,org.apache.xerces.dom.DOMMessageFormatter,call,2,method_call,"<org.apache.xerces.dom.ASModelImpl: void setNodeName(java.lang.String)> :: r0 = staticinvoke <org.apache.xerces.dom.DOMMessageFormatter: java.lang.String formatMessage(java.lang.String,java.lang.String,java.lang.Object[])>(""http://www.w3.org/dom/DOMTR"", ""NOT_SUPPORTED_ERR"", null)"
