subject,class_id,class_name,kind,superclass_present,semantic_text,method_count,annotation_count,interface_count,truncated_method_count,input_hash,experiment_name,representation_id,stage3a_source_path,stage3a_source_file_sha256,declaration_exact_match,declaration_truncated,body_empty,body_tokens_truncated,raw_body_candidate_count,filtered_body_token_count_before_budget,appended_body_token_count,extracted_concrete_method_count,normalized_method_count,synthetic_method_count,accepted_invoked_method_tokens,accepted_field_tokens,accepted_local_tokens,accepted_exception_tokens,accepted_operation_tokens,accepted_string_tokens,accepted_literals,rejected_token_count,body_hash
jfreechart,org.jfree.chart.ChartColor,ChartColor,class,true,"[DECLARATION]
public class ChartColor extends Color {
    Paint[] createDefaultPaintArray();
}
[METHOD_BODY]
create invoke very dark red light yellow green cyan blue magenta invoke create paint array pink gray dark red blue green yellow magenta cyan light very
",1,0,0,0,ce728470a022b78837ac1900dc573284c807989b22798ad7dba7ca3325ab3c9c,stage3_declaration_method_body,declaration_method_body_v1,"validation_provenance/jfreechart_class_declarations.csv (historical generator commit 48cf46d2a971ff5427daa7d410cb79d4d024e23a, run in isolation)",4d927e3598374a7fee23a9f84194019099457f4d8a1c4fd0c31429d20155f5a6,true,false,false,0,118,26,26,3,3,0,3,126,0,0,62,0,0,458,39206c3967e9f0f5f813a96a8cf7dbb47c99620c7fbf104567c1e860f57a2ad2
jfreechart,org.jfree.chart.ChartFactory,ChartFactory,abstract class,false,"[DECLARATION]
public abstract class ChartFactory {
    JFreeChart createAreaChart(String, String, String, CategoryDataset);
    JFreeChart createAreaChart(String, String, String, CategoryDataset, PlotOrientation, boolean, boolean, boolean);
    JFreeChart createBarChart(String, String, String, CategoryDataset);
    JFreeChart createBarChart(String, String, String, CategoryDataset, PlotOrientation, boolean, boolean, boolean);
    JFreeChart createBarChart3D(String, String, String, CategoryDataset);
    JFreeChart createBarChart3D(String, String, String, CategoryDataset, PlotOrientation, boolean, boolean, boolean);
    JFreeChart createBoxAndWhiskerChart(String, String, String, BoxAndWhiskerCategoryDataset, boolean);
    JFreeChart createBoxAndWhiskerChart(String, String, String, BoxAndWhiskerXYDataset, boolean);
    JFreeChart createBubbleChart(String, String, String, XYZDataset);
    JFreeChart createBubbleChart(String, String, String, XYZDataset, PlotOrientation, boolean, boolean, boolean);
    JFreeChart createCandlestickChart(String, String, String, OHLCDataset, boolean);
    JFreeChart createGanttChart(String, String, String, IntervalCategoryDataset);
    JFreeChart createGanttChart(String, String, String, IntervalCategoryDataset, boolean, boolean, boolean);
    JFreeChart createHighLowChart(String, String, String, OHLCDataset, Timeline, boolean);
    JFreeChart createHighLowChart(String, String, String, OHLCDataset, boolean);
    JFreeChart createHistogram(String, String, String, IntervalXYDataset, PlotOrientation, boolean, boolean, boolean);
    JFreeChart createLineChart(String, String, String, CategoryDataset);
    JFreeChart createLineChart(String, String, String, CategoryDataset, PlotOrientation, boolean, boolean, boolean);
    JFreeChart createLineChart3D(String, String, String, CategoryDataset);
    JFreeChart createLineChart3D(String, String, String, CategoryDataset, PlotOrientation, boolean, boolean, boolean);
    JFreeChart createMultiplePieChart(String, CategoryDataset, TableOrder, boolean, boolean, boolean);
    JFreeChart createMultiplePieChart3D(String, CategoryDataset, TableOrder, boolean, boolean, boolean);
    JFreeChart createPieChart(String, PieDataset);
    JFreeChart createPieChart(String, PieDataset, PieDataset, int, boolean, boolean, boolean, Locale, boolean, boolean);
    JFreeChart createPieChart(String, PieDataset, PieDataset, int, boolean, boolean, boolean, boolean, boolean, boolean);
    JFreeChart createPieChart(String, PieDataset, boolean, boolean, Locale);
    JFreeChart createPieChart(String, PieDataset, boolean, boolean, boolean);
    JFreeChart createPieChart3D(String, PieDataset);
    JFreeChart createPieChart3D(String, PieDataset, boolean, boolean, Locale);
    JFreeChart createPieChart3D(String, PieDataset, boolean, boolean, boolean);
    JFreeChart createPolarChart(String, XYDataset, boolean, boolean, boolean);
    JFreeChart createRingChart(String, PieDataset, boolean, boolean, Locale);
    JFreeChart createRingChart(String, PieDataset, boolean, boolean, boolean);
    JFreeChart createScatterPlot(String, String, String, XYDataset);
    JFreeChart createScatterPlot(String, String, String, XYDataset, PlotOrientation, boolean, boolean, boolean);
    JFreeChart createStackedAreaChart(String, String, String, CategoryDataset);
    JFreeChart createStackedAreaChart(String, String, String, CategoryDataset, PlotOrientation, boolean, boolean, boolean);
    JFreeChart createStackedBarChart(String, String, String, CategoryDataset);
    JFreeChart createStackedBarChart(String, String, String, CategoryDataset, PlotOrientation, boolean, boolean, boolean);
    JFreeChart createStackedBarChart3D(String, String, String, CategoryDataset);
    JFreeChart createStackedBarChart3D(String, String, String, CategoryDataset, PlotOrientation, boolean, boolean, boolean);
    JFreeChart createStackedXYAreaChart(String, String, String, TableXYDataset);
    JFreeChart createStackedXYAreaChart(String, String, String, TableXYDataset, PlotOrientation, boolean, boolean, boolean);
    JFreeChart createTimeSeriesChart(String, String, String, XYDataset);
    JFreeChart createTimeSeriesChart(String, String, String, XYDataset, boolean, boolean, boolean);
    JFreeChart createWaferMapChart(String, WaferMapDataset, PlotOrientation, boolean, boolean, boolean);
    JFreeChart createWaterfallChart(String, String, String, CategoryDataset, PlotOrientation, boolean, boolean, boolean);
    JFreeChart createWindPlot(String, String, String, WindDataset, boolean, boolean, boolean);
    JFreeChart createXYAreaChart(String, String, String, XYDataset);
    JFreeChart createXYAreaChart(String, String, String, XYDataset, PlotOrientation, boolean, boolean, boolean);
    JFreeChart createXYBarChart(String, String, boolean, String, IntervalXYDataset);
    JFreeChart createXYBarChart(String, String, boolean, String, IntervalXYDataset, PlotOrientation, boolean, boolean, boolean);
    JFreeChart createXYLineChart(String, String, String, XYDataset);
    JFreeChart createXYLineChart(String, String, String, XYDataset, PlotOrientation, boolean, boolean, boolean);
    JFreeChart createXYStepAreaChart(String, String, String, XYDataset);
    JFreeChart createXYStepAreaChart(String, String, String, XYDataset, PlotOrientation, boolean, boolean, boolean);
    JFreeChart createXYStepChart(String, String, String, XYDataset);
    JFreeChart createXYStepChart(String, String, String, XYDataset, PlotOrientation, boolean, boolean, boolean);
    ChartTheme getChartTheme();
    void setChartTheme(ChartTheme);
}
[METHOD_BODY]
invoke branch jump create assertions disabled current theme free invoke create area chart vertical area chart apply branch jump title font current theme orientation bar vertical bar apply horizontal outside3 center left outside9 right outside12 bottom outside6 top title font orientation chart3 chart3 horizontal descending box whisker box whisker bubble bubble candlestick gantt gantt high low high low histogram line line multiple pie order multiple pie bottom order sans serif series red green assertions disabled assertion error bright sans serif cmpl cmpg red green assertion error bright cmpl cmpg locale polar ring ring scatter plot scatter plot stacked stacked descending xy xy time series time wafer map waterfall center black foreground wind step step painter legacy
",60,0,0,0,166da6aee18fe886361ac8015a374a0e941dea32c2acbec49de5f8d22949d5a6,stage3_declaration_method_body,declaration_method_body_v1,"validation_provenance/jfreechart_class_declarations.csv (historical generator commit 48cf46d2a971ff5427daa7d410cb79d4d024e23a, run in isolation)",4d927e3598374a7fee23a9f84194019099457f4d8a1c4fd0c31429d20155f5a6,true,false,false,0,1736,116,116,62,62,0,320,223,40,16,1159,49,45,5192,4cf35d56762f8226fbe41292ab0e91910777023e4a48344c532c2aaa81d5c2f5
jfreechart,org.jfree.chart.ChartFrame,ChartFrame,class,true,"[DECLARATION]
public class ChartFrame extends JFrame {
    ChartPanel getChartPanel();
}
[METHOD_BODY]
invoke content pane invoke create branch jump chart panel chart panel
",1,0,0,0,358c22bfdb28649a4a8dbf422ead25a46d936d3d83a7fc0028b8d212667f6e89,stage3_declaration_method_body,declaration_method_body_v1,"validation_provenance/jfreechart_class_declarations.csv (historical generator commit 48cf46d2a971ff5427daa7d410cb79d4d024e23a, run in isolation)",4d927e3598374a7fee23a9f84194019099457f4d8a1c4fd0c31429d20155f5a6,true,false,false,0,23,11,11,3,3,0,4,10,0,0,12,0,0,65,1868a19e5d1c9e4e32bc47906871c796ea8d85c0798699c1aba61c87a3edd29d
jfreechart,org.jfree.chart.ChartHints,ChartHints,class,false,"[DECLARATION]
public class ChartHints {
}
[METHOD_BODY]
create invoke key begin element end invoke
",0,0,0,0,fb8769a045ab075bea63da5b6d1e52bd829fd9ba9ecadb08cd373f7325a9aba3,stage3_declaration_method_body,declaration_method_body_v1,"validation_provenance/jfreechart_class_declarations.csv (historical generator commit 48cf46d2a971ff5427daa7d410cb79d4d024e23a, run in isolation)",4d927e3598374a7fee23a9f84194019099457f4d8a1c4fd0c31429d20155f5a6,true,false,false,0,9,7,7,2,2,0,0,6,0,0,5,0,0,17,a71b7b0efbfa73867551d252ac4e5c296473f466c1ac8cc162f5a31fa57fca38
jfreechart,org.jfree.chart.ChartHints$Key,ChartHints$Key,class,true,"[DECLARATION]
public class ChartHints$Key extends RenderingHints$Key {
    boolean isCompatibleValue(Object);
}
[METHOD_BODY]
invoke compatible value invoke jump branch create runtime exception not
",1,0,0,0,5a5ab5edcec3b7df7fbe376b420a87201dab5766c2f0969b2437e57235a747bb,stage3_declaration_method_body,declaration_method_body_v1,"validation_provenance/jfreechart_class_declarations.csv (historical generator commit 48cf46d2a971ff5427daa7d410cb79d4d024e23a, run in isolation)",4d927e3598374a7fee23a9f84194019099457f4d8a1c4fd0c31429d20155f5a6,true,false,false,0,50,10,10,2,2,0,2,0,0,8,24,1,1,101,b952b73d33525bd3920b7777d3c1304eefa38feb612ef1358891b143459b094d
jfreechart,org.jfree.chart.ChartMouseEvent,ChartMouseEvent,class,true,"[DECLARATION]
public class ChartMouseEvent extends EventObject implements Serializable {
    JFreeChart getChart();
    ChartEntity getEntity();
    MouseEvent getTrigger();
}
[METHOD_BODY]
invoke chart trigger entity chart entity trigger
",3,0,1,0,ccf691f828581e172329560ca10b91cce14604acdb52554b75427d6ecebe0d75,stage3_declaration_method_body,declaration_method_body_v1,"validation_provenance/jfreechart_class_declarations.csv (historical generator commit 48cf46d2a971ff5427daa7d410cb79d4d024e23a, run in isolation)",4d927e3598374a7fee23a9f84194019099457f4d8a1c4fd0c31429d20155f5a6,true,false,false,0,14,7,7,4,4,0,3,6,0,0,1,0,0,38,befdcedd2e2849ccd494a3c422e8121d2d264ca0724ef115367637ee446fedf1
jfreechart,org.jfree.chart.ChartMouseListener,ChartMouseListener,interface,false,"[DECLARATION]
public interface ChartMouseListener extends EventListener {
    void chartMouseClicked(ChartMouseEvent);
    void chartMouseMoved(ChartMouseEvent);
}
[METHOD_BODY]
<EMPTY>
",2,0,1,0,6abc6ad8570f6529bd4a6a40858cbcc3c0118d2480a3e3d83fee3575e3eeb142,stage3_declaration_method_body,declaration_method_body_v1,"validation_provenance/jfreechart_class_declarations.csv (historical generator commit 48cf46d2a971ff5427daa7d410cb79d4d024e23a, run in isolation)",4d927e3598374a7fee23a9f84194019099457f4d8a1c4fd0c31429d20155f5a6,true,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77305bff7a24e74a0e38d809575b5b8b3de1388a175e5cc66f013233b3646ab2
jfreechart,org.jfree.chart.ChartPanel,ChartPanel,class,true,"[DECLARATION]
public class ChartPanel extends JPanel implements ActionListener, ChartChangeListener, ChartProgressListener, MouseListener, MouseMotionListener, OverlayChangeListener, Printable, Serializable {
    void actionPerformed(ActionEvent);
    void addChartMouseListener(ChartMouseListener);
    void addOverlay(Overlay);
    void chartChanged(ChartChangeEvent);
    void chartProgress(ChartProgressEvent);
    void createChartPrintJob();
    JPopupMenu createPopupMenu(boolean, boolean, boolean, boolean);
    JPopupMenu createPopupMenu(boolean, boolean, boolean, boolean, boolean);
    Graphics2D createSVGGraphics2D(int, int);
    void displayPopupMenu(int, int);
    void doCopy();
    void doEditChartProperties();
    void doSaveAs();
    void drawHorizontalAxisTrace(Graphics2D, int);
    void drawVerticalAxisTrace(Graphics2D, int);
    void drawZoomRectangle(Graphics2D, boolean);
    String generateSVG(int, int);
    Point2D getAnchor();
    JFreeChart getChart();
    ChartRenderingInfo getChartRenderingInfo();
    File getDefaultDirectoryForSaveAs();
    int getDismissDelay();
    ChartEntity getEntityForPoint(int, int);
    boolean getFillZoomRectangle();
    boolean getHorizontalAxisTrace();
    Line2D getHorizontalTraceLine();
    int getInitialDelay();
    EventListener[] getListeners(Class);
    int getMaximumDrawHeight();
    int getMaximumDrawWidth();
    int getMinimumDrawHeight();
    int getMinimumDrawWidth();
    Point2D getPointInRectangle(int, int, Rectangle2D);
    JPopupMenu getPopupMenu();
    boolean getRefreshBuffer();
    int getReshowDelay();
    double getScaleX();
    double getScaleY();
    Rectangle2D getScreenDataArea();
    Rectangle2D getScreenDataArea(int, int);
    String getToolTipText(MouseEvent);
    boolean getVerticalAxisTrace();
    Line2D getVerticalTraceLine();
    boolean getZoomAroundAnchor();
    Paint getZoomFillPaint();
    double getZoomInFactor();
    double getZoomOutFactor();
    Paint getZoomOutlinePaint();
    int getZoomTriggerDistance();
    boolean isDomainZoomable();
    boolean isEnforceFileExtensions();
    boolean isMouseWheelEnabled();
    boolean isOrsonPDFAvailable();
    boolean isRangeZoomable();
    void mouseClicked(MouseEvent);
    void mouseDragged(MouseEvent);
    void mouseEntered(MouseEvent);
    void mouseExited(MouseEvent);
    void mouseMoved(MouseEvent);
    void mousePressed(MouseEvent);
    void mouseReleased(MouseEvent);
    void overlayChanged(OverlayChangeEvent);
    void paintComponent(Graphics);
    int print(Graphics, PageFormat, int);
    void readObject(ObjectInputStream);
    void removeChartMouseListener(ChartMouseListener);
    void removeOverlay(Overlay);
    void restoreAutoBounds();
    void restoreAutoDomainBounds();
    void restoreAutoRangeBounds();
    void saveAsPDF(File);
    void saveAsSVG(File);
    Rectangle2D scale(Rectangle2D);
    void setAnchor(Point2D);
    void setChart(JFreeChart);
    void setDefaultDirectoryForSaveAs(File);
    void setDismissDelay(int);
    void setDisplayToolTips(boolean);
    void setDomainZoomable(boolean);
    void setEnforceFileExtensions(boolean);
    void setFillZoomRectangle(boolean);
    void setHorizontalAxisTrace(boolean);
    void setHorizontalTraceLine(Line2D);
    void setInitialDelay(int);
    void setMaximumDrawHeight(int);
    void setMaximumDrawWidth(int);
    void setMinimumDrawHeight(int);
    void setMinimumDrawWidth(int);
    void setMouseWheelEnabled(boolean);
    void setMouseZoomable(boolean);
    void setMouseZoomable(boolean, boolean);
    void setPopupMenu(JPopupMenu);
    void setRangeZoomable(boolean);
    void setRefreshBuffer(boolean);
    void setReshowDelay(int);
    void setVerticalAxisTrace(boolean);
    void setVerticalTraceLine(Line2D);
    void setZoomAroundAnchor(boolean);
    void setZoomFillPaint(Paint);
    void setZoomInFactor(double);
    void setZoomOutFactor(double);
    void setZoomOutlinePaint(Paint);
    void setZoomTriggerDistance(int);
    Point translateJava2DToScreen(Point2D);
    Point2D translateScreenToJava2D(Point);
    void updateUI();
    void writeAsPDF(File, int, int);
    void writeObject(ObjectOutputStream);
    void zoom(Rectangle2D);
    void zoomInBoth(double, double);
    void zoomInDomain(double, double);
    void zoomInRange(double, double);
    void zoomOutBoth(double, double);
    void zoomOutDomain(double, double);
    void zoomOutRange(double, double);
}
[METHOD_BODY]
bundle invoke localization resources org jfree chart invoke create branch jump vertical orientation domain zoomable range zoom point rectangle fill horizontal axis trace factor out pan mask chart mouse listeners info use buffer refresh minimum draw width height maximum trigger distance popup directory save enforce file extensions own tool tip initial delay dismiss reshow around anchor blue outline paint overlays os name mac action performed restore auto range bounds branch jump zoom point properties copy save png svg pdf print both domain out reset add mouse listener listeners add overlay repaint overlays changed repaint refresh buffer orientation progress create print job show message dialog popup menu menu localization resources both item reset properties copy png svg pdf all axes axis auto graphics2 instance type org jfree graphics2d display show item contents left right top bottom edit update directory image files draw horizontal trace paint mode orange vertical line mode orange line rectangle fill gray outline generate key suppress shadow generation illegal state exception free library not present get element anchor rendering info dismiss delay own tool tip entity left scale top initial maximum height width minimum reshow scale screen data area screen data area text around factor trigger distance zoomable enforce file extensions wheel enabled handler orson available com orsonpdf document clicked measure dragged dispose pan last use cmpl neg entered delays active original exited delays active original moved measure pressed display mask last released cmpl cmpg overlay changed component dispose right bottom cmpg read object change listener remove remove restore bounds notify write files runtime
",115,0,8,0,2a9f971e06cbe56882adac81675039703fb31f21b7bd5fc77cb14414f821814b,stage3_declaration_method_body,declaration_method_body_v1,"validation_provenance/jfreechart_class_declarations.csv (historical generator commit 48cf46d2a971ff5427daa7d410cb79d4d024e23a, run in isolation)",4d927e3598374a7fee23a9f84194019099457f4d8a1c4fd0c31429d20155f5a6,true,false,false,35,2909,291,256,121,121,0,368,1266,31,54,1394,206,100,8969,768a23bf2b072e36f4df6df5a4444d19289d04033e7b5c089cb10f8353cb15cb
jfreechart,org.jfree.chart.ChartRenderingInfo,ChartRenderingInfo,class,false,"[DECLARATION]
public class ChartRenderingInfo implements Cloneable, Serializable {
    void clear();
    Object clone();
    boolean equals(Object);
    Rectangle2D getChartArea();
    EntityCollection getEntityCollection();
    PlotRenderingInfo getPlotInfo();
    void readObject(ObjectInputStream);
    void setChartArea(Rectangle2D);
    void setEntityCollection(EntityCollection);
    void writeObject(ObjectOutputStream);
}
[METHOD_BODY]
create invoke invoke create chart area plot info entities clear branch jump chart area plot info entities clone branch jump equal entity collection read object shape rect entity collection write object shape
",10,0,2,0,dfc7cb11bfb4c28660675163928048539d8dc650c5e1718d83d1792e517fc9a1,stage3_declaration_method_body,declaration_method_body_v1,"validation_provenance/jfreechart_class_declarations.csv (historical generator commit 48cf46d2a971ff5427daa7d410cb79d4d024e23a, run in isolation)",4d927e3598374a7fee23a9f84194019099457f4d8a1c4fd0c31429d20155f5a6,true,false,false,0,104,32,32,12,12,0,24,46,0,0,39,0,0,269,2e0ff41a8608d99b036cfab3fc99b60db081a837468eb40a9860fc1d87d3a1f6
jfreechart,org.jfree.chart.ChartTheme,ChartTheme,interface,false,"[DECLARATION]
public interface ChartTheme {
    void apply(JFreeChart);
}
[METHOD_BODY]
<EMPTY>
",1,0,0,0,bf3a5390102ff492dcfc201c57cde045c6729a6f9089a3587c537ff0610c8406,stage3_declaration_method_body,declaration_method_body_v1,"validation_provenance/jfreechart_class_declarations.csv (historical generator commit 48cf46d2a971ff5427daa7d410cb79d4d024e23a, run in isolation)",4d927e3598374a7fee23a9f84194019099457f4d8a1c4fd0c31429d20155f5a6,true,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77305bff7a24e74a0e38d809575b5b8b3de1388a175e5cc66f013233b3646ab2
