seed,source_directory,status,implementation_commit,execution_head,config_sha256,semantic_graph_sha256,runtime_seconds,population_size,generations,front_4d_size,projected_front_size,projected_hv,selected_solution_id,selected_cluster_count,selected_f_semantic,f_semantic_min,f_semantic_mean,f_semantic_max,f_semantic_std,redundancy_spearman_rho,validation_pass,seed_artifact_aggregate_sha256,run_metadata_sha256,run_log_sha256,pareto_front_4d_sha256,projected_front_3d_sha256,partition_labels_sha256,selected_solution_artifact_sha256,projected_hv_artifact_sha256,redundancy_artifact_sha256
10,results/xerces/04_stage3_semantic/formal/seed_10,valid,f47a2d34a3e63dd4a4f6320ed6186080e27c3f21,f47a2d34a3e63dd4a4f6320ed6186080e27c3f21,eddbb3674dacabfac2925f4ef6887bb86c9030f629a231230d6a889e1c28cc27,ab6fc959bfe41ce46fbcfcbbec083a89b7db9d7d302b96877183ff3c8c2a3be9,73.26410808297805,100,100,100,83,0.15072980927344948,seed10_solution013,31,0.3825336933016551,0.3825336933016551,0.6913896391962205,0.9668400347530582,0.16332861362010292,0.9351331241111556,True,c4da17074c3c69a7b3ee47565b2e490a48aa1ceb17016e9ab704a06a592d862d,d03334cc8f7b5396e84c870db2745dad2f19fd434e69a7fae76d0c9c23b3999b,25565054428206cf0c800382fa4f14742f57d65a4e3f7522e6cdda15a5bef4d0,add3ef155dcb298b9368f742a78a9c232209a364f05c672acd45206fceda2489,b3c05c9968ce71d9bb864a2ea1d2bb25c2c187070489a5f8d5ae2165af1903e0,45f405d22e382b4466523d92c276938fd078c094308efb65a020587c9982426d,59d0e968098344b8e2ad03c506e10fc7364faa81448c7d99ef29248dd2506da8,aa226e6e2f092a4beb684692973e28d8b7be89ec6559535a2fcaf82f8f13243e,37e99b68912ae08c8f069ef51a80be54dd48f960c28d88a0dc4a1ed6ca707bba
11,results/xerces/04_stage3_semantic/formal/seed_11,valid,f47a2d34a3e63dd4a4f6320ed6186080e27c3f21,f47a2d34a3e63dd4a4f6320ed6186080e27c3f21,eddbb3674dacabfac2925f4ef6887bb86c9030f629a231230d6a889e1c28cc27,ab6fc959bfe41ce46fbcfcbbec083a89b7db9d7d302b96877183ff3c8c2a3be9,71.15181008400396,100,100,100,81,0.12853267961342094,seed11_solution013,31,0.3830744571125152,0.3830744571125152,0.6966907561218199,0.9621405997786528,0.16586462808196475,0.9266454444849521,True,10ba676ca90f07fba15cd8c2e784b06da22174ed81a1720f0d3368c9a6ac29f5,0d984c8ae54be22971f2c93e3df0ecbc310cbee987be016bbf942539808290d8,c3c3691335b702c85459efcd593266c90157f0749f2abed729819eac8fe9e1a7,ac39fe935c7b7bd0940182599032f633883ea8c3919263f905cf1eea96b9a07f,3f5cb34ae80f7fb207256623d43432b53fa67b0d1896038c4f764e899ad8b1bf,4307073d2bacab360d0389277dec5ce1afa78b7924ed4a488a5787383e44b974,82f4ea413cc9f1617060ce095c8737ceade522dcc55801fe4b819a29f90ee8dd,c2c59d58a6e9776f163a41143bcbc4c8b68bb9988f20ad304f2c1b99b820eb0c,cb8308736bbba5073fd87a9bfb3227091d20ebbb6935e624961c069f14c56d28
12,results/xerces/04_stage3_semantic/formal/seed_12,valid,f47a2d34a3e63dd4a4f6320ed6186080e27c3f21,f47a2d34a3e63dd4a4f6320ed6186080e27c3f21,eddbb3674dacabfac2925f4ef6887bb86c9030f629a231230d6a889e1c28cc27,ab6fc959bfe41ce46fbcfcbbec083a89b7db9d7d302b96877183ff3c8c2a3be9,70.05261537490878,100,100,100,83,0.1408523919579567,seed12_solution010,30,0.3839798991466712,0.3814240880366232,0.6866168359235126,0.9821742615700116,0.17777315433045696,0.9428492562801342,True,2fb23f422867108cc92a223b7d282f606c7d2689ac17ae6d37b445099e0c0dc0,16a8e7734a76efd2425b1a6411a64c15519fca4571a624e8e116029cea8220ba,7a801c28b606d86adcdd4ede6be4914b6eea65eaf68012bba2ee16858850257c,c936a17d5a7cdeb97fd05bd917b9f388baf102b832187229ffed568e7810e927,7cfb07d7280993ea0348bbd6cc4813a0c87afa4f96f83405bdbbdb52490ad4a6,317fa38f24d1035f92b94a31c2e4ffefba46c5be60219f3c424dedbda0d3eaf6,5a7055ead3c4c5558d7c7b53179708fd9e2dc99ebc9ee34310c395c7afd2207a,dcfa42d6a9a2fba8c4fd7c5c6dbf5bf65d25ca5463eeec0fef44ce43db256ff8,d0ef4bd133c233c4d6989a707c5b45bbb565e2625088cfe0a5e2587dfa0de8b9
13,results/xerces/04_stage3_semantic/formal/seed_13,valid,f47a2d34a3e63dd4a4f6320ed6186080e27c3f21,f47a2d34a3e63dd4a4f6320ed6186080e27c3f21,eddbb3674dacabfac2925f4ef6887bb86c9030f629a231230d6a889e1c28cc27,ab6fc959bfe41ce46fbcfcbbec083a89b7db9d7d302b96877183ff3c8c2a3be9,68.61751066695433,100,100,100,72,0.13915298938192577,seed13_solution015,29,0.3839798991466712,0.3839798991466712,0.6875455637343582,0.9847538831765617,0.15675469306718776,0.9104557769491232,True,2ebf3df4dc303770cc8625df68b1ae2c465e216a102b40b6bcd727e169851061,28cbb3cd76d315f66c19236d0b2fc5f30eef9aee8d261bd7c2b925f195542812,f29e161cbcebe90b1d2d79dfadeda544de9bc10ddad03798d3fed0990b9caf6f,6a152361e87f9879d07335b12ad4870baae378b4764b8a744a5c051a15f0a974,f9c5d8c56b861ff1c67d4cd066d2a9cdcc81e59fd34d290fa81c4228f01755f0,e1b809e9359ae20747b6ab1e48db04695a102a9ba4114b61d624772a93a11f21,14a970db501176d928f36cf4864cb74d3328f22fe1b84e54c767c8429d40017a,e4b03cb5e0558c9451cb1750892720f3fdee168b07a9d719425acde93fac8446,efbb0b447402907204a16077e5825ebed7e73067e0778986b4fb27c1f6561b07
14,results/xerces/04_stage3_semantic/formal/seed_14,valid,f47a2d34a3e63dd4a4f6320ed6186080e27c3f21,f47a2d34a3e63dd4a4f6320ed6186080e27c3f21,eddbb3674dacabfac2925f4ef6887bb86c9030f629a231230d6a889e1c28cc27,ab6fc959bfe41ce46fbcfcbbec083a89b7db9d7d302b96877183ff3c8c2a3be9,68.9952468330739,100,100,100,89,0.13137799670978406,seed14_solution015,30,0.3801027133979906,0.3801027133979906,0.677344583121749,0.9814276162340853,0.16936983090285013,0.9065700964302215,True,8a749980811711773696f562605f3d7604b8bcdbc5b3900d9a525f385cb4e310,3f5f8e90b30a1eb7d8deb7266462c992de2f3a1c11e9a0736ba2a9412f6e539a,de3961cc0f992b3e253b3e7cdc0f7969bc12c3e23e70603b622ede5be4914525,d6926e198be0ab579f31a2e2a4485526de43ce171cf45751c786b430c4758827,a7b1db91c4099d2d4624953d278f06ab35dc5785876eb1f184b2042a804d87cf,c55c9226093d38e748f9f269bd63312e65601cdb3f4a00bece0d7510127591c7,ecf4698f138276c4a51bcd6ace0006151b3bfd70283768587e2cf39fac3ac827,54087f8daff51db72e7b28b6cef358dbb7acc654cce9fca30df9539a795a4c09,f4fbd871c740e154207f867786f87f0863f1cded7871f572b4cd0f5cd6db947a
15,results/xerces/04_stage3_semantic/formal/seed_15,valid,f47a2d34a3e63dd4a4f6320ed6186080e27c3f21,f47a2d34a3e63dd4a4f6320ed6186080e27c3f21,eddbb3674dacabfac2925f4ef6887bb86c9030f629a231230d6a889e1c28cc27,ab6fc959bfe41ce46fbcfcbbec083a89b7db9d7d302b96877183ff3c8c2a3be9,68.24414541607257,100,100,100,82,0.1354450745792015,seed15_solution013,31,0.3839798991466712,0.3785848777799863,0.6693434834079032,0.9765159792127144,0.16713025089600625,0.9257725772577258,True,4364e4689e90be3e99eff28c41bb85e2fe061a09bbb481ec674acb78ab0a33e4,055dde779f3f10692da6612c215aa747e8932d4a1952ee648096e976d39820c2,200830c8c316dc5e1a082a1026cd13dc6d5231e6cd7cee15df541560b4836797,b17fd8353f143d1d054ef5f424363df630d077c7c08ab6d468e6e787d1a4dbe3,5be87759d371d260dd4d781cc523684aebd31bfcbe57f087543876c035509ae5,82ee57b62f1fbd804752442781d7904d7877fb80872902be64de0a5d7a0ba0cd,13d6394bc4376ced1fbd5dc615b0b626f9dbda08acc76a83948318869796c71b,324b8f89f4fcce4080e943d387031dacd316079fae672d09f5e068d7c8660c06,fade7c0a1e9bbe0e92d670160e5bbad9a5ede4481ab6aada01d3e4f7f0b8dce4
16,results/xerces/04_stage3_semantic/formal/seed_16,valid,f47a2d34a3e63dd4a4f6320ed6186080e27c3f21,f47a2d34a3e63dd4a4f6320ed6186080e27c3f21,eddbb3674dacabfac2925f4ef6887bb86c9030f629a231230d6a889e1c28cc27,ab6fc959bfe41ce46fbcfcbbec083a89b7db9d7d302b96877183ff3c8c2a3be9,68.09806483297143,100,100,100,82,0.15484191684705986,seed16_solution011,30,0.3820886774816934,0.3806742158039832,0.664989372873708,0.9588385963748144,0.17054263032965972,0.9242595170659115,True,4360bdc16f20987da2d97bca601dbeb60ab65a7d83f83d8aaaf9b09ceb745297,520f187745709c47c9d367e79ae5c1f1b7dca92966900d8dcace64a87df0abce,ec9379870e86c87abed11200ec1e3c497742f72791fac9cec3ad7c18231f727a,79473950119564719b53e6407f0f010dc8af81b85570a37d8ddcff0882ea2b68,b065fb82e6eb3d20d7abdd430a2d8e868bd7b94fb5111b269716ecaccf7742fe,151fbb36953f8979bbca15e1a9ca8f8451b8b780c73ebcf7d49b916eb1293e53,a729213e6998d2bf330fa6a323f4da3dc8066fea1d2e4cc273dd3486d036bb9b,df8f8ee947b9385cc7658c085ca12f7f60f46beabda3a251c54e184912572ef2,ea2632036d7434ddf55b1d3a4814772d79e35db9fb529d27ddcbcbc1a8f1ce09
17,results/xerces/04_stage3_semantic/formal/seed_17,valid,f47a2d34a3e63dd4a4f6320ed6186080e27c3f21,f47a2d34a3e63dd4a4f6320ed6186080e27c3f21,eddbb3674dacabfac2925f4ef6887bb86c9030f629a231230d6a889e1c28cc27,ab6fc959bfe41ce46fbcfcbbec083a89b7db9d7d302b96877183ff3c8c2a3be9,68.58552279206924,100,100,100,80,0.15491662894500882,seed17_solution015,31,0.3828337011109073,0.3828337011109073,0.6734168773721926,0.9803178692384904,0.15652401433257046,0.9043738636295446,True,924b09bf61b1ef6eb40cc0b34fca561bc46e2b0494769d60a7b4d0b920d33a58,9d02917f83116d257c32d4ba467b3446bb21fd86aa67b02176ea290da8399ee7,89a288158f48851005654de1e0c2784cad0c040e7c97e2e68f7c33a867716dd0,835e326fa59f3a6dea04946e5af754a5d77a106d4dad7a057ee4a7d4b5cf470e,f5c9f77de1ff4268759bc1ae140ea425859db5ab5f4d56078a37c9d3d03b86f7,25e0180eb0b14e37cc5d8d855a6ae1acf404aebcd20a57bbb0a7b9af3017fa16,cabb9225b06e8ca0d67ba7e094e36eb401a821db05b39ba0b2fec46cb650c927,ac330543f939877d00afb39fa91d0dd994f45ab3c44f92dd443741f1decb30e4,be2703ad07c900cdeba4dbd55b644843a1c8648e35d0992347c530dca3a694b7
18,results/xerces/04_stage3_semantic/formal/seed_18,valid,f47a2d34a3e63dd4a4f6320ed6186080e27c3f21,f47a2d34a3e63dd4a4f6320ed6186080e27c3f21,eddbb3674dacabfac2925f4ef6887bb86c9030f629a231230d6a889e1c28cc27,ab6fc959bfe41ce46fbcfcbbec083a89b7db9d7d302b96877183ff3c8c2a3be9,70.33105666702613,100,100,100,85,0.12632520203412748,seed18_solution015,31,0.3839746407600292,0.382102806172595,0.6788894095110202,0.9750403898750568,0.1721916748381435,0.9117911791179117,True,5c197fadb7c32dc1e5072c39b7e80adbcea4c5c0d8968154e7d40de0dc2ec3f5,a363f90da93c4fa93eaffb1543f347496e70afbeb72d155d1cc1eed853bf78ed,3050ebfe8265108e86b993472e960717173067d97867f5bb3f40e06392eac65f,5f07e7aaccc197a8ac1c2e002c85669aaa96a79cb47d23496a709d6e5a5c6a89,d7518e52aa1309779a6726b71ed2dc27647a9459dc5cb28d85ad2ece5a6ce78f,66042da01f28395637a3dade84a24fef50ba7c4253672ff4e97c7e2df6fc0823,e5938a341794ab3fa3f67c55f20ed08e64366a6b45cdfc8ce537a20eb298f900,372bc09b919b3627176549b0dbea096490ca6d18592e478808f387ebd12a3f0c,9e8b2785d71ee9f64f88f8e541710c946cf88701425ca8594717916956545282
19,results/xerces/04_stage3_semantic/formal/seed_19,valid,f47a2d34a3e63dd4a4f6320ed6186080e27c3f21,f47a2d34a3e63dd4a4f6320ed6186080e27c3f21,eddbb3674dacabfac2925f4ef6887bb86c9030f629a231230d6a889e1c28cc27,ab6fc959bfe41ce46fbcfcbbec083a89b7db9d7d302b96877183ff3c8c2a3be9,70.64601174998097,100,100,100,85,0.1319241791026942,seed19_solution014,31,0.3826957299219844,0.3826957299219844,0.6925704129306501,0.9815855205326288,0.15511283042040533,0.939009535010711,True,a820d00e0e0876b13485cca91ea108695534375f8a324c230e85fb54707f0053,48b432a82848f258e7dd9e11526ef72b9a34a1b58d8c4aef1cc1a714d46cdb49,82778041ed7ba1b1128f187480d3bed38a486b98d6b11cc7f6995dad8cc5caee,d41185c43b1df23f7aa25143c0b679cdbc0bac9141c8d7877f1f47726835272f,8c9f8c9faf5d4634ef474aa57ff722a87c31b86d6cc82653a222fa167cdf7c9f,386ed17da4fde81856e714788af55279975c32ce929c694630cbc24d182c7ea8,a0a13ed22a3512f0130eb87cf454be2c4684e7c34df159b536f8630859c81206,abb2c880b985748bf61c158b6df72a8bd708214905cbc6f9b75c662c7a28f799,e03e5e24dda8194b0c887abc7e0d67e4f5a6b944d89d82af1e64b940d3b1ea79
