class_count,changed_class_count_after_label_alignment,changed_class_ratio_after_label_alignment,ari,nmi,label_alignment,subject,seed,stage2_cluster_count,stage3_cluster_count,delta_cluster_count
53,10,0.18867924528301888,0.70066957787481798,0.78464681101496103,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,12,8,10,2
53,5,0.094339622641509441,0.81432829097402937,0.86947497499403925,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,13,9,9,0
53,5,0.094339622641509441,0.85832071211360284,0.89987160411579836,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,14,8,9,1
53,16,0.30188679245283018,0.4413040233339654,0.65344900707877462,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,15,8,11,3
53,16,0.30188679245283018,0.44698611445541375,0.62629798085827437,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,16,8,8,0
53,8,0.15094339622641509,0.75945960208982,0.83126291036446676,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,17,10,9,-1
53,2,0.037735849056603772,0.90907216324779982,0.95199291733720548,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,18,10,11,1
53,17,0.32075471698113206,0.49330098646672471,0.66003880152046535,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,19,9,9,0
53,30,0.56603773584905659,0.088048303503045017,0.36569540349832647,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,20,9,6,-3
53,3,0.056603773584905662,0.92142837481272344,0.94146940897832165,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,21,10,8,-2
53,6,0.11320754716981132,0.82099846634764462,0.88907939188572738,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,22,11,10,-1
53,24,0.45283018867924529,0.22913403445961064,0.45961263367938943,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,23,7,9,2
53,4,0.075471698113207544,0.81985432964661453,0.89489484805444164,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,24,11,10,-1
53,8,0.15094339622641509,0.76345168049817091,0.83616433206697371,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,25,9,9,0
53,35,0.660377358490566,0.047676405899679863,0.28861624409950154,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,26,6,10,4
53,8,0.15094339622641509,0.71920237872455439,0.83690335122643578,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,27,10,10,0
53,8,0.15094339622641509,0.6844013244281969,0.80310696068285858,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,28,10,10,0
53,21,0.39622641509433965,0.40245168767428019,0.62343089946832941,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,daytrader,29,9,9,0
814,4,0.0049140049140049139,0.99459582311336969,0.99269236944577788,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,0,30,30,0
814,0,0,1,0.99999999999999933,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,1,30,30,0
814,7,0.0085995085995085995,0.98307147814610785,0.98469698797660343,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,2,31,31,0
814,0,0,1,0.99999999999999933,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,3,31,31,0
814,2,0.0024570024570024569,0.99417517469090588,0.99530666282255842,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,4,31,31,0
814,1,0.0012285012285012285,0.99684092241634026,0.9975295669645452,maximum-overlap Hungarian assignment; unmatched Stage 3 labels count as changed,xerces,5,31,31,0
