subject,seed,reference_status,reference_path,reference_source,reference_coverage,evaluation_policy,stage2_mojofm_vs_reference,stage3a_mojofm_vs_reference,delta_mojofm_vs_reference,stage2_pairwise_precision,stage3a_pairwise_precision,delta_pairwise_precision,stage2_pairwise_recall,stage3a_pairwise_recall,delta_pairwise_recall,stage2_pairwise_f1,stage3a_pairwise_f1,delta_pairwise_f1,stage2_ari_vs_reference,stage3a_ari_vs_reference,delta_ari_vs_reference,stage2_nmi_vs_reference,stage3a_nmi_vs_reference,delta_nmi_vs_reference,stage2_reference_coverage_ratio,stage3a_reference_coverage_ratio,delta_reference_coverage_ratio
jpetstore,20,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
jpetstore,21,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
jpetstore,22,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
jpetstore,23,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
jpetstore,24,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
jpetstore,25,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
jpetstore,26,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
jpetstore,27,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
jpetstore,28,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
jpetstore,29,unavailable,,,,existing calculate_reference_metrics; saved partitions only; no reselection,,,,,,,,,,,,,,,,,,,,,
daytrader,0,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,28.260869565217394,26.086956521739136,-2.1739130434782581,0.18857142857142858,0.18055555555555555,-0.0080158730158730318,0.18333333333333332,0.21666666666666667,0.033333333333333354,0.18591549295774648,0.19696969696969693,0.011054204011950453,0.065576386118867167,0.063522593219469653,-0.0020537928993975135,0.42738794767539839,0.40790624408587844,-0.01948170358951995,1,1,
daytrader,1,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,19.565217391304344,26.086956521739136,6.521739130434792,0.1377245508982036,0.1693121693121693,0.031587618413965707,0.12777777777777777,0.17777777777777778,0.050000000000000017,0.1325648414985591,0.17344173441734417,0.040876892918785074,0.0078173215387780243,0.045754037989110936,0.037936716450332912,0.3643217426148383,0.43122086901540252,0.066899126400564224,1,1,
daytrader,2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,26.086956521739136,26.086956521739136,0,0.18139534883720931,0.18139534883720931,0,0.21666666666666667,0.21666666666666667,0,0.19746835443037977,0.19746835443037977,0,0.064432117538711947,0.064432117538711947,0,0.42059333337213251,0.42059333337213251,0,1,1,
daytrader,3,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,26.086956521739136,28.260869565217394,2.1739130434782581,0.16867469879518071,0.17085427135678391,0.0021795725616031991,0.15555555555555556,0.18888888888888888,0.033333333333333326,0.16184971098265896,0.17941952506596306,0.017569814083304103,0.041743000469992422,0.048963432766265289,0.0072204322962728662,0.35912787689584952,0.39023468661284078,0.031106809716991257,1,1,
daytrader,4,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,23.913043478260864,23.913043478260864,0,0.16190476190476191,0.13364055299539171,-0.028264208909370203,0.18888888888888888,0.16111111111111112,-0.027777777777777762,0.17435897435897438,0.14609571788413098,-0.028263256474843401,0.039201420466848547,0.0038469248058411775,-0.035354495661007367,0.39187065216030653,0.44080710615294327,0.048936453992636741,1,1,
daytrader,5,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,23.913043478260864,26.086956521739136,2.1739130434782723,0.13733905579399142,0.18055555555555555,0.043216499761564137,0.17777777777777778,0.21666666666666667,0.03888888888888889,0.15496368038740921,0.19696969696969693,0.042006016582287725,0.0088864341740273693,0.063522593219469653,0.054636159045442285,0.36223655321701431,0.41059141663518817,0.048354863418173855,1,1,
daytrader,6,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,23.913043478260864,23.913043478260864,0,0.15714285714285714,0.16425120772946861,0.0071083505866114671,0.18333333333333332,0.18888888888888888,0.0055555555555555636,0.16923076923076921,0.17571059431524549,0.0064798250844762817,0.033233727426269968,0.041816525200210994,0.0085827977739410255,0.37695610790973011,0.41387102619112365,0.036914918281393538,1,1,
daytrader,7,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,21.739130434782606,26.086956521739136,4.3478260869565304,0.15294117647058825,0.16666666666666666,0.01372549019607841,0.14444444444444443,0.18888888888888888,0.044444444444444453,0.14857142857142858,0.17708333333333334,0.028511904761904766,0.024830206601757297,0.044466680710624248,0.019636474108866951,0.37458353728654409,0.41162147970743418,0.037037942420890091,1,1,
daytrader,8,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,26.086956521739136,23.913043478260864,-2.1739130434782723,0.17370892018779344,0.17000000000000001,-0.0037089201877934241,0.20555555555555555,0.18888888888888888,-0.016666666666666663,0.18829516539440203,0.1789473684210526,-0.0093477969733494204,0.054406140158408514,0.048055973784430071,-0.0063501663739784428,0.39013452643872504,0.42317799212059753,0.033043465681872497,1,1,
daytrader,9,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,23.913043478260864,28.260869565217394,4.3478260869565304,0.14948453608247422,0.19736842105263158,0.047883884970157359,0.16111111111111112,0.25,0.088888888888888878,0.15508021390374332,0.22058823529411764,0.065508021390374316,0.022633615542766841,0.087348795361391562,0.064715179818624721,0.37350702256687601,0.40143797435724471,0.027930951790368697,1,1,
daytrader,10,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,26.086956521739136,26.086956521739136,0,0.14880952380952381,0.17452830188679244,0.025718778077268634,0.1388888888888889,0.20555555555555555,0.066666666666666652,0.14367816091954025,0.18877551020408165,0.045097349284541399,0.020092396388141184,0.055301645338208395,0.035209248950067211,0.39029554327558508,0.4091859279526901,0.018890384677105021,1,1,
daytrader,11,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,existing calculate_reference_metrics; saved partitions only; no reselection,15.217391304347828,26.086956521739136,10.869565217391308,0.11604095563139932,0.16666666666666666,0.050625711035267335,0.18888888888888888,0.17777777777777778,-0.011111111111111099,0.14376321353065541,0.17204301075268819,0.028279797222032776,-0.021555369256508149,0.043003770045276613,0.064559139301784765,0.22572975506337561,0.40711698094085308,0.18138722587747746,1,1,
