subject,metric,family,direction,paired_n,missing_pairs,stage2_mean,stage3_mean,delta_mean_stage3_minus_stage2,stage2_std,stage3_std,stage2_min,stage2_max,stage3_min,stage3_max,stage2_median,stage3_median,delta_median_stage3_minus_stage2,delta_std,delta_min,delta_max,bootstrap_mean_delta_ci_low,bootstrap_mean_delta_ci_high,bootstrap_resamples,bootstrap_seed,wins_stage3,ties,losses_stage3,proportion_seeds_improved,availability,unavailable_reason
jpetstore,hv,primary,higher,30,0,0.40125400666028949,0.3775849381215618,-0.023669068538727613,0.0084110715637503285,0.010447004097971698,0.38274836879224977,0.41042890000419896,0.35305480275417694,0.40107561226532779,0.40431879320106279,0.37856150525566495,-0.026425827454365225,0.015525541723580168,-0.05466775377121269,0.018327243473078014,-0.028990916896980641,-0.01801446783139227,10000,2479126007,2,0,28,0.066666666666666666,available,
jpetstore,semantic_cut,secondary,lower,30,0,0.59878563847962107,0.59890782108454688,0.00012218260492582455,1.1292025708167404e-16,0.00046498080633406547,0.59878563847962096,0.59878563847962096,0.59878563847962096,0.60061837755350833,0.59878563847962096,0.59878563847962096,0,0.00046498080633406547,0,0.0018327390738873683,0,0.00030545651231456139,10000,3049293086,0,28,2,0,available,
jpetstore,coupling,secondary,lower,30,0,0.25185185185185177,0.25201646090534974,0.00016460905349794386,5.6460128540837018e-17,0.00062643983136411049,0.25185185185185183,0.25185185185185183,0.25185185185185183,0.25432098765432098,0.25185185185185183,0.25185185185185183,0,0.00062643983136411038,0,0.0024691358024691579,0,0.00041152263374485964,10000,557147170,0,28,2,0,available,
jpetstore,cohesion,secondary,higher,30,0,5.4773809523809502,5.556150793650791,0.07876984126984124,1.8067241133067846e-15,0.29976823894606414,5.477380952380952,5.477380952380952,5.477380952380952,6.6589285714285706,5.477380952380952,5.477380952380952,0,0.29976823894606408,0,1.1815476190476186,0,0.19692460317460311,10000,174783678,2,28,0,0.066666666666666666,available,
jpetstore,imbalance,secondary,lower,30,0,0.20412414523193145,0.21130285436521354,0.0071787091332821016,5.6460128540837018e-17,0.027319453233605764,0.2041241452319314,0.2041241452319314,0.20412414523193148,0.31180478223116176,0.2041241452319314,0.20412414523193148,8.3266726846886741e-17,0.027319453233605767,8.3266726846886741e-17,0.10768063699923036,8.3266726846886741e-17,0.017946772833205133,10000,1074246679,0,28,2,0,available,
jpetstore,weighted_modularity,secondary,higher,30,0,0.44206980643194654,0.44192592592592617,-0.00014388050602035887,5.6460128540837018e-17,0.00054755481556266353,0.44206980643194649,0.44206980643194649,0.43991159884164033,0.44206980643194654,0.44206980643194649,0.44206980643194654,5.5511151231257827e-17,0.00054755481556266353,-0.0021582075903061604,5.5511151231257827e-17,-0.00035970126505098049,5.5511151231257827e-17,10000,2945805932,0,28,2,0,available,
jpetstore,internal_edge_weight_ratio,secondary,higher,30,0,0.7481481481481479,0.74798353909464987,-0.00016460905349794015,2.2584051416334807e-16,0.00062643983136409628,0.74814814814814812,0.74814814814814812,0.74567901234567902,0.74814814814814812,0.74814814814814812,0.74814814814814812,0,0.00062643983136409628,-0.0024691358024691024,0,-0.00041152263374485038,0,10000,1064710410,0,28,2,0,available,
jpetstore,internal_external_edge_ratio,secondary,higher,30,0,2.9705882352941173,2.9680182752712736,-0.0025699600228440938,4.5168102832669614e-16,0.0097802963391868912,2.9705882352941178,2.9705882352941178,2.9320388349514563,2.9705882352941178,2.9705882352941178,2.9705882352941178,0,0.0097802963391868929,-0.038549400342661411,0,-0.0064249000571102348,0,10000,3632186469,0,28,2,0,available,
jpetstore,max_cluster_ratio,secondary,lower,30,0,0.29166666666666669,0.29444444444444445,0.0027777777777777753,0,0.010571172154269259,0.29166666666666669,0.29166666666666669,0.29166666666666669,0.33333333333333331,0.29166666666666669,0.29166666666666669,0,0.010571172154269259,0,0.04166666666666663,0,0.006944444444444438,10000,2504733086,0,28,2,0,available,
jpetstore,singleton_ratio,secondary,lower,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,3348841466,0,30,0,0,available,
jpetstore,cluster_size_cv,secondary,lower,30,0,0.20412414523193145,0.21130285436521354,0.0071787091332821016,5.6460128540837018e-17,0.027319453233605764,0.2041241452319314,0.2041241452319314,0.20412414523193148,0.31180478223116176,0.2041241452319314,0.20412414523193148,8.3266726846886741e-17,0.027319453233605767,8.3266726846886741e-17,0.10768063699923036,8.3266726846886741e-17,0.017946772833205133,10000,3492396042,0,28,2,0,available,
jpetstore,cluster_count,descriptive,descriptive_only,30,0,4,4,0,0,0,4,4,4,4,4,4,0,0,0,0,0,0,10000,1243925438,,,,,available,
jpetstore,average_cluster_size,descriptive,descriptive_only,30,0,6,6,0,0,0,6,6,6,6,6,6,0,0,0,0,0,0,10000,1170250795,,,,,available,
jpetstore,max_cluster_size,descriptive,descriptive_only,30,0,7,7.0666666666666664,0.066666666666666666,0,0.25370813170246242,7,7,7,8,7,7,0,0.25370813170246248,0,1,0,0.16666666666666666,10000,3538952195,,,,,available,
jpetstore,min_cluster_size,descriptive,descriptive_only,30,0,4,3.9333333333333331,-0.066666666666666666,0,0.25370813170246242,4,4,3,4,4,4,0,0.25370813170246248,-1,0,-0.16666666666666666,0,10000,3236833616,,,,,available,
jpetstore,mojofm_vs_reference,secondary,higher,0,30,,,,,,,,,,,,,,,,,,0,,,,,,not_consistently_available,Stage 3 saved representative does not contain this reference-dependent metric
jpetstore,pairwise_precision,secondary,higher,0,30,,,,,,,,,,,,,,,,,,0,,,,,,not_consistently_available,Stage 3 saved representative does not contain this reference-dependent metric
jpetstore,pairwise_recall,secondary,higher,0,30,,,,,,,,,,,,,,,,,,0,,,,,,not_consistently_available,Stage 3 saved representative does not contain this reference-dependent metric
jpetstore,pairwise_f1,secondary,higher,0,30,,,,,,,,,,,,,,,,,,0,,,,,,not_consistently_available,Stage 3 saved representative does not contain this reference-dependent metric
jpetstore,ari_vs_reference,secondary,higher,0,30,,,,,,,,,,,,,,,,,,0,,,,,,not_consistently_available,Stage 3 saved representative does not contain this reference-dependent metric
jpetstore,nmi_vs_reference,secondary,higher,0,30,,,,,,,,,,,,,,,,,,0,,,,,,not_consistently_available,Stage 3 saved representative does not contain this reference-dependent metric
jpetstore,reference_coverage_ratio,external_descriptive,higher,0,30,,,,,,,,,,,,,,,,,,0,,,,,,not_consistently_available,Stage 3 saved representative does not contain this reference-dependent metric
daytrader,hv,primary,higher,30,0,0.18483216694142091,0.18318025691465262,-0.001651910026768257,0.018250435439330165,0.019661628118220493,0.1371183452268139,0.21511356610811982,0.14891094688838111,0.22550181137079145,0.18798169280077276,0.1821837440341624,-0.0022626291655486186,0.019078339299381998,-0.044407784094011471,0.03178864945527704,-0.0083652613036423948,0.0048561836457250013,10000,3280798351,13,0,17,0.43333333333333335,available,
daytrader,semantic_cut,secondary,lower,30,0,0.62822390816543794,0.5883061451381113,-0.039917763027326379,0.067726562184596703,0.042123076096718795,0.54462692208255925,0.79087417465981213,0.52864943205278081,0.71017187078521049,0.61608383283901857,0.57233803633961489,-0.043740123939723041,0.077953909548647296,-0.19278323485642801,0.14562585095766534,-0.067367214779375198,-0.012600125790377883,10000,1725181309,19,1,10,0.6333333333333333,available,
daytrader,coupling,secondary,lower,30,0,0.45264452644526437,0.44449569495694957,-0.0081488314883148578,0.066067969613073138,0.03859899644685251,0.34501845018450178,0.62177121771217714,0.41143911439114389,0.57333948339483398,0.43011992619926198,0.42919741697416974,0.0034594095940959912,0.071572085293167956,-0.17666051660516607,0.15544280442804437,-0.034379612546125468,0.015744541820418227,10000,3901376552,13,1,16,0.43333333333333335,available,
daytrader,cohesion,secondary,higher,30,0,8.7359452074233825,8.0288384487679405,-0.70710675865544104,4.3313068792688219,2.6607167232637168,5.4418185980685978,23.901388888888889,5.0165584415584412,18.53059036480089,7.1262737262737268,7.3788539238539235,0.052182262182262296,5.2373928286611591,-15.958066778900111,11.206888141098666,-2.6237788712273282,1.0643948859387553,10000,1985027487,15,1,14,0.5,available,
daytrader,imbalance,secondary,lower,30,0,0.67882842248421704,0.7676200067121477,0.08879158422793075,0.14295327393464188,0.14009070626256762,0.31060523836140241,0.8929931748074893,0.44529900834739417,1.2651361973011477,0.69212719195188721,0.77581376285095194,0.055549008719317616,0.17879709376966127,-0.2989682717777386,0.54716270332226302,0.025104186386269645,0.15247628933749799,10000,2515799936,8,2,20,0.26666666666666666,available,
daytrader,weighted_modularity,secondary,higher,30,0,0.27136613418140632,0.28802187229090931,0.016655738109502889,0.060405126373138884,0.052845690296292699,0.1438560162239077,0.32459676389891201,0.12611175552484319,0.32459676389891201,0.29696249582998591,0.31342086036750583,0.0040995386602852013,0.086147792636401654,-0.19848500837406882,0.17105950695115801,-0.013967297977004155,0.046649409687708525,10000,109296592,15,1,14,0.5,available,
daytrader,internal_edge_weight_ratio,secondary,higher,30,0,0.54735547355473568,0.55550430504305048,0.0081488314883148821,0.066067969613073152,0.03859899644685251,0.37822878228782281,0.65498154981549817,0.42666051660516607,0.58856088560885611,0.56988007380073802,0.57080258302583031,-0.0034594095940959635,0.071572085293167942,-0.15544280442804431,0.17666051660516607,-0.016144295817958187,0.034809348093480935,10000,267280830,13,1,16,0.43333333333333335,available,
daytrader,internal_external_edge_ratio,secondary,higher,30,0,1.2490377024753647,1.2639898545953263,0.014952152119961808,0.28608873986207001,0.17044761299694752,0.60830860534124631,1.8983957219251335,0.74416733708769112,1.4304932735426008,1.324938991712993,1.3299308178279801,-0.01833304185932616,0.30474060261302638,-0.64876864525226496,0.64607503489040308,-0.091410202121531683,0.12378775451222281,10000,1484481547,13,1,16,0.43333333333333335,available,
daytrader,max_cluster_ratio,secondary,lower,30,0,0.24654088050314465,0.25471698113207553,0.0081761006289308418,0.028000272404810275,0.027919780144600295,0.1886792452830188,0.30188679245283018,0.20754716981132076,0.35849056603773582,0.2452830188679245,0.24528301886792453,2.7755575615628914e-17,0.041064431174966165,-0.07547169811320753,0.094339622641509469,-0.0056603773584905457,0.022641509433962297,10000,3433288822,10,6,14,0.33333333333333331,available,
daytrader,singleton_ratio,secondary,lower,30,0,0.022012578616352148,0.031446540880503145,0.0094339622641509968,0.021645481318851214,0.024939417066085535,0,0.075471698113207503,0,0.075471698113207544,0.018867924528301799,0.018867924528301886,8.6736173798840355e-17,0.027919780144600292,-0.03773584905660371,0.056603773584905745,4.5556729684944255e-17,0.019496855345911994,10000,3419812910,8,11,11,0.26666666666666666,available,
daytrader,cluster_size_cv,secondary,lower,30,0,0.67882842248421704,0.7676200067121477,0.08879158422793075,0.14295327393464188,0.14009070626256762,0.31060523836140241,0.8929931748074893,0.44529900834739417,1.2651361973011477,0.69212719195188721,0.77581376285095194,0.055549008719317616,0.17879709376966127,-0.2989682717777386,0.54716270332226302,0.027054698555318991,0.15281682314076259,10000,3037692050,8,2,20,0.26666666666666666,available,
daytrader,cluster_count,descriptive,descriptive_only,30,0,8.9000000000000004,9.5999999999999996,0.69999999999999996,1.2415229801920009,1.4527025943345071,6,11,6,15,9,9,0,1.8411016192523955,-3,6,0.066666666666666666,1.3666666666666667,10000,2655214822,,,,,available,
daytrader,average_cluster_size,descriptive,descriptive_only,30,0,6.0846115921115933,5.6381649831649856,-0.44644660894660892,0.98052396065156933,0.85345152230156596,4.8181818181818183,8.8333333333333339,3.5333333333333332,8.8333333333333339,5.8888888888888893,5.8888888888888893,0,1.2699896552299428,-3.5333333333333341,2.9444444444444446,-0.90697811447811449,-0.0049042207792207339,10000,214246864,,,,,available,
daytrader,max_cluster_size,descriptive,descriptive_only,30,0,13.066666666666666,13.5,0.43333333333333335,1.4840144374549438,1.4797483476638158,10,16,11,19,13,13,0,2.1764148522732065,-4,5,-0.33333333333333331,1.2008333333333212,10000,2508839725,,,,,available,
daytrader,min_cluster_size,descriptive,descriptive_only,30,0,1.4666666666666666,1.2333333333333334,-0.23333333333333334,0.73029674334022154,0.50400693299373078,1,3,1,3,1,1,0,0.62606231557929248,-2,1,-0.46666666666666667,-0.033333333333333333,10000,1603086337,,,,,available,
daytrader,mojofm_vs_reference,secondary,higher,30,0,23.55072463768116,25.217391304347824,1.6666666666666685,3.1828924209177782,2.3260133940083692,15.217391304347828,28.260869565217394,19.565217391304344,30.434782608695656,23.913043478260864,26.086956521739136,0,3.6413835983827387,-4.3478260869565304,10.869565217391308,0.43478260869565294,2.9710144927536262,10000,889308432,13,12,5,0.43333333333333335,available,
daytrader,pairwise_precision,secondary,higher,30,0,0.15511996123417868,0.16682992394752855,0.011709962713349833,0.020246205985363017,0.013350337986329298,0.1111111111111111,0.18857142857142858,0.13364055299539171,0.19736842105263158,0.16088981492830004,0.16876823418879494,0.0062639561192850274,0.023819253587843578,-0.033762529882984532,0.06280193236714976,0.0036804123309971404,0.019984787648402051,10000,3641832582,19,1,10,0.6333333333333333,available,
